ApsimVersion = 6.0
Title = 
    LeafGreenWt    StemGreenWt           year            day   paddockstate         litter            alw  stocking_rate      acc_eaten
           2.92           1.90           1988            189          empty         1465.0          0.000          0.000            0.0
           3.34           2.18           1988            190          empty         1419.2          0.000          0.000            0.0
           3.34           2.18           1988            190          empty         1419.2          0.000          0.000            0.0
           3.84           2.51           1988            191          empty         1376.3          0.000          0.000            0.0
           3.84           2.51           1988            191          empty         1376.3          0.000          0.000            0.0
           4.27           2.80           1988            192          empty         1332.2          0.000          0.000            0.0
           4.27           2.80           1988            192          empty         1332.2          0.000          0.000            0.0
           4.57           3.00           1988            193          empty         1275.2          0.000          0.000            0.0
           4.57           3.00           1988            193          empty         1275.2          0.000          0.000            0.0
           4.96           3.26           1988            194          empty         1215.0          0.000          0.000            0.0
           4.96           3.26           1988            194          empty         1215.0          0.000          0.000            0.0
           5.56           3.66           1988            195          empty         1161.9          0.000          0.000            0.0
           5.56           3.66           1988            195          empty         1161.9          0.000          0.000            0.0
           6.28           4.14           1988            196          empty         1120.5          0.000          0.000            0.0
           6.28           4.14           1988            196          empty         1120.5          0.000          0.000            0.0
           7.11           4.69           1988            197          empty         1086.3          0.000          0.000            0.0
           7.11           4.69           1988            197          empty         1086.3          0.000          0.000            0.0
           7.98           5.29           1988            198          empty         1059.6          0.000          0.000            0.0
           7.98           5.29           1988            198          empty         1059.6          0.000          0.000            0.0
           9.01           5.99           1988            199          empty         1033.3          0.000          0.000            0.0
           9.01           5.99           1988            199          empty         1033.3          0.000          0.000            0.0
          10.24           6.82           1988            200          empty         1019.7          0.000          0.000            0.0
          10.24           6.82           1988            200          empty         1019.7          0.000          0.000            0.0
          11.70           7.81           1988            201          empty         1010.4          0.000          0.000            0.0
          11.70           7.81           1988            201          empty         1010.4          0.000          0.000            0.0
          13.18           8.81           1988            202          empty         1002.1          0.000          0.000            0.0
          13.18           8.81           1988            202          empty         1002.1          0.000          0.000            0.0
          14.44           9.68           1988            203          empty          995.8          0.000          0.000            0.0
          14.44           9.68           1988            203          empty          995.8          0.000          0.000            0.0
          15.57          10.46           1988            204          empty          942.8          0.000          0.000            0.0
          15.57          10.46           1988            204          empty          942.8          0.000          0.000            0.0
          17.50          11.76           1988            205          empty          919.7          0.000          0.000            0.0
          17.50          11.76           1988            205          empty          919.7          0.000          0.000            0.0
          19.61          13.19           1988            206          empty          903.0          0.000          0.000            0.0
          19.61          13.19           1988            206          empty          903.0          0.000          0.000            0.0
          22.18          14.92           1988            207          empty          881.3          0.000          0.000            0.0
          22.18          14.92           1988            207          empty          881.3          0.000          0.000            0.0
          25.17          16.95           1988            208          empty          849.5          0.000          0.000            0.0
          25.17          16.95           1988            208          empty          849.5          0.000          0.000            0.0
          28.18          18.98           1988            209          empty          836.7          0.000          0.000            0.0
          28.18          18.98           1988            209          empty          836.7          0.000          0.000            0.0
          31.79          21.41           1988            210          empty          825.2          0.000          0.000            0.0
          31.79          21.41           1988            210          empty          825.2          0.000          0.000            0.0
          35.14          23.68           1988            211          empty          813.7          0.000          0.000            0.0
          35.14          23.68           1988            211          empty          813.7          0.000          0.000            0.0
          38.94          26.25           1988            212          empty          798.7          0.000          0.000            0.0
          38.94          26.25           1988            212          empty          798.7          0.000          0.000            0.0
          43.57          29.37           1988            213          empty          789.9          0.000          0.000            0.0
          43.57          29.37           1988            213          empty          789.9          0.000          0.000            0.0
          48.41          32.63           1988            214          empty          783.1          0.000          0.000            0.0
          48.41          32.63           1988            214          empty          783.1          0.000          0.000            0.0
          53.15          35.84           1988            215          empty          776.6          0.000          0.000            0.0
          53.15          35.84           1988            215          empty          776.6          0.000          0.000            0.0
          58.88          39.71           1988            216          empty          771.7          0.000          0.000            0.0
          58.88          39.71           1988            216          empty          771.7          0.000          0.000            0.0
          64.33          43.40           1988            217          empty          769.6          0.000          0.000            0.0
          64.33          43.40           1988            217          empty          769.6          0.000          0.000            0.0
          69.01          46.67           1988            218          empty          769.6          0.000          0.000            0.0
          69.01          46.67           1988            218          empty          769.6          0.000          0.000            0.0
          72.84          49.44           1988            219          empty          769.6          0.000          0.000            0.0
          72.84          49.44           1988            219          empty          769.6          0.000          0.000            0.0
          77.29          52.54           1988            220          empty          769.6          0.000          0.000            0.0
          77.29          52.54           1988            220          empty          769.6          0.000          0.000            0.0
          81.58          55.52           1988            221          empty          769.6          0.000          0.000            0.0
          81.58          55.52           1988            221          empty          769.6          0.000          0.000            0.0
          86.02          58.60           1988            222          empty          769.6          0.000          0.000            0.0
          86.02          58.60           1988            222          empty          769.6          0.000          0.000            0.0
          90.30          61.59           1988            223          empty          769.6          0.000          0.000            0.0
          90.30          61.59           1988            223          empty          769.6          0.000          0.000            0.0
          94.19          64.39           1988            224          empty          769.6          0.000          0.000            0.0
          94.19          64.39           1988            224          empty          769.6          0.000          0.000            0.0
          97.45          67.14           1988            225          empty          769.6          0.000          0.000            0.0
          97.45          67.14           1988            225          empty          769.6          0.000          0.000            0.0
         100.43          70.05           1988            226          empty          769.6          0.000          0.000            0.0
         100.43          70.05           1988            226          empty          769.6          0.000          0.000            0.0
         103.04          73.07           1988            227          empty          769.6          0.000          0.000            0.0
         103.04          73.07           1988            227          empty          769.6          0.000          0.000            0.0
         105.34          76.24           1988            228          empty          769.6          0.000          0.000            0.0
         105.34          76.24           1988            228          empty          769.6          0.000          0.000            0.0
         107.52          79.91           1988            229          empty          769.6          0.000          0.000            0.0
         107.52          79.91           1988            229          empty          769.6          0.000          0.000            0.0
         109.44          83.73           1988            230          empty          769.6          0.000          0.000            0.0
         109.44          83.73           1988            230          empty          769.6          0.000          0.000            0.0
         110.85          87.48           1988            231          empty          769.6          0.000          0.000            0.0
         110.85          87.48           1988            231          empty          769.6          0.000          0.000            0.0
         100.91          82.49           1988            232        stocked          769.6        400.110          0.800          210.0
         100.91          82.49           1988            232        stocked          769.6        400.110          0.800          210.0
          92.37          77.93           1988            233        stocked          769.6        400.219          0.800          405.3
          92.37          77.93           1988            233        stocked          769.6        400.219          0.800          405.3
          84.32          72.91           1988            234        stocked          769.6        400.329          0.800          586.1
          84.32          72.91           1988            234        stocked          769.6        400.329          0.800          586.1
          76.43          67.08           1988            235        stocked          769.6        400.438          0.800          751.6
          76.43          67.08           1988            235        stocked          769.6        400.438          0.800          751.6
          69.81          61.68           1988            236        stocked          711.0        400.548          0.800          903.5
          69.81          61.68           1988            236        stocked          711.0        400.548          0.800          903.5
          64.18          56.56           1988            237        stocked          687.7        400.658          0.800         1043.1
          64.18          56.56           1988            237        stocked          687.7        400.658          0.800         1043.1
          59.30          52.08           1988            238        stocked          666.2        400.767          0.800         1172.1
          59.30          52.08           1988            238        stocked          666.2        400.767          0.800         1172.1
          54.57          47.86           1988            239        stocked          636.6        400.877          0.800         1290.9
          54.57          47.86           1988            239        stocked          636.6        400.877          0.800         1290.9
          49.72          43.68           1988            240        stocked          603.5        400.986          0.800         1399.5
          49.72          43.68           1988            240        stocked          603.5        400.986          0.800         1399.5
          45.46          39.99           1988            241        stocked          569.8        401.096          0.800         1499.1
          45.46          39.99           1988            241        stocked          569.8        401.096          0.800         1499.1
          42.02          36.90           1988            242        stocked          553.2        401.205          0.800         1591.3
          42.02          36.90           1988            242        stocked          553.2        401.205          0.800         1591.3
          38.80          34.02           1988            243        stocked          534.9        401.315          0.800         1676.5
          38.80          34.02           1988            243        stocked          534.9        401.315          0.800         1676.5
          35.40          31.07           1988            244        stocked          513.8        401.425          0.800         1754.4
          35.40          31.07           1988            244        stocked          513.8        401.425          0.800         1754.4
          32.28          28.37           1988            245        stocked          489.6        401.808          0.800         1825.7
          32.28          28.37           1988            245        stocked          489.6        401.808          0.800         1825.7
          29.84          26.18           1988            246        stocked          464.4        402.192          0.800         1891.7
          29.84          26.18           1988            246        stocked          464.4        402.192          0.800         1891.7
          27.84          24.36           1988            247        stocked          439.5        402.575          0.800         1953.2
          27.84          24.36           1988            247        stocked          439.5        402.575          0.800         1953.2
          25.70          22.58           1988            248        stocked          416.2        402.959          0.800         2010.5
          25.70          22.58           1988            248        stocked          416.2        402.959          0.800         2010.5
          23.48          20.77           1988            249        stocked          399.8        403.343          0.800         2063.2
          23.48          20.77           1988            249        stocked          399.8        403.343          0.800         2063.2
          21.68          19.27           1988            250        stocked          386.2        403.726          0.800         2112.3
          21.68          19.27           1988            250        stocked          386.2        403.726          0.800         2112.3
          19.96          17.84           1988            251        stocked          359.2        404.110          0.800         2157.9
          19.96          17.84           1988            251        stocked          359.2        404.110          0.800         2157.9
          18.94          16.91           1988            252        stocked          338.4        404.493          0.800         2201.3
          18.94          16.91           1988            252        stocked          338.4        404.493          0.800         2201.3
          17.84          15.93           1988            253        stocked          323.1        404.877          0.800         2242.3
          17.84          15.93           1988            253        stocked          323.1        404.877          0.800         2242.3
          16.73          15.00           1988            254        stocked          307.7        405.260          0.800         2281.0
          16.73          15.00           1988            254        stocked          307.7        405.260          0.800         2281.0
          15.64          14.13           1988            255        stocked          293.2        405.644          0.800         2317.6
          15.64          14.13           1988            255        stocked          293.2        405.644          0.800         2317.6
          14.42          13.16           1988            256        stocked          268.5        406.028          0.800         2351.8
          14.42          13.16           1988            256        stocked          268.5        406.028          0.800         2351.8
          13.67          12.55           1988            257        stocked          249.5        406.411          0.800         2384.6
          13.67          12.55           1988            257        stocked          249.5        406.411          0.800         2384.6
          12.26          11.55           1988            258        stocked          242.9        406.795          0.800         2414.8
          12.26          11.55           1988            258        stocked          242.9        406.795          0.800         2414.8
          11.38          10.96           1988            259        stocked          226.8        407.178          0.800         2443.5
          11.38          10.96           1988            259        stocked          226.8        407.178          0.800         2443.5
          10.68          10.49           1988            260        stocked          213.0        407.562          0.800         2471.1
          10.68          10.49           1988            260        stocked          213.0        407.562          0.800         2471.1
          10.38          10.31           1988            261        stocked          199.9        407.945          0.800         2498.3
          10.38          10.31           1988            261        stocked          199.9        407.945          0.800         2498.3
          10.13          10.13           1988            262        stocked          192.0        408.329          0.800         2525.2
          10.13          10.13           1988            262        stocked          192.0        408.329          0.800         2525.2
           9.84           9.89           1988            263        stocked          188.7        408.713          0.800         2551.5
           9.84           9.89           1988            263        stocked          188.7        408.713          0.800         2551.5
           9.55           9.63           1988            264        stocked          187.3        409.096          0.800         2577.3
           9.55           9.63           1988            264        stocked          187.3        409.096          0.800         2577.3
           9.34           9.43           1988            265        stocked          187.1        409.480          0.800         2602.5
           9.34           9.43           1988            265        stocked          187.1        409.480          0.800         2602.5
           9.09           9.21           1988            266        stocked          187.1        409.863          0.800         2627.3
           9.09           9.21           1988            266        stocked          187.1        409.863          0.800         2627.3
           8.79           8.97           1988            267        stocked          187.1        410.247          0.800         2651.5
           8.79           8.97           1988            267        stocked          187.1        410.247          0.800         2651.5
           8.48           8.73           1988            268        stocked          187.1        410.630          0.800         2675.1
           8.48           8.73           1988            268        stocked          187.1        410.630          0.800         2675.1
           8.24           8.52           1988            269        stocked          187.1        411.014          0.800         2698.1
           8.24           8.52           1988            269        stocked          187.1        411.014          0.800         2698.1
           7.99           8.30           1988            270        stocked          187.1        411.398          0.800         2720.6
           7.99           8.30           1988            270        stocked          187.1        411.398          0.800         2720.6
           7.54           7.94           1988            271        stocked          187.1        411.781          0.800         2742.2
           7.54           7.94           1988            271        stocked          187.1        411.781          0.800         2742.2
           7.35           7.75           1988            272        stocked          169.4        412.165          0.800         2763.3
           7.35           7.75           1988            272        stocked          169.4        412.165          0.800         2763.3
           7.41           7.69           1988            273        stocked          157.0        412.548          0.800         2784.3
           7.41           7.69           1988            273        stocked          157.0        412.548          0.800         2784.3
           7.41           7.62           1988            274        stocked          149.3        412.932          0.800         2805.1
           7.41           7.62           1988            274        stocked          149.3        412.932          0.800         2805.1
           7.25           7.41           1988            275        stocked          144.8        413.315          0.800         2825.3
           7.25           7.41           1988            275        stocked          144.8        413.315          0.800         2825.3
           7.33           7.34           1988            276        stocked          143.5        413.699          0.800         2845.5
           7.33           7.34           1988            276        stocked          143.5        413.699          0.800         2845.5
           7.41           7.27           1988            277        stocked          143.5        414.083          0.800         2865.4
           7.41           7.27           1988            277        stocked          143.5        414.083          0.800         2865.4
           7.40           7.16           1988            278        stocked          143.5        414.466          0.800         2885.1
           7.40           7.16           1988            278        stocked          143.5        414.466          0.800         2885.1
           7.46           7.06           1988            279        stocked          143.5        414.850          0.800         2904.5
           7.46           7.06           1988            279        stocked          143.5        414.850          0.800         2904.5
           7.53           6.99           1988            280        stocked          143.5        415.233          0.800         2923.7
           7.53           6.99           1988            280        stocked          143.5        415.233          0.800         2923.7
           7.60           6.91           1988            281        stocked          143.5        415.617          0.800         2942.7
           7.60           6.91           1988            281        stocked          143.5        415.617          0.800         2942.7
           7.60           6.79           1988            282        stocked          143.5        416.001          0.800         2961.4
           7.60           6.79           1988            282        stocked          143.5        416.001          0.800         2961.4
           7.74           6.71           1988            283        stocked          143.5        416.384          0.800         2979.9
           7.74           6.71           1988            283        stocked          143.5        416.384          0.800         2979.9
           7.92           6.67           1988            284        stocked          143.5        416.768          0.800         2998.3
           7.92           6.67           1988            284        stocked          143.5        416.768          0.800         2998.3
           8.10           6.65           1988            285        stocked          143.5        417.151          0.800         3016.7
           8.10           6.65           1988            285        stocked          143.5        417.151          0.800         3016.7
           8.28           6.65           1988            286        stocked          143.5        417.535          0.800         3035.1
           8.28           6.65           1988            286        stocked          143.5        417.535          0.800         3035.1
           8.46           6.66           1988            287        stocked          143.5        417.918          0.800         3053.5
           8.46           6.66           1988            287        stocked          143.5        417.918          0.800         3053.5
           8.59           6.65           1988            288        stocked          143.5        418.302          0.800         3071.9
           8.59           6.65           1988            288        stocked          143.5        418.302          0.800         3071.9
           8.77           6.67           1988            289        stocked          143.5        418.686          0.800         3090.3
           8.77           6.67           1988            289        stocked          143.5        418.686          0.800         3090.3
           8.93           6.69           1988            290        stocked          143.5        419.069          0.800         3108.9
           8.93           6.69           1988            290        stocked          143.5        419.069          0.800         3108.9
           9.04           6.70           1988            291        stocked          143.5        419.453          0.800         3127.4
           9.04           6.70           1988            291        stocked          143.5        419.453          0.800         3127.4
           9.18           6.72           1988            292        stocked          143.5        419.836          0.800         3146.0
           9.18           6.72           1988            292        stocked          143.5        419.836          0.800         3146.0
           9.31           6.74           1988            293        stocked          143.5        420.220          0.800         3164.7
           9.31           6.74           1988            293        stocked          143.5        420.220          0.800         3164.7
           9.48           6.81           1988            294        stocked          143.5        420.603          0.800         3183.6
           9.48           6.81           1988            294        stocked          143.5        420.603          0.800         3183.6
           9.60           6.84           1988            295        stocked          143.5        420.987          0.800         3202.6
           9.60           6.84           1988            295        stocked          143.5        420.987          0.800         3202.6
           9.67           6.84           1988            296        stocked          143.5        421.371          0.800         3221.5
           9.67           6.84           1988            296        stocked          143.5        421.371          0.800         3221.5
           9.52           6.70           1988            297        stocked          143.5        421.754          0.800         3240.1
           9.52           6.70           1988            297        stocked          143.5        421.754          0.800         3240.1
           9.25           6.49           1988            298        stocked          143.5        422.138          0.800         3258.1
           9.25           6.49           1988            298        stocked          143.5        422.138          0.800         3258.1
           9.32           6.50           1988            299        stocked          143.5        422.521          0.800         3276.1
           9.32           6.50           1988            299        stocked          143.5        422.521          0.800         3276.1
           9.51           6.60           1988            300        stocked          143.5        422.905          0.800         3294.4
           9.51           6.60           1988            300        stocked          143.5        422.905          0.800         3294.4
           9.72           6.71           1988            301        stocked          143.5        423.288          0.800         3313.1
           9.72           6.71           1988            301        stocked          143.5        423.288          0.800         3313.1
           9.93           6.83           1988            302        stocked          143.5        423.672          0.800         3332.0
           9.93           6.83           1988            302        stocked          143.5        423.672          0.800         3332.0
          10.07           6.90           1988            303        stocked          143.5        424.056          0.800         3351.2
          10.07           6.90           1988            303        stocked          143.5        424.056          0.800         3351.2
          10.14           6.93           1988            304        stocked          143.5        424.439          0.800         3370.4
          10.14           6.93           1988            304        stocked          143.5        424.439          0.800         3370.4
          10.19           6.94           1988            305        stocked          143.5        424.823          0.800         3389.7
          10.19           6.94           1988            305        stocked          143.5        424.823          0.800         3389.7
          10.10           6.87           1988            306        stocked          143.5        425.206          0.800         3408.7
          10.10           6.87           1988            306        stocked          143.5        425.206          0.800         3408.7
          10.16           6.89           1988            307        stocked          143.5        425.590          0.800         3427.9
          10.16           6.89           1988            307        stocked          143.5        425.590          0.800         3427.9
          10.24           6.94           1988            308        stocked          143.5        425.973          0.800         3447.2
          10.24           6.94           1988            308        stocked          143.5        425.973          0.800         3447.2
          10.29           6.96           1988            309        stocked          143.5        426.357          0.800         3466.5
          10.29           6.96           1988            309        stocked          143.5        426.357          0.800         3466.5
          10.36           7.00           1988            310        stocked          143.5        426.741          0.800         3485.9
          10.36           7.00           1988            310        stocked          143.5        426.741          0.800         3485.9
           9.74           6.57           1988            311        stocked          143.5        427.124          0.800         3504.1
           9.74           6.57           1988            311        stocked          143.5        427.124          0.800         3504.1
           9.63           6.50           1988            312        stocked          143.5        427.508          0.800         3522.2
           9.63           6.50           1988            312        stocked          143.5        427.508          0.800         3522.2
           9.78           6.58           1988            313        stocked          143.5        427.891          0.800         3540.5
           9.78           6.58           1988            313        stocked          143.5        427.891          0.800         3540.5
           9.97           6.70           1988            314        stocked          143.5        428.275          0.800         3559.1
           9.97           6.70           1988            314        stocked          143.5        428.275          0.800         3559.1
          10.05           6.75           1988            315        stocked          143.5        428.659          0.800         3577.8
          10.05           6.75           1988            315        stocked          143.5        428.659          0.800         3577.8
          10.07           6.76           1988            316        stocked          143.5        429.042          0.800         3596.6
          10.07           6.76           1988            316        stocked          143.5        429.042          0.800         3596.6
          10.10           6.78           1988            317        stocked          143.5        429.426          0.800         3615.4
          10.10           6.78           1988            317        stocked          143.5        429.426          0.800         3615.4
          10.13           6.79           1988            318        stocked          143.5        429.809          0.800         3634.3
          10.13           6.79           1988            318        stocked          143.5        429.809          0.800         3634.3
          10.18           6.82           1988            319        stocked          143.5        430.193          0.800         3653.2
          10.18           6.82           1988            319        stocked          143.5        430.193          0.800         3653.2
          10.24           6.86           1988            320        stocked          143.5        430.576          0.800         3672.3
          10.24           6.86           1988            320        stocked          143.5        430.576          0.800         3672.3
           9.96           6.67           1988            321        stocked          134.5        430.960          0.800         3690.8
           9.96           6.67           1988            321        stocked          134.5        430.960          0.800         3690.8
          10.07           6.74           1988            322        stocked          127.8        431.344          0.800         3709.5
          10.07           6.74           1988            322        stocked          127.8        431.344          0.800         3709.5
