Summary_file = Sorgrass.sum
Title = Sorghum summer-grass Simulation
       day      year       weed_lai   weed_biomass weed_grn_biomass            lai        biomass  green_biomass          yield
     (day)    (year)      (m^2/m^2)        (kg/ha)          (kg/ha)        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)
       100      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       101      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       102      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       103      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       104      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       105      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       106      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       107      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       108      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       109      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       110      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       111      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       112      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       113      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       114      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       115      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       116      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       117      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       118      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       119      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       120      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       121      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       122      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       123      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       124      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       125      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       126      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       127      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       128      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       129      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       130      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       131      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       132      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
       133      1988          0.000          0.000            0.000          0.000          0.000          0.000          0.000
