Summary_file=gmtb0e.sum
Title =greenmount b0_soilwat
           date       dlayer()      soil_loss  erosion_cover    total_cover
      7/02/1981        713.499        197.653          0.038          0.038
      8/02/1981        575.266       1520.570          0.038          0.038
     10/02/1981        575.014          3.278          0.038          0.038
     14/03/1981        574.747          3.463          0.049          0.049
     23/03/1981        574.651          1.244          0.053          0.053
      2/04/1981        549.954        321.065          0.060          0.060
      6/04/1981        545.722         55.021          0.062          0.062
      8/04/1981        544.505         15.821          0.064          0.064
      2/06/1981        544.342          2.110          0.059          0.059
     22/07/1981        543.120         15.895          0.042          0.042
     26/08/1981        543.118          0.017          0.043          0.043
     21/09/1981        532.394        139.417          0.045          0.045
      1/11/1981        522.493        128.709          0.042          0.042
      2/11/1981        510.638        154.119          0.041          0.041
      3/11/1981        504.764         76.364          0.040          0.040
      4/11/1981        504.437          4.253          0.039          0.039
      3/12/1981        491.281        171.025          0.034          0.034
      4/12/1981        424.330        870.361          0.034          0.034
     20/12/1981        424.187          1.862          0.035          0.035
     21/12/1981        422.602         20.596          0.034          0.034
     24/12/1981        415.885         87.324          0.034          0.034
     19/01/1982        401.448        187.690          0.041          0.041
     21/01/1982        400.710          9.582          0.041          0.041
     25/02/1982        394.919         75.286          0.058          0.058
      1/03/1982        388.982         77.185          0.059          0.059
      2/03/1982        388.783          2.588          0.060          0.060
      5/03/1982        388.711          0.935          0.061          0.061
      8/03/1982        387.650         13.795          0.063          0.063
     11/03/1982        376.592        143.753          0.065          0.065
     28/04/1982        376.367          2.924          0.122          0.122
      9/09/1982        376.206          2.092          0.062          0.062
     11/10/1982        361.108        196.275          0.057          0.057
      1/11/1982        355.495         72.965          0.055          0.055
      3/12/1982        347.859         99.268          0.058          0.058
     20/12/1982        340.542         95.123          0.054          0.054
     30/12/1982        340.525          0.223          0.053          0.053
      4/01/1983        339.982          7.061          0.053          0.053
      5/01/1983        339.364          8.028          0.052          0.052
     21/03/1983        337.802         20.303          0.100          0.100
     28/04/1983        335.663         27.814          0.150          0.150
      1/05/1983        306.267        382.147          0.154          0.154
      2/05/1983        271.752        448.688          0.154          0.154
      3/05/1983        242.646        378.380          0.157          0.157
     28/05/1983        227.389        198.350          0.185          0.185
     21/06/1983        227.101          3.740          0.079          0.079
     22/06/1983        145.084       1066.222          0.079          0.079
     23/06/1983        141.147         55.115          0.079          0.079
     29/07/1983        141.130          0.237          0.082          0.082
      6/10/1983        140.848          3.946          0.078          0.078
     20/10/1983        139.356         20.897          0.068          0.068
     16/11/1983        139.298          0.801          0.067          0.067
     15/12/1983        139.222          1.071          0.067          0.067
     11/01/1984        139.174          0.676          0.079          0.079
     14/02/1984        139.149          0.346          0.116          0.116
     16/02/1984        134.315         67.674          0.118          0.118
      8/04/1984        127.635         93.521          0.269          0.269
      9/04/1984        120.953         93.552          0.270          0.270
     16/07/1984        120.879          1.029          0.174          0.174
     27/07/1984        105.589        214.062          0.166          0.166
     12/11/1984        105.358          3.237          0.131          0.131
     19/12/1984        103.224         29.871          0.131          0.131
      4/06/1985        102.955          3.763          0.334          0.334
     10/12/1985        102.690          3.715          0.134          0.134
