ApsimVersion = 6.1
Title = navybean Sample Simulation
            day           year            lai        biomass  green_biomass        GreenWt        GreenWt         GreenP         GreenP        p_sen()          p_sen       p_demand    pfact_photo    pfact_pheno pfact_expansion    pfact_grain      biomass_p green_biomass_p        grain_p     LeafGreenP     StemGreenP     RootGreenP      podGreenP         head_p      SenescedP       p_dead()    dlt_p_green dlt_p_retrans() dlt_p_detached    dlt_p_sen()  p_conc_stover LeafGreenpconc StemGreenpconc grainGreenpconc p_uptake_stover grain_p_demand    surfaceom_p
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)            (?)            (?)        (g/m^2)             ()             ()              ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)            (?)        (g/m^2)         (g/m^2)        (g/m^2)            (?)            (%)            (%)            (%)             (%)             (%)        (g/m^2)        (kg/ha)
            331           1988          0.000            0.0            0.0           0.00           0.00           0.00           0.00              ?              ?           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            0.0
            332           1988          0.000            0.0            0.0           0.00           0.00           0.00           0.00              ?              ?           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            0.0
            333           1988          0.000            0.0            0.0           0.00           0.00           0.00           0.00              ?              ?           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            0.0
            334           1988          0.000            0.0            0.0           0.00           0.00           0.00           0.00              ?              ?           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            0.0
            335           1988          0.010           25.0           25.0           7.47           7.47           0.02           0.02              ?              ?           0.00          1.000          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.500          0.500          0.000           0.000           0.013           0.00            0.0
            336           1988          0.013           26.5           26.5           7.74           7.74           0.02           0.02              ?              ?           0.00          1.000          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.491          0.502          0.000           0.000           0.013           0.00            0.0
            337           1988          0.016           27.9           27.9           8.01           8.01           0.02           0.02              ?              ?           0.00          0.935          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.489          0.500          0.231           0.000           0.014           0.00            0.0
            338           1988          0.020           29.6           29.6           8.32           8.32           0.02           0.02              ?              ?           0.00          0.942          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.487          0.499          0.297           0.000           0.014           0.00            0.0
            339           1988          0.025           32.3           32.3           8.82           8.82           0.02           0.02              ?              ?           0.00          0.942          1.000           1.000          1.000           0.02            0.02           0.00           0.01           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.481          0.499          0.301           0.000           0.016           0.00            0.0
            340           1988          0.032           35.5           35.5           9.44           9.44           0.03           0.03              ?              ?           0.00          0.915          1.000           1.000          1.000           0.02            0.02           0.00           0.02           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.478          0.497          0.330           0.000           0.017           0.00            0.0
            341           1988          0.040           39.4           39.4          10.18          10.18           0.03           0.03              ?              ?           0.00          0.914          1.000           1.000          1.000           0.02            0.02           0.00           0.02           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.475          0.496          0.350           0.000           0.019           0.00            0.0
            342           1988          0.047           42.4           42.4          10.75          10.75           0.03           0.03              ?              ?           0.00          0.916          1.000           1.000          1.000           0.02            0.02           0.00           0.02           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.476          0.494          0.386           0.000           0.020           0.00            0.0
            343           1988          0.053           45.7           45.7          11.38          11.38           0.03           0.03              ?              ?           0.00          0.951          1.000           1.000          1.000           0.02            0.02           0.00           0.02           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.474          0.492          0.392           0.000           0.022           0.00            0.0
            344           1988          0.062           49.7           49.7          12.15          12.15           0.03           0.03              ?              ?           0.00          0.957          1.000           1.000          1.000           0.02            0.02           0.00           0.02           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.471          0.490          0.392           0.000           0.023           0.00            0.0
            345           1988          0.075           55.8           55.8          13.32          13.32           0.04           0.04              ?              ?           0.00          0.952          1.000           1.000          1.000           0.03            0.03           0.00           0.02           0.00           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.466          0.490          0.385           0.000           0.026           0.00            0.0
            346           1988          0.090           63.2           63.2          14.77          14.77           0.04           0.04              ?              ?           0.00          0.939          1.000           1.000          1.000           0.03            0.03           0.00           0.02           0.01           0.01           0.00           0.00           0.00              ?           0.00            0.00           0.00              ?          0.464          0.488          0.389           0.000           0.029           0.00            0.0
            347           1988          0.110           72.8           72.8          16.63          16.63           0.05           0.05              ?              ?           0.01          0.941          1.000           1.000          1.000           0.03            0.03           0.00           0.03           0.01           0.01           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.461          0.487          0.391           0.000           0.034           0.00            0.0
            348           1988          0.138           86.1           86.1          19.25          19.25           0.06           0.06              ?              ?           0.01          0.943          1.000           1.000          1.000           0.04            0.04           0.00           0.03           0.01           0.02           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.458          0.485          0.391           0.000           0.039           0.00            0.0
            349           1988          0.175          103.4          103.4          22.64          22.64           0.07           0.07              ?              ?           0.01          0.942          1.000           1.000          1.000           0.05            0.05           0.00           0.03           0.01           0.02           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.457          0.484          0.395           0.000           0.047           0.00            0.0
            350           1988          0.217          123.8          123.8          26.64          26.64           0.08           0.08              ?              ?           0.01          0.949          1.000           1.000          1.000           0.06            0.06           0.00           0.04           0.02           0.02           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.455          0.481          0.400           0.000           0.056           0.00            0.0
            351           1988          0.254          141.1          141.1          30.03          30.03           0.09           0.09              ?              ?           0.01          0.958          1.000           1.000          1.000           0.06            0.06           0.00           0.05           0.02           0.02           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.456          0.479          0.409           0.000           0.064           0.00            0.0
            352           1988          0.282          154.5          154.5          32.63          32.63           0.10           0.10              ?              ?           0.01          0.986          1.000           1.000          1.000           0.07            0.07           0.00           0.05           0.02           0.03           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.454          0.475          0.413           0.000           0.070           0.00            0.0
            353           1988          0.316          170.7          170.7          35.76          35.76           0.11           0.11              ?              ?           0.01          0.988          1.000           1.000          1.000           0.08            0.08           0.00           0.05           0.02           0.03           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.453          0.474          0.412           0.000           0.077           0.00            0.0
            354           1988          0.373          198.0          198.0          41.11          41.11           0.12           0.12              ?              ?           0.02          0.998          1.000           1.000          1.000           0.09            0.09           0.00           0.06           0.03           0.03           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.446          0.468          0.403           0.000           0.088           0.00            0.0
            355           1988          0.437          228.4          228.4          47.09          47.09           0.13           0.13              ?              ?           0.02          0.952          1.000           1.000          1.000           0.10            0.10           0.00           0.07           0.03           0.04           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.433          0.455          0.392           0.000           0.099           0.00            0.0
            356           1988          0.499          260.3          260.3          53.32          53.32           0.15           0.15              ?              ?           0.02          0.855          1.000           1.000          1.000           0.11            0.11           0.00           0.07           0.04           0.04           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.418          0.441          0.379           0.000           0.109           0.00            0.0
            357           1988          0.573          297.0          297.0          60.51          60.51           0.16           0.16              ?              ?           0.03          0.747          1.000           1.000          1.000           0.12            0.12           0.00           0.08           0.04           0.04           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.398          0.420          0.360           0.000           0.118           0.00            0.0
            358           1988          0.650          335.0          335.0          67.93          67.93           0.17           0.17              ?              ?           0.05          0.595          1.000           1.000          1.000           0.13            0.13           0.00           0.08           0.04           0.04           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.380          0.402          0.343           0.000           0.127           0.00            0.0
            359           1988          0.712          367.0          367.0          74.14          74.14           0.18           0.18              ?              ?           0.05          0.458          1.000           0.916          1.000           0.14            0.14           0.00           0.09           0.05           0.05           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.371          0.392          0.335           0.000           0.136           0.00            0.0
            360           1988          0.771          398.4          398.4          80.22          80.22           0.19           0.19              ?              ?           0.06          0.397          1.000           0.794          1.000           0.14            0.14           0.00           0.10           0.05           0.05           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.363          0.383          0.328           0.000           0.144           0.00            0.0
            361           1988          0.826          428.1          428.1          85.95          85.95           0.20           0.20              ?              ?           0.06          0.347          1.000           0.693          1.000           0.15            0.15           0.00           0.10           0.05           0.05           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.357          0.377          0.323           0.000           0.153           0.00            0.0
            362           1988          0.866          450.4          450.4          90.19          90.19           0.22           0.22              ?              ?           0.06          0.314          1.000           0.628          1.000           0.16            0.16           0.00           0.11           0.06           0.06           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.360          0.380          0.327           0.000           0.162           0.00            0.0
            363           1988          0.931          486.4          486.4          97.14          97.14           0.23           0.23              ?              ?           0.07          0.364          1.000           0.728          1.000           0.17            0.17           0.00           0.11           0.06           0.06           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.351          0.371          0.319           0.000           0.171           0.00            0.0
            364           1988          0.985          516.5          516.5         102.91         102.91           0.24           0.24              ?              ?           0.08          0.307          1.000           0.614          1.000           0.18            0.18           0.00           0.12           0.06           0.06           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.346          0.365          0.315           0.000           0.179           0.00            0.0
            365           1988          1.034          543.7          543.7         108.06         108.06           0.25           0.25              ?              ?           0.08          0.284          1.000           0.567          1.000           0.19            0.19           0.00           0.12           0.06           0.06           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.343          0.362          0.312           0.000           0.186           0.00            0.0
            366           1988          1.082          570.6          570.6         113.16         113.16           0.26           0.26              ?              ?           0.08          0.275          1.000           0.551          1.000           0.19            0.19           0.00           0.13           0.07           0.07           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.339          0.358          0.309           0.000           0.194           0.00            0.0
              1           1989          1.132          598.1          598.1         118.36         118.36           0.27           0.27              ?              ?           0.09          0.260          1.000           0.521          1.000           0.20            0.20           0.00           0.13           0.07           0.07           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.336          0.354          0.306           0.000           0.201           0.00            0.0
              2           1989          1.186          628.4          628.4         124.12         124.12           0.28           0.28              ?              ?           0.08          0.398          1.000           0.795          1.000           0.21            0.21           0.00           0.13           0.07           0.07           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.330          0.349          0.301           0.000           0.208           0.00            0.0
              3           1989          1.273          676.4          676.4         133.40         133.40           0.29           0.29              ?              ?           0.09          0.480          1.000           0.961          1.000           0.22            0.22           0.00           0.14           0.08           0.07           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.318          0.336          0.290           0.000           0.215           0.00            0.0
              4           1989          1.382          737.0          737.0         141.11         141.11           0.30           0.30              ?              ?           0.11          0.492          1.000           0.984          1.000           0.22            0.22           0.00           0.14           0.08           0.08           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.302          0.319          0.274           0.000           0.222           0.00            0.0
              5           1989          1.496          800.6          800.6         149.23         149.23           0.31           0.31              ?              ?           0.11          0.463          1.000           0.926          1.000           0.23            0.23           0.00           0.15           0.08           0.08           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.286          0.303          0.260           0.000           0.229           0.00            0.0
              6           1989          1.583          848.8          848.8         155.28         155.28           0.32           0.32              ?              ?           0.10          0.527          1.000           1.000          1.000           0.24            0.24           0.00           0.15           0.08           0.08           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.279          0.295          0.253           0.000           0.237           0.00            0.0
              7           1989          1.655          929.4          929.4         165.64         165.64           0.33           0.33              ?              ?           0.09          0.675          1.000           1.000          1.000           0.24            0.24           0.00           0.16           0.09           0.08           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.263          0.291          0.243           0.000           0.244           0.00            0.0
              8           1989          1.738         1021.7         1021.4         177.50         177.50           0.34           0.34              ?              ?           0.12          0.660          1.000           1.000          1.000           0.25            0.25           0.00           0.16           0.09           0.09           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.247          0.284          0.232           0.000           0.252           0.00            0.0
              9           1989          1.868         1120.7         1120.1         187.86         187.86           0.35           0.35              ?              ?           0.13          0.691          1.000           1.000          1.000           0.26            0.26           0.00           0.17           0.09           0.09           0.00           0.00           0.00              ?           0.01            0.00           0.00              ?          0.233          0.269          0.212           0.000           0.259           0.00            0.0
             10           1989          1.996         1219.4         1218.5         198.17         198.17           0.36           0.36              ?              ?           0.14          0.602          1.000           1.000          1.000           0.27            0.27           0.00           0.17           0.09           0.09           0.00           0.01           0.00              ?           0.01            0.00           0.00              ?          0.219          0.253          0.195           0.196           0.262           0.00            0.0
             11           1989          2.086         1294.8         1293.6         205.96         205.96           0.37           0.37              ?              ?           0.16          0.502          1.000           1.000          1.000           0.27            0.27           0.01           0.17           0.09           0.09           0.01           0.01           0.00              ?           0.01            0.00           0.00              ?          0.211          0.244          0.186           0.260           0.267           0.00            0.0
             12           1989          2.180         1374.1         1372.7         214.16         214.16           0.38           0.38              ?              ?           0.18          0.451          1.000           0.901          1.000           0.28            0.28           0.01           0.17           0.09           0.09           0.01           0.02           0.00              ?           0.01           -0.00           0.00              ?          0.204          0.235          0.177           0.289           0.271           0.00            0.0
             13           1989          2.262         1446.4         1444.6         221.60         221.60           0.39           0.39              ?              ?           0.19          0.402          1.000           0.805          1.000           0.29            0.29           0.02           0.17           0.10           0.09           0.01           0.03           0.00              ?           0.01            0.00           0.00              ?          0.198          0.227          0.171           0.309           0.274           0.00            0.0
             14           1989          2.322         1505.5         1503.4         227.60         227.60           0.40           0.40              ?              ?           0.20          0.367          1.000           0.733          1.000           0.30            0.30           0.02           0.17           0.10           0.09           0.01           0.03           0.00              ?           0.01            0.00           0.00              ?          0.194          0.221          0.168           0.324           0.277           0.00            0.0
             15           1989          2.383         1565.9         1563.3         233.73         233.73           0.40           0.40              ?              ?           0.21          0.344          1.000           0.689          1.000           0.31            0.31           0.03           0.17           0.10           0.10           0.01           0.04           0.00              ?           0.01            0.00           0.00              ?          0.189          0.215          0.164           0.333           0.279           0.00            0.0
             16           1989          2.437         1622.8         1619.9         239.50         239.50           0.41           0.41              ?              ?           0.22          0.322          1.000           0.643          1.000           0.32            0.32           0.04           0.17           0.10           0.10           0.01           0.05           0.00              ?           0.01            0.00           0.00              ?          0.185          0.210          0.161           0.340           0.280           0.00            0.0
             17           1989          2.487         1678.5         1675.1         245.11         245.11           0.42           0.42              ?              ?           0.23          0.302          1.000           0.604          1.000           0.32            0.32           0.04           0.17           0.10           0.10           0.01           0.06           0.00              ?           0.01            0.00           0.00              ?          0.181          0.204          0.158           0.346           0.281           0.00            0.0
             18           1989          2.495         1733.4         1716.6         249.35         249.35           0.42           0.42              ?              ?           0.24          0.284          1.000           0.568          1.000           0.33            0.33           0.05           0.16           0.10           0.10           0.01           0.06           0.00              ?           0.01            0.00           0.00              ?          0.177          0.200          0.155           0.350           0.280           0.00            0.0
             19           1989          2.501         1786.7         1756.9         253.46         253.46           0.43           0.43              ?              ?           0.24          0.269          1.000           0.539          1.000           0.34            0.33           0.06           0.16           0.10           0.10           0.02           0.07           0.00              ?           0.01            0.00           0.00              ?          0.174          0.195          0.152           0.354           0.278           0.00            0.0
             20           1989          2.488         1828.8         1785.2         256.26         256.26           0.44           0.44              ?              ?           0.25          0.256          1.000           0.512          1.000           0.34            0.34           0.06           0.16           0.10           0.10           0.02           0.08           0.01              ?           0.01            0.00           0.00              ?          0.171          0.192          0.151           0.360           0.276           0.00            0.0
             21           1989          2.484         1877.7         1820.7         259.84         259.84           0.44           0.44              ?              ?           0.25          0.252          1.000           0.504          1.000           0.35            0.34           0.07           0.15           0.10           0.10           0.02           0.09           0.01              ?           0.01            0.00           0.00              ?          0.168          0.187          0.149           0.361           0.273           0.00            0.0
             22           1989          2.441         1910.9         1834.8         261.15         261.15           0.44           0.44              ?              ?           0.26          0.242          1.000           0.484          1.000           0.36            0.35           0.08           0.15           0.10           0.10           0.02           0.10           0.01              ?           0.01            0.00           0.00              ?          0.166          0.184          0.148           0.366           0.269           0.00            0.0
             23           1989          2.365         1940.4         1836.3         261.16         261.16           0.45           0.45              ?              ?           0.26          0.243          1.000           0.486          1.000           0.36            0.35           0.09           0.14           0.10           0.10           0.02           0.10           0.01              ?           0.01            0.00           0.00              ?          0.165          0.183          0.147           0.369           0.264           0.00            0.0
             24           1989          2.284         1969.5         1836.3         261.03         261.03           0.45           0.45              ?              ?           0.25          0.249          1.000           0.499          1.000           0.37            0.35           0.09           0.14           0.10           0.10           0.02           0.11           0.02              ?           0.01            0.00           0.00              ?          0.164          0.182          0.147           0.370           0.259           0.00            0.0
             25           1989          2.233         2013.0         1854.9         262.88         262.88           0.45           0.45              ?              ?           0.26          0.256          1.000           0.511          1.000           0.38            0.36           0.10           0.13           0.10           0.10           0.02           0.12           0.02              ?           0.01            0.00           0.00              ?          0.161          0.178          0.145           0.369           0.254           0.00            0.0
             26           1989          2.194         2059.2         1879.2         265.32         265.32           0.46           0.46              ?              ?           0.26          0.249          1.000           0.498          1.000           0.38            0.36           0.11           0.13           0.10           0.10           0.02           0.13           0.03              ?           0.01            0.00           0.00              ?          0.157          0.173          0.142           0.370           0.249           0.00            0.0
             27           1989          2.138         2093.8         1891.6         266.48         266.48           0.46           0.46              ?              ?           0.26          0.239          1.000           0.478          1.000           0.39            0.36           0.12           0.12           0.10           0.10           0.02           0.14           0.03              ?           0.01            0.00           0.00              ?          0.154          0.169          0.140           0.373           0.243           0.00            0.0
             28           1989          2.083         2133.8         1908.2         268.09         268.09           0.46           0.46              ?              ?           0.27          0.237          1.000           0.474          1.000           0.39            0.36           0.13           0.11           0.10           0.10           0.02           0.15           0.03              ?           0.01           -0.00           0.00              ?          0.151          0.164          0.138           0.374           0.236           0.00            0.0
             29           1989          2.030         2172.8         1925.0         269.73         269.73           0.46           0.46              ?              ?           0.27          0.231          1.000           0.462          1.000           0.40            0.37           0.14           0.11           0.10           0.10           0.02           0.16           0.03              ?           0.01            0.00           0.00              ?          0.147          0.160          0.135           0.375           0.230           0.00            0.0
             30           1989          1.984         2213.4         1945.4         271.73         271.73           0.47           0.47              ?              ?           0.27          0.225          1.000           0.450          1.000           0.41            0.37           0.15           0.10           0.10           0.10           0.03           0.17           0.04              ?           0.01            0.00           0.00              ?          0.143          0.154          0.132           0.375           0.223           0.00            0.0
             31           1989          1.946         2252.6         1968.1         273.96         273.96           0.47           0.47              ?              ?           0.28          0.216          1.000           0.433          1.000           0.41            0.37           0.15           0.10           0.10           0.10           0.03           0.18           0.04              ?           0.01            0.00           0.00              ?          0.142          0.153          0.131           0.365           0.221           0.00            0.0
             32           1989          1.903         2286.5         1986.0         275.65         275.65           0.47           0.47              ?              ?           0.28          0.207          1.000           0.415          1.000           0.42            0.38           0.16           0.10           0.10           0.10           0.03           0.18           0.04              ?           0.01            0.00           0.00              ?          0.142          0.153          0.131           0.354           0.220           0.00            0.0
             33           1989          1.842         2310.8         1990.2         275.90         275.90           0.48           0.48              ?              ?           0.28          0.202          1.000           0.403          1.000           0.42            0.38           0.16           0.09           0.10           0.10           0.03           0.19           0.04              ?           0.01            0.00           0.00              ?          0.143          0.153          0.131           0.347           0.218           0.00            0.0
             34           1989          1.779         2333.5         1992.1         275.91         275.91           0.48           0.48              ?              ?           0.28          0.203          1.000           0.406          1.000           0.43            0.38           0.17           0.09           0.10           0.10           0.03           0.20           0.05              ?           0.01            0.00           0.00              ?          0.142          0.153          0.131           0.343           0.214           0.00            0.0
             35           1989          1.724         2343.7         1984.1         274.81         274.81           0.48           0.48              ?              ?           0.28          0.205          1.000           0.411          1.000           0.43            0.38           0.17           0.09           0.09           0.10           0.03           0.20           0.05              ?           0.01            0.00           0.00              ?          0.143          0.153          0.132           0.340           0.211           0.00            0.0
             36           1989          1.676         2351.8         1976.4         273.73         273.73           0.48           0.48              ?              ?           0.28          0.215          1.000           0.430          1.000           0.44            0.39           0.18           0.08           0.09           0.10           0.03           0.21           0.05              ?           0.01            0.00           0.00              ?          0.143          0.153          0.133           0.341           0.208           0.00            0.0
             37           1989          1.590         2373.1         1969.4         272.83         272.83           0.49           0.49              ?              ?           0.28          0.227          1.000           0.454          1.000           0.45            0.39           0.19           0.08           0.09           0.10           0.03           0.22           0.06              ?           0.01            0.00           0.00              ?          0.145          0.156          0.132           0.341           0.205           0.00            0.0
             38           1989          1.497         2399.2         1964.6         272.20         272.20           0.49           0.49              ?              ?           0.27          0.242          1.000           0.485          1.000           0.46            0.40           0.20           0.08           0.09           0.10           0.03           0.23           0.06              ?           0.01            0.00           0.00              ?          0.144          0.155          0.131           0.342           0.200           0.00            0.0
             39           1989          1.404         2431.6         1966.5         272.29         272.29           0.50           0.50              ?              ?           0.27          0.253          1.000           0.505          1.000           0.46            0.40           0.20           0.07           0.09           0.10           0.04           0.24           0.06              ?           0.01            0.00           0.00              ?          0.143          0.155          0.129           0.340           0.195           0.00            0.0
             40           1989          1.322         2465.3         1973.0         272.85         272.85           0.50           0.50              ?              ?           0.27          0.256          1.000           0.512          1.000           0.47            0.40           0.21           0.07           0.09           0.10           0.04           0.25           0.07              ?           0.01            0.00           0.00              ?          0.143          0.154          0.128           0.336           0.192           0.00            0.0
             41           1989          1.250         2499.4         1983.1         273.78         273.78           0.50           0.50              ?              ?           0.27          0.256          1.000           0.511          1.000           0.48            0.41           0.22           0.06           0.09           0.10           0.04           0.26           0.07              ?           0.01            0.00           0.00              ?          0.142          0.154          0.128           0.331           0.189           0.00            0.0
             42           1989          1.150         2523.8         1974.5         272.75         272.75           0.51           0.51              ?              ?           0.27          0.252          1.000           0.504          1.000           0.48            0.41           0.22           0.06           0.09           0.10           0.04           0.26           0.07              ?           0.01            0.00           0.00              ?          0.143          0.154          0.129           0.327           0.185           0.00            0.0
             43           1989          1.037         2546.9         1960.4         271.17         271.17           0.51           0.51              ?              ?           0.27          0.258          1.000           0.516          1.000           0.49            0.41           0.23           0.05           0.08           0.10           0.04           0.27           0.08              ?           0.01            0.00           0.00              ?          0.143          0.154          0.128           0.325           0.179           0.00            0.0
             44           1989          0.938         2575.6         1956.4         270.64         270.64           0.51           0.51              ?              ?           0.26          0.265          1.000           0.530          1.000           0.50            0.41           0.24           0.05           0.08           0.10           0.04           0.28           0.08              ?           0.01            0.00           0.00              ?          0.143          0.154          0.127           0.322           0.173           0.00            0.0
