ApsimVersion = 6.1
Title = Lettuce Sample Simulation
           Date DaysAfterSowing          stage            lai        biomass             ep         tt_tot    LeafGreenWt    StemGreenWt  FloretGreenWt        node_no
    13/May/1998               ?          1.777          0.002           11.5          0.006              ?           0.24           0.89           0.00          0.000
    14/May/1998               ?          1.795          0.002           11.6          0.001              ?           0.24           0.91           0.00          0.000
    15/May/1998               ?          1.813          0.002           11.8          0.001              ?           0.23           0.92           0.00          0.000
    16/May/1998               ?          1.834          0.002           12.0          0.002              ?           0.23           0.94           0.00          0.000
    17/May/1998               ?          1.853          0.002           12.1          0.002              ?           0.23           0.96           0.00          0.000
    18/May/1998               ?          1.872          0.002           12.4          0.004              ?           0.22           0.98           0.00          0.000
    19/May/1998               ?          1.891          0.002           12.6          0.003              ?           0.22           1.00           0.00          0.000
    20/May/1998               ?          1.910          0.002           12.9          0.005              ?           0.22           1.03           0.00          0.000
    21/May/1998               ?          1.926          0.002           13.2          0.003              ?           0.21           1.06           0.00          0.000
    22/May/1998               ?          1.941          0.002           13.5          0.005              ?           0.21           1.09           0.00          0.000
    23/May/1998               ?          1.955          0.002           13.7          0.006              ?           0.21           1.12           0.00          0.000
    24/May/1998               ?          1.972          0.002           14.0          0.006              ?           0.21           1.14           0.00          0.000
    25/May/1998               ?          1.986          0.002           14.3          0.006              ?           0.20           1.17           0.00          0.000
    26/May/1998               ?          2.000          0.002           14.5          0.005              ?           0.20           1.20           0.00          0.000
    27/May/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    28/May/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    29/May/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    30/May/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    31/May/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    01/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    02/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    03/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    04/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    05/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    06/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    07/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    08/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    09/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    10/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    11/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    12/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    13/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    14/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    15/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    16/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    17/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    18/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    19/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    20/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    21/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    22/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    23/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    24/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    25/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    26/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    27/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    28/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    29/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    30/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    01/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    02/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    03/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    04/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    05/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    06/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    07/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    08/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    09/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    10/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    11/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    12/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    13/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    14/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    15/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    16/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    17/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    18/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    19/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    20/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    21/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    22/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    23/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    24/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    25/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    26/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    27/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    28/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    29/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    30/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    31/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    01/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    02/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    03/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    04/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    05/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    06/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    07/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    08/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    09/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    10/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    11/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    12/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    13/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    14/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    15/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    16/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    17/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    18/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    19/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    20/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    21/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    22/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    23/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    24/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    25/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    26/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    27/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    28/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    29/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    30/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    31/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    01/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    02/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    03/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    04/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    05/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    06/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    07/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    08/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    09/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    10/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    11/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    12/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    13/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    14/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    15/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    16/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    17/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    18/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    19/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    20/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    21/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    22/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    23/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    24/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    25/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    26/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    27/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    28/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    29/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    30/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
