APSIM output file, version = 5.4
Title = sysbal Sample Simulation
            day           year        biomass          no3()          nh4()       biom_n()        fom_n()         runoff             ep          drain             es           pond       sw_dep()  n_loss_system  n_gain_system   n_dlt_system  n_dlt_surface     n_dlt_crop     n_dlt_soil n_error_system n_cum_error_system n_state_system n_state_surface   n_state_crop   n_state_soil  p_loss_system  p_gain_system   p_dlt_system  p_dlt_surface     p_dlt_crop     p_dlt_soil p_error_system p_cum_error_system p_state_system p_state_surface   p_state_crop   p_state_soil  c_loss_system  c_gain_system   c_dlt_system  c_dlt_surface     c_dlt_crop     c_dlt_soil c_error_system c_cum_error_system c_state_system c_state_surface   c_state_crop   c_state_soil dm_loss_system dm_gain_system  dm_dlt_system dm_dlt_surface    dm_dlt_crop    dm_dlt_soil dm_error_system dm_cum_error_system dm_state_system dm_state_surface  dm_state_crop  dm_state_soil sw_loss_system sw_gain_system  sw_dlt_system sw_dlt_surface    sw_dlt_crop    sw_dlt_soil sw_error_system sw_cum_error_system sw_state_system sw_state_surface  sw_state_crop  sw_state_soil
          (day)         (year)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)            (?)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)         (kg/ha)             (kg/ha)         (kg/ha)          (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (mm)                (mm)            (mm)             (mm)           (mm)           (mm)
            176           1988          5.520         88.524          2.615        123.067         16.079          0.000              ?          0.000          0.153          0.000        718.843          0.000          0.000          0.562          0.000          0.563          0.000          0.562              0.564      10549.528          22.962          0.563      10526.004          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          6.761          0.000          0.234          0.000          7.008         -6.766          6.995              6.994     151289.891         688.858          7.008     150594.031         16.902          0.000          0.562          0.000         17.520        -16.938          17.464              17.494      378224.719         1722.144         17.520     376485.062          0.153          0.000         -0.153          0.000          0.000         -0.153          -0.000              -0.000         718.843            0.000          0.000        718.843
            177           1988          7.317         88.798          2.460        123.227         15.751          0.000              ?          0.000          0.152          0.000        718.659          0.000          0.000         -0.002          0.000          0.139         -0.141         -0.002              0.562      10549.526          22.962          0.701      10525.863          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          6.583          1.438         -5.141          0.000          1.414         -6.562          0.004              6.999     151284.750         688.858          8.422     150587.469         16.457          3.594        -12.875          0.000          3.534        -16.406          -0.013              17.481      378211.844         1722.144         21.054     376468.656          0.184          0.000         -0.184          0.000          0.000         -0.184           0.000               0.000         718.659            0.000          0.000        718.659
            178           1988          9.268         89.034          2.331        123.373         15.443          0.000              ?          0.000          0.151          0.000        718.479          0.000          0.000          0.001          0.000          0.144         -0.143          0.001              0.563      10549.527          22.962          0.845      10525.721          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          6.300          1.535         -4.766          0.000          1.507         -6.266         -0.000              6.998     151279.984         688.858          9.929     150581.203         15.750          3.837        -11.875          0.000          3.768        -15.656           0.038              17.519      378199.969         1722.144         24.822     376453.000          0.181          0.000         -0.181          0.000          0.000         -0.181           0.000               0.000         718.479            0.000          0.000        718.479
            179           1988         11.797         89.227          2.218        123.516         15.129          0.000              ?          0.000          0.150          0.000        718.274          0.000          0.000          0.001          0.000          0.186         -0.186          0.001              0.564      10549.528          22.962          1.031      10525.535          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          6.511          1.974         -4.516          0.000          1.943         -6.469          0.021              7.020     151275.469         688.858         11.872     150574.734         16.278          4.935        -11.312          0.000          4.858        -16.156           0.030              17.550      378188.656         1722.144         29.680     376436.844          0.204          0.000         -0.204          0.000          0.000         -0.204          -0.000              -0.000         718.274            0.000          0.000        718.274
            180           1988         14.699         89.384          2.121        123.652         14.819          0.000              ?          0.000          0.149          0.000        718.064          0.000          0.000          0.001          0.000          0.210         -0.209          0.001              0.565      10549.529          22.962          1.241      10525.326          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          6.517          2.250         -4.297          0.000          2.214         -6.500         -0.030              6.990     151271.172         688.858         14.086     150568.234         16.293          5.625        -10.688          0.000          5.535        -16.250          -0.019              17.530      378177.969         1722.144         35.215     376420.594          0.210          0.000         -0.210          0.000          0.000         -0.210           0.000               0.000         718.064            0.000          0.000        718.064
            181           1988         17.888         89.498          2.041        123.775         14.528          0.000              ?          0.000          0.148          0.000        717.865          0.000          0.000         -0.001          0.000          0.229         -0.230         -0.001              0.564      10549.528          22.962          1.470      10525.096          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          6.224          2.459         -3.750          0.000          2.417         -6.172          0.015              7.005     151267.422         688.858         16.503     150562.062         15.559          6.146         -9.406          0.000          6.044        -15.438           0.006              17.537      378168.562         1722.144         41.259     376405.156          0.199          0.000         -0.199          0.000          0.000         -0.199           0.000               0.000         717.865            0.000          0.000        717.865
            182           1988         21.675         89.549          1.975        123.887         14.254          0.000              ?          0.000          0.147          0.000        717.640          0.000          0.000         -0.001          0.000          0.271         -0.271         -0.001              0.563      10549.527          22.962          1.741      10524.824          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          5.969          2.902         -3.078          0.000          2.856         -5.938         -0.011              6.994     151264.344         688.858         19.359     150556.125         14.923          7.256         -7.719          0.000          7.139        -14.844          -0.052              17.485      378160.844         1722.144         48.398     376390.312          0.225          0.000         -0.225          0.000          0.000         -0.225          -0.000               0.000         717.640            0.000          0.000        717.640
            183           1988         25.767         89.569          1.920        123.989         13.990          0.000              ?          0.000          0.146          0.000        717.411          0.000          0.000          0.001          0.000          0.290         -0.289          0.001              0.564      10549.528          22.962          2.031      10524.535          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          5.807          3.117         -2.672          0.000          3.063         -5.734          0.018              7.012     151261.672         688.858         22.422     150550.391         14.517          7.792         -6.688          0.000          7.658        -14.344           0.037              17.523      378154.156         1722.144         56.056     376375.969          0.229          0.000         -0.229          0.000          0.000         -0.229          -0.000               0.000         717.411            0.000          0.000        717.411
            184           1988         29.122         89.615          1.876        124.078         13.754          0.000              ?          0.000          0.145          0.000        717.220          0.000          0.000         -0.001          0.000          0.231         -0.231         -0.001              0.563      10549.527          22.962          2.262      10524.304          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          5.284          2.538         -2.766          0.000          2.477         -5.234         -0.020              6.992     151258.906         688.858         24.900     150545.156         13.209          6.345         -6.875          0.000          6.193        -13.094          -0.011              17.512      378147.281         1722.144         62.249     376362.875          0.191          0.000         -0.191          0.000          0.000         -0.191          -0.000              -0.000         717.220            0.000          0.000        717.220
            185           1988         31.282         89.730          1.842        124.156         13.537          0.000              ?          0.000          0.144          0.000        717.062          0.000          0.000          0.000          0.000          0.140         -0.140          0.000              0.563      10549.527          22.962          2.402      10524.164          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          4.919          1.621         -3.297          0.000          1.554         -4.859          0.001              6.993     151255.609         688.858         26.454     150540.297         12.297          4.052         -8.250          0.000          3.886        -12.125          -0.005              17.507      378139.031         1722.144         66.135     376350.750          0.158          0.000         -0.158          0.000          0.000         -0.158           0.000               0.000         717.062            0.000          0.000        717.062
            186           1988         33.749         89.824          1.812        124.230         13.325          0.000              ?          0.000          1.042          0.000        717.091          0.000          0.000          0.000          0.000          0.157         -0.157          0.000              0.563      10549.527          22.962          2.558      10524.007          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          4.880          1.836         -3.031          0.000          1.767         -4.797          0.012              7.006     151252.578         688.858         28.221     150535.500         12.199          4.591         -7.594          0.000          4.417        -12.000           0.015              17.522      378131.438         1722.144         70.552     376338.750          1.071          1.100          0.029          0.000          0.000          0.029           0.000               0.000         717.091            0.000          0.000        717.091
            187           1988         36.775         89.569          1.375        126.455         13.119          1.082              ?          0.000          1.273          0.000        742.111          0.028          0.000         -0.028         -1.597          0.193          1.376         -0.000              0.563      10549.499          21.365          2.751      10525.383          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         33.555          2.230        -31.344        -47.922          2.157         14.422         -0.019              6.986     151221.234         640.935         30.378     150549.922         83.887          5.576        -78.344       -119.806          5.392         36.062          -0.033              17.489      378053.094         1602.339         75.944     376374.812          2.380         27.400         25.020          0.000          0.000         25.020          -0.000              -0.000         742.111            0.000          0.000        742.111
            188           1988         42.278         88.986          1.205        128.092         12.935         14.032              ?          0.000          2.114          0.000        765.081          0.095          0.000         -0.096         -1.168          0.356          0.716         -0.000              0.563      10549.403          20.197          3.108      10526.099          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         25.394          4.020        -21.359        -35.025          3.942          9.719          0.014              7.001     151199.875         605.910         34.319     150559.641         63.484         10.050        -53.438        -87.563          9.854         24.281          -0.003              17.486      377999.656         1514.776         85.798     376399.094         16.230         39.200         22.970          0.000          0.000         22.970           0.000               0.000         765.081            0.000          0.000        765.081
            189           1988         48.252         88.567          1.156        129.043         12.732          0.000              ?          0.000          1.914          0.000        763.081          0.031          0.000         -0.031         -0.664          0.384          0.249         -0.000              0.563      10549.372          19.533          3.491      10526.348          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         16.851          4.332        -12.531        -19.906          4.245          3.141         -0.012              6.989     151187.344         586.005         38.564     150562.781         42.128         10.830        -31.312        -49.764         10.612          7.844          -0.014              17.471      377968.344         1465.011         96.410     376406.938          2.001          0.000         -2.001          0.000          0.000         -2.001           0.000               0.000         763.081            0.000          0.000        763.081
            190           1988         55.210         88.127          1.138        129.918         12.520          0.000              ?          0.000          2.038          0.000        760.939          0.000          0.000          0.000         -0.611          0.447          0.164          0.000              0.563      10549.372          18.922          3.939      10526.512          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         16.208          5.008        -11.188        -18.343          4.912          2.234          0.013              7.001     151176.156         567.662         43.476     150565.016         40.520         12.520        -27.969        -45.857         12.279          5.594           0.032              17.503      377940.375         1419.155        108.689     376412.531          2.142          0.000         -2.142          0.000          0.000         -2.142          -0.000               0.000         760.939            0.000          0.000        760.939
            191           1988         63.566         87.631          1.123        130.733         12.304          0.000              ?          0.000          1.469          0.000        759.291          0.000          0.000          0.000         -0.571          0.532          0.039          0.000              0.563      10549.372          18.351          4.470      10526.551          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         15.666          5.965         -9.688        -17.126          5.858          1.578          0.014              7.015     151166.469         550.536         49.334     150566.594         39.166         14.913        -24.219        -42.814         14.646          3.938           0.034              17.538      377916.156         1376.341        123.335     376416.469          1.648          0.000         -1.648          0.000          0.000         -1.648           0.000               0.000         759.291            0.000          0.000        759.291
            192           1988         70.751         87.221          1.107        131.565         12.093          0.000              ?          0.000          0.795          0.000        758.368          0.000          0.000          0.000         -0.589          0.442          0.147          0.000              0.563      10549.372          17.762          4.912      10526.698          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         15.967          5.083        -10.891        -17.662          4.963          1.812         -0.007              7.008     151155.578         532.874         54.297     150568.406         39.917         12.707        -27.219        -44.155         12.408          4.531          -0.009              17.529      377888.938         1332.186        135.743     376421.000          0.923          0.000         -0.923          0.000          0.000         -0.923          -0.000              -0.000         758.368            0.000          0.000        758.368
            193           1988         75.700         86.803          1.049        132.630         11.927          0.880              ?          0.000          1.033          0.000        772.012          0.074          0.000         -0.073         -0.760          0.282          0.404          0.001              0.564      10549.299          17.002          5.194      10527.103          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         17.925          3.472        -14.453        -22.801          3.342          5.000         -0.000              7.008     151141.125         510.074         57.639     150573.406         44.812          8.680        -36.156        -57.002          8.355         12.500          -0.024              17.505      377852.781         1275.184        144.097     376433.500          1.955         15.600         13.645          0.000          0.000         13.645           0.000              -0.000         772.012            0.000          0.000        772.012
            194           1988         82.103         86.278          1.036        133.744         11.756          0.000              ?          0.000          1.288          0.000        771.458          0.043          0.000         -0.043         -0.802          0.373          0.386         -0.000              0.564      10549.256          16.200          5.567      10527.488          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         18.905          4.453        -14.453        -24.069          4.317          5.312         -0.002              7.007     151126.672         486.004         61.956     150578.719         47.263         11.133        -36.094        -60.173         10.792         13.281           0.035              17.540      377816.688         1215.011        154.889     376446.781          1.354          0.800         -0.554          0.000          0.000         -0.554           0.000              -0.000         771.458            0.000          0.000        771.458
            195           1988         92.263         85.604          1.048        134.721         11.573          0.000              ?          0.000          1.918          0.000        769.401          0.007          0.000         -0.008         -0.709          0.603          0.099         -0.001              0.563      10549.248          15.491          6.170      10527.587          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         17.637          7.002        -10.641        -21.262          6.856          3.766         -0.006              7.001     151116.031         464.742         68.812     150582.484         44.092         17.505        -26.594        -53.155         17.141          9.438          -0.006              17.534      377790.094         1161.856        172.030     376456.219          2.058          0.000         -2.058          0.000          0.000         -2.058           0.000               0.000         769.401            0.000          0.000        769.401
            196           1988        104.216         84.918          1.050        135.478         11.395          0.000              ?          0.000          1.425          0.000        767.791          0.000          0.000          0.001         -0.552          0.702         -0.149          0.001              0.564      10549.249          14.939          6.872      10527.438          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         14.759          8.166         -6.594        -16.559          8.006          1.953         -0.001              7.000     151109.438         448.183         76.818     150584.438         36.897         20.415        -16.500        -41.397         20.016          4.875          -0.017              17.517      377773.594         1120.458        192.045     376461.094          1.610          0.000         -1.610          0.000          0.000         -1.610           0.000               0.000         767.791            0.000          0.000        767.791
            197           1988        118.095         84.169          1.045        136.099         11.225          0.000              ?          0.000          1.781          0.000        765.777          0.000          0.000          0.001         -0.455          0.808         -0.352          0.001              0.565      10549.250          14.484          7.680      10527.086          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         12.892          9.398         -3.484        -13.657          9.222          0.953          0.010              7.010     151105.953         434.527         86.041     150585.391         32.230         23.495         -8.719        -34.142         23.056          2.375           0.016              17.533      377764.875         1086.317        215.101     376463.469          2.013          0.000         -2.013          0.000          0.000         -2.013          -0.000              -0.000         765.777            0.000          0.000        765.777
            198           1988        132.925         83.440          1.043        136.583         11.053          0.000              ?          0.000          0.994          0.000        764.537          0.000          0.000          0.000         -0.357          0.839         -0.482          0.000              0.565      10549.250          14.127          8.519      10526.604          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         11.262          9.956         -1.312        -10.703          9.762         -0.375         -0.006              7.004     151104.641         423.823         95.802     150585.016         28.156         24.889         -3.281        -26.758         24.404         -0.938          -0.015              17.518      377761.594         1059.559        239.506     376462.531          1.241          0.000         -1.241          0.000          0.000         -1.241           0.000              -0.000         764.537            0.000          0.000        764.537
            199           1988        150.413         82.582          1.043        137.054         10.878          0.000              ?          0.000          0.776          0.000        763.483          0.000          0.000         -0.001         -0.351          0.981         -0.631         -0.001              0.564      10549.249          13.777          9.500      10525.973          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         11.317         11.627          0.312        -10.520         11.414         -0.578          0.002              7.006     151104.953         413.304        107.216     150584.438         28.292         29.068          0.812        -26.299         28.535         -1.438           0.037              17.555      377762.406         1033.260        268.041     376461.094          1.054          0.000         -1.054          0.000          0.000         -1.054           0.000               0.000         763.483            0.000          0.000        763.483
            200           1988        171.163         81.604          1.066        137.291         10.709          0.000              ?          0.000          0.659          0.000        762.487          0.000          0.000          0.000         -0.181          1.148         -0.968          0.000              0.564      10549.249          13.596         10.648      10525.005          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          8.159         13.685          5.531         -5.426         13.450         -2.500          0.005              7.011     151110.484         407.878        120.666     150581.938         20.398         34.213         13.812        -13.564         33.625         -6.250          -0.003              17.552      377776.219         1019.696        301.666     376454.844          0.996          0.000         -0.996          0.000          0.000         -0.996          -0.000               0.000         762.487            0.000          0.000        762.487
            201           1988        195.909         80.409          1.109        137.446         10.541          0.000              ?          0.000          0.582          0.000        761.307          0.000          0.000          0.001         -0.124          1.374         -1.250          0.001              0.565      10549.250          13.472         12.022      10523.755          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          7.170         16.190          9.016         -3.706         15.929         -3.203         -0.005              7.007     151119.500         404.172        136.596     150578.734         17.925         40.476         22.531         -9.266         39.823         -8.000          -0.019              17.533      377798.750         1010.430        341.489     376446.844          1.180          0.000         -1.180          0.000          0.000         -1.180           0.000               0.000         761.307            0.000          0.000        761.307
            202           1988        221.067         79.236          1.153        137.579         10.373          0.000              ?          0.000          0.528          0.000        760.212          0.000          0.000          0.000         -0.110          1.366         -1.255          0.000              0.565      10549.250          13.362         13.388      10522.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          7.057         16.299          9.250         -3.314         16.008         -3.453          0.007              7.014     151128.750         400.858        152.604     150575.281         17.642         40.748         23.094         -8.285         40.021         -8.656          -0.013              17.520      377821.844         1002.145        381.510     376438.188          1.095          0.000         -1.095          0.000          0.000         -1.095          -0.000               0.000         760.212            0.000          0.000        760.212
            203           1988        242.715         78.349          1.204        137.670         10.198          0.000              ?          0.000          0.486          0.000        759.297          0.000          0.000         -0.001         -0.084          1.105         -1.021         -0.001              0.564      10549.249          13.278         14.493      10521.479          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          6.875         13.857          6.984         -2.530         13.536         -4.016          0.003              7.017     151135.734         398.328        166.140     150571.266         17.188         34.642         17.469         -6.325         33.840        -10.031           0.015              17.535      377839.312          995.820        415.349     376428.156          0.914          0.000         -0.914          0.000          0.000         -0.914          -0.000               0.000         759.297            0.000          0.000        759.297
