ApsimVersion = 6.1
Title = Millet Sample Simulation
            day           year       sw_dep()  biomass_total    yield_total   mainstem_lai mainstem_biomass mainstem_yield    tiller1_lai tiller1_biomass  tiller1_yield    tiller2_lai tiller2_biomass  tiller2_yield    tiller3_lai tiller3_biomass  tiller3_yield    tiller4_lai tiller4_biomass  tiller4_yield    tiller5_lai tiller5_biomass  tiller5_yield
          (day)         (year)           (mm)            (?)            (?)      (m^2/m^2)          (kg/ha)        (kg/ha)      (m^2/m^2)         (kg/ha)        (kg/ha)      (m^2/m^2)         (kg/ha)        (kg/ha)      (m^2/m^2)         (kg/ha)        (kg/ha)      (m^2/m^2)         (kg/ha)        (kg/ha)      (m^2/m^2)         (kg/ha)        (kg/ha)
             27           1988        793.615         40.499          0.000          0.042             40.0            0.0          0.003             0.4            0.0          0.002             0.1            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             28           1988        792.351         50.990          0.000          0.050             49.9            0.0          0.005             0.8            0.0          0.003             0.4            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             29           1988        791.051         63.495          0.000          0.060             61.4            0.0          0.008             1.7            0.0          0.003             0.4            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             30           1988        789.493         80.597          0.000          0.071             76.8            0.0          0.012             3.0            0.0          0.005             0.8            0.0          0.002             0.1            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             31           1988        792.292         98.551          0.000          0.086             91.7            0.0          0.018             4.9            0.0          0.008             1.6            0.0          0.003             0.3            0.0          0.000             0.0            0.0          0.000             0.0            0.0
             32           1988        789.606        124.323          0.000          0.104            113.3            0.0          0.024             7.9            0.0          0.013             2.8            0.0          0.003             0.3            0.0          0.002             0.1            0.0          0.000             0.0            0.0
             33           1988        787.573        155.657          0.000          0.125            137.7            0.0          0.031            11.8            0.0          0.021             5.0            0.0          0.005             0.9            0.0          0.003             0.3            0.0          0.000             0.0            0.0
             34           1988        785.697        186.516          0.000          0.145            161.3            0.0          0.043            15.8            0.0          0.029             7.5            0.0          0.008             1.6            0.0          0.003             0.3            0.0          0.000             0.0            0.0
             35           1988        783.326        238.744          0.000          0.166            198.7            0.0          0.056            23.9            0.0          0.037            12.5            0.0          0.014             2.9            0.0          0.005             0.7            0.0          0.002             0.1            0.0
             36           1988        780.485        303.747          0.000          0.190            243.7            0.0          0.073            34.2            0.0          0.052            18.8            0.0          0.021             5.2            0.0          0.008             1.6            0.0          0.003             0.4            0.0
             37           1988        777.124        381.748          0.000          0.219            293.1            0.0          0.094            49.3            0.0          0.072            27.7            0.0          0.031             8.6            0.0          0.013             2.7            0.0          0.003             0.4            0.0
             38           1988        775.511        435.740          0.000          0.249            325.2            0.0          0.118            60.1            0.0          0.095            34.7            0.0          0.041            11.3            0.0          0.018             3.9            0.0          0.004             0.6            0.0
             39           1988        809.462        523.965          0.000          0.273            373.9            0.0          0.138            78.0            0.0          0.114            48.4            0.0          0.054            16.5            0.0          0.026             6.1            0.0          0.006             1.1            0.0
             40           1988        803.610        656.126          0.000          0.302            444.6            0.0          0.163           105.5            0.0          0.137            69.7            0.0          0.071            24.7            0.0          0.035             9.9            0.0          0.010             1.9            0.0
             41           1988        797.311        808.667          0.000          0.337            522.3            0.0          0.190           137.1            0.0          0.167            94.6            0.0          0.093            36.8            0.0          0.047            14.7            0.0          0.015             3.2            0.0
             42           1988        791.774        973.139          0.000          0.380            603.7            0.0          0.224           171.1            0.0          0.200           122.3            0.0          0.121            50.5            0.0          0.071            20.7            0.0          0.023             5.0            0.0
             43           1988        785.431       1168.905          0.000          0.432            696.3            0.0          0.268           210.5            0.0          0.244           154.8            0.0          0.159            68.7            0.0          0.104            30.9            0.0          0.035             7.8            0.0
             44           1988        829.992       1331.913          0.000          0.482            772.3            0.0          0.313           243.7            0.0          0.288           182.1            0.0          0.197            84.7            0.0          0.137            39.6            0.0          0.043             9.5            0.0
             45           1988        851.043       1520.011          0.000          0.532            858.2            0.0          0.359           281.8            0.0          0.333           213.2            0.0          0.236           103.7            0.0          0.172            50.9            0.0          0.055            12.3            0.0
             46           1988        847.346       1744.506          0.000          0.576            967.7            0.0          0.402           325.4            0.0          0.375           247.0            0.0          0.273           125.0            0.0          0.205            64.2            0.0          0.067            15.1            0.0
             47           1988        840.035       1969.853          0.000          0.620           1088.6            0.0          0.447           365.7            0.0          0.419           277.3            0.0          0.312           144.1            0.0          0.240            75.6            0.0          0.082            18.5            0.0
             48           1988        832.876       2190.836          0.000          0.664           1215.5            0.0          0.492           401.7            0.0          0.463           305.1            0.0          0.352           160.8            0.0          0.273            85.1            0.0          0.098            22.6            0.0
             49           1988        826.244       2374.283          0.000          0.707           1324.3            0.0          0.538           431.3            0.0          0.508           327.3            0.0          0.390           173.8            0.0          0.297            92.2            0.0          0.109            25.4            0.0
             50           1988        817.415       2599.532          0.000          0.757           1461.8            0.0          0.592           467.0            0.0          0.560           353.6            0.0          0.431           188.7            0.0          0.320           100.0            0.0          0.119            28.4            0.0
             51           1988        806.599       2832.034          0.000          0.815           1607.3            0.0          0.657           503.1            0.0          0.618           379.7            0.0          0.466           203.0            0.0          0.339           107.1            0.0          0.129            31.8            0.0
             52           1988        798.669       3036.000          0.000          0.868           1737.2            0.0          0.715           534.5            0.0          0.660           401.6            0.0          0.491           214.5            0.0          0.353           113.3            0.0          0.138            34.8            0.0
             53           1988        790.529       3248.866          0.000          0.917           1874.5            0.0          0.765           567.2            0.0          0.698           423.4            0.0          0.513           226.2            0.0          0.367           119.7            0.0          0.146            37.9            0.0
             54           1988        781.737       3477.913          0.000          0.966           2022.8            0.0          0.811           602.4            0.0          0.732           446.8            0.0          0.533           238.4            0.0          0.379           126.4            0.0          0.153            41.1            0.0
             55           1988        773.264       3697.135          0.000          1.008           2164.5            0.0          0.851           637.1            0.0          0.758           469.0            0.0          0.549           249.9            0.0          0.390           132.6            0.0          0.159            44.0            0.0
             56           1988        768.415       3826.393          0.000          1.045           2248.2            0.0          0.869           657.8            0.0          0.768           482.1            0.0          0.556           256.4            0.0          0.394           136.2            0.0          0.162            45.6            0.0
             57           1988        765.134       3921.171          0.000          1.073           2309.7            0.0          0.878           672.9            0.0          0.772           491.6            0.0          0.561           261.2            0.0          0.397           138.8            0.0          0.164            47.0            0.0
             58           1988        761.474       4085.371          0.000          1.104           2416.4            0.0          0.890           698.7            0.0          0.779           507.9            0.0          0.563           269.3            0.0          0.401           143.5            0.0          0.168            49.6            0.0
             59           1988        756.032       4278.557          0.000          1.130           2542.0            0.0          0.900           728.7            0.0          0.783           526.8            0.0          0.563           279.2            0.0          0.405           149.2            0.0          0.171            52.6            0.0
             60           1988        763.553       4369.735          0.000          1.133           2601.3            0.0          0.901           742.7            0.0          0.778           535.8            0.0          0.560           283.9            0.0          0.403           152.0            0.0          0.172            54.1            0.0
             61           1988        780.401       4516.201          0.000          1.127           2695.8            0.0          0.903           765.3            0.0          0.778           550.5            0.0          0.558           291.7            0.0          0.400           156.5            0.0          0.174            56.4            0.0
             62           1988        783.313       4639.660          0.000          1.120           2775.1            0.0          0.901           784.5            0.0          0.775           562.9            0.0          0.556           298.4            0.0          0.396           160.4            0.0          0.175            58.3            0.0
             63           1988        783.783       4892.007          0.000          1.110           2937.0            0.0          0.897           823.5            0.0          0.769           588.4            0.0          0.550           312.1            0.0          0.392           168.5            0.0          0.177            62.6            0.0
             64           1988        776.092       5184.629          0.000          1.100           3124.0            0.0          0.887           868.7            0.0          0.761           618.0            0.0          0.540           328.1            0.0          0.388           178.2            0.0          0.173            67.6            0.0
             65           1988        770.750       5430.308          0.000          1.090           3278.0            0.0          0.878           907.4            0.0          0.752           643.8            0.0          0.531           342.5            0.0          0.382           186.8            0.0          0.169            71.8            0.0
             66           1988        791.527       5692.554          0.000          1.082           3438.4            0.0          0.869           950.0            0.0          0.741           672.6            0.0          0.523           358.7            0.0          0.372           196.6            0.0          0.165            76.3            0.0
             67           1988        784.336       6011.144          0.000          1.073           3629.5            0.0          0.862          1003.3            0.0          0.731           708.9            0.0          0.515           379.1            0.0          0.363           208.9            0.0          0.160            81.5            0.0
             68           1988        777.296       6324.459          0.000          1.062           3814.4            0.0          0.853          1056.9            0.0          0.721           745.5            0.0          0.508           399.7            0.0          0.354           221.3            0.0          0.156            86.6            0.0
             69           1988        768.962       6657.616          0.000          1.050           4007.8            0.0          0.841          1115.3            0.0          0.710           785.5            0.0          0.498           422.2            0.0          0.344           234.9            0.0          0.151            91.9            0.0
             70           1988        759.305       7008.680          0.000          1.038           4207.3            0.0          0.828          1178.9            0.0          0.698           829.2            0.0          0.485           446.9            0.0          0.333           249.0            0.0          0.146            97.4            0.0
             71           1988        746.350       7381.649          0.000          1.024           4415.2            0.0          0.813          1249.2            0.0          0.685           877.8            0.0          0.471           472.7            0.0          0.321           263.6            0.0          0.139           103.1            0.0
             72           1988        741.951       7695.424          0.000          1.013           4587.0            0.0          0.803          1311.3            0.0          0.673           919.6            0.0          0.460           494.1            0.0          0.311           275.7            0.0          0.135           107.8            0.0
             73           1988        733.964       7971.402         36.787          1.006           4715.4           36.8          0.795          1379.5            0.0          0.664           961.1            0.0          0.453           515.3            0.0          0.302           287.6            0.0          0.131           112.4            0.0
             74           1988        726.533       8261.995         75.874          0.997           4850.6           75.9          0.787          1451.4            0.0          0.655          1004.9            0.0          0.444           537.7            0.0          0.293           300.1            0.0          0.128           117.2            0.0
             75           1988        719.160       8556.354        118.920          0.985           4987.6          118.9          0.776          1524.4            0.0          0.643          1049.3            0.0          0.434           560.3            0.0          0.281           312.5            0.0          0.123           122.1            0.0
             76           1988        713.545       8798.048        209.415          0.970           5116.1          166.4          0.762          1575.1           21.6          0.630          1080.1           14.8          0.423           576.0            6.6          0.268           324.1            0.0          0.118           126.6            0.0
             77           1988        708.640       9040.828        293.867          0.957           5246.6          210.0          0.749          1626.7           41.5          0.618          1111.6           28.3          0.409           592.0           12.6          0.256           332.7            1.5          0.113           131.2            0.0
             78           1988        703.723       9283.150        376.337          0.945           5376.8          252.5          0.737          1678.4           60.8          0.607          1143.1           41.5          0.396           607.9           18.5          0.245           341.1            3.0          0.108           135.8            0.0
             79           1988        699.228       9516.192        457.569          0.933           5503.5          294.4          0.726          1726.1           79.9          0.596          1173.9           54.5          0.384           623.3           24.3          0.234           349.2            4.4          0.103           140.2            0.0
             80           1988        694.691       9741.466        539.296          0.921           5627.8          336.6          0.714          1770.7           99.1          0.583          1204.3           67.6          0.371           638.3           30.2          0.223           357.0            5.8          0.000           143.3            0.0
             81           1988        690.685       9813.228        623.500          0.908           5749.5          380.0          0.701          1812.3          118.9          0.568          1234.0           81.1          0.358           653.0           36.2          0.210           364.5            7.3          0.000             0.0            0.0
             82           1988        686.179      10026.342        706.961          0.894           5871.3          423.1          0.689          1852.1          138.5          0.553          1263.6           94.4          0.345           667.5           42.2          0.198           371.9            8.8          0.000             0.0            0.0
             83           1988        682.255      10230.734        795.128          0.878           5989.2          468.5          0.674          1889.0          159.2          0.537          1292.3          108.5          0.331           681.4           48.5          0.184           378.8           10.4          0.000             0.0            0.0
             84           1988        678.212      10428.121        880.322          0.862           6104.5          512.5          0.658          1923.6          179.2          0.522          1319.7          122.2          0.317           695.0           54.6          0.171           385.4           11.9          0.000             0.0            0.0
             85           1988        677.785      10585.358        965.517          0.846           6197.2          556.4          0.641          1950.7          199.2          0.507          1341.1          135.8          0.301           705.8           60.7          0.158           390.5           13.4          0.000             0.0            0.0
             86           1988        673.171      10772.509       1043.777          0.833           6307.1          596.8          0.627          1983.3          217.6          0.494          1367.2          148.3          0.286           718.5           66.3          0.147           396.3           14.8          0.000             0.0            0.0
             87           1988        669.180      10954.425       1123.523          0.818           6416.1          637.9          0.612          2013.8          236.3          0.480          1391.8          161.1          0.272           730.8           72.0          0.136           401.9           16.2          0.000             0.0            0.0
             88           1988        665.280      11139.680       1205.745          0.804           6529.0          680.3          0.597          2043.8          255.6          0.464          1416.0          174.3          0.257           743.4           77.9          0.125           407.5           17.7          0.000             0.0            0.0
             89           1988        661.167      11319.674       1290.692          0.788           6640.1          724.1          0.581          2072.3          275.6          0.446          1439.2          187.9          0.241           755.5           84.0          0.118           412.7           19.2          0.000             0.0            0.0
             90           1988        657.506      11489.556       1379.602          0.770           6746.0          770.0          0.564          2098.3          296.4          0.426          1460.8          202.1          0.223           766.7           90.3          0.111           417.7           20.8          0.000             0.0            0.0
             91           1988        656.875      11557.371       1451.670          0.756           6786.8          807.1          0.550          2109.7          313.4          0.413          1470.4          213.7          0.211           770.9           95.5          0.106           419.5           22.0          0.000             0.0            0.0
             92           1988        691.494      11655.921       1542.313          0.736           6848.8          853.9          0.529          2124.8          334.6          0.393          1482.9          228.2          0.194           777.1          102.0          0.098           422.3           23.6          0.000             0.0            0.0
             93           1988        706.822      11760.552       1637.662          0.715           6914.5          903.1          0.506          2141.1          357.0          0.372          1496.2          243.4          0.181           783.5          108.8          0.090           425.2           25.3          0.000             0.0            0.0
             94           1988        724.418      11842.230       1725.828          0.696           6965.8          948.5          0.486          2153.9          377.7          0.352          1506.7          257.6          0.168           788.4          115.1          0.083           427.4           26.9          0.000             0.0            0.0
             95           1988        751.519      11943.006       1816.224          0.676           7029.1          995.2          0.464          2170.0          399.0          0.333          1519.6          272.0          0.156           794.3          121.6          0.075           430.1           28.5          0.000             0.0            0.0
             96           1988        757.045      12001.876       1895.227          0.660           7065.8         1035.9          0.447          2179.6          417.5          0.317          1527.3          284.7          0.145           797.6          127.2          0.071           431.5           29.9          0.000             0.0            0.0
             97           1988        779.054      12110.555       1989.832          0.639           7133.9         1084.7          0.425          2197.3          439.7          0.295          1541.5          299.8          0.132           803.6          134.0          0.066           434.2           31.6          0.000             0.0            0.0
             98           1988        776.589      12211.128       2087.905          0.614           7197.3         1135.3          0.401          2213.7          462.8          0.273          1554.5          315.5          0.117           809.0          141.0          0.061           436.7           33.3          0.000             0.0            0.0
             99           1988        780.168      12284.025       2186.473          0.590           7243.3         1186.1          0.376          2225.6          485.9          0.250          1563.9          331.3          0.105           812.7          148.1          0.055           438.4           35.1          0.000             0.0            0.0
            100           1988        779.032      12358.753       2276.373          0.569           7290.2         1232.5          0.354          2238.3          507.0          0.230          1573.8          345.7          0.097           816.3          154.5          0.050           440.2           36.7          0.000             0.0            0.0
            101           1988        777.249      12438.620       2350.919          0.553           7339.4         1270.9          0.338          2253.4          524.5          0.216          1583.9          357.6          0.091           819.9          159.8          0.047           441.9           38.0          0.000             0.0            0.0
            102           1988        801.136      12465.525       2414.319          0.541           7355.4         1303.6          0.326          2259.4          539.4          0.205          1587.1          367.8          0.087           821.1          164.4          0.044           442.5           39.1          0.000             0.0            0.0
            103           1988        819.956      12534.762       2493.074          0.524           7399.0         1344.3          0.308          2271.8          557.9          0.192          1595.7          380.4          0.081           824.3          170.0          0.041           444.0           40.5          0.000             0.0            0.0
            104           1988        819.794      12611.346       2579.260          0.504           7447.7         1388.7          0.288          2285.2          578.2          0.179          1605.1          394.2          0.074           827.7          176.2          0.038           445.6           42.0          0.000             0.0            0.0
            105           1988        817.033      12706.947       2667.674          0.483           7508.7         1434.3          0.267          2302.1          598.9          0.165          1616.6          408.4          0.066           831.9          182.5          0.036           447.6           43.6          0.000             0.0            0.0
            106           1988        813.894      12799.456       2708.928          0.464           7568.3         1434.3          0.248          2318.2          618.9          0.153          1627.7          422.0          0.059           835.8          188.6          0.033           449.5           45.1          0.000             0.0            0.0
            107           1988        811.330      12883.703       2747.784          0.446           7623.0         1434.3          0.233          2332.7          637.8          0.141          1637.6          434.8          0.053           839.1          194.3          0.031           451.3           46.5          0.000             0.0            0.0
            108           1988        808.744      12949.403       2784.001          0.430           7665.3         1434.3          0.219          2344.9          655.3          0.131          1645.0          446.8          0.050           841.6          199.7          0.029           452.6           47.9          0.000             0.0            0.0
            109           1988        806.324      12973.060       2785.332          0.003           7665.3         1434.3          0.205          2357.3          655.3          0.120          1652.4          446.8          0.047           844.1          199.7          0.027           454.0           49.2          0.000             0.0            0.0
            110           1988        806.507       5324.971       1352.225          0.000              0.0            0.0          0.193          2366.9          655.3          0.112          1657.4          446.8          0.045           845.8          199.7          0.025           454.9           50.4          0.000             0.0            0.0
            111           1988        804.126       5346.281       1352.225          0.000              0.0            0.0          0.178          2378.7          655.3          0.101          1663.5          446.8          0.042           848.0          199.7          0.023           456.1           50.4          0.000             0.0            0.0
            112           1988        801.110       5380.460       1352.225          0.000              0.0            0.0          0.162          2397.9          655.3          0.094          1673.2          446.8          0.038           851.5          199.7          0.022           457.9           50.4          0.000             0.0            0.0
            113           1988        798.957       5382.052       1352.225          0.000              0.0            0.0          0.002          2397.9          655.3          0.002          1673.2          446.8          0.002           851.5          199.7          0.020           459.5           50.4          0.000             0.0            0.0
            114           1988        796.842        459.505         50.395          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.002           459.5           50.4          0.000             0.0            0.0
            115           1988        794.741          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            116           1988        792.664          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            117           1988        790.627          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            118           1988        788.642          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            119           1988        786.723          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            120           1988        788.639          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            121           1988        784.632          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            122           1988        782.895          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            123           1988        781.264          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            124           1988        779.738          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            125           1988        778.315          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            126           1988        776.994          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            127           1988        775.769          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            128           1988        774.638          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            129           1988        773.594          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            130           1988        772.633          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            131           1988        771.749          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            132           1988        770.935          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            133           1988        770.188          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            134           1988        769.500          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            135           1988        768.866          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            136           1988        768.282          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            137           1988        767.743          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            138           1988        767.244          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            139           1988        783.006          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            140           1988        780.319          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            141           1988        778.263          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            142           1988        777.112          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            143           1988        776.202          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
            144           1988        775.424          0.000          0.000          0.000              0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0          0.000             0.0            0.0
