ApsimVersion = 5.4
Title = Sorghum summer-grass Simulation
            day           year       weed_lai   weed_biomass weed_grn_biomass            lai        biomass  green_biomass          yield
          (day)         (year)      (m^2/m^2)        (kg/ha)          (kg/ha)        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)
            100           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            101           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            102           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            103           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            104           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            105           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            106           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            107           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            108           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            109           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            110           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            111           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            112           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            113           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            114           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            115           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            116           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            117           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            118           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            119           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            120           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            121           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            122           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            123           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            124           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            125           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            126           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            127           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            128           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            129           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            130           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            131           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            132           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            133           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            134           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            135           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            136           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            137           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            138           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            139           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            140           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            141           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            142           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            143           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            144           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            145           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            146           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            147           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            148           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            149           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            150           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            151           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            152           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            153           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            154           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            155           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
            156           1988          0.000            0.0              0.0          0.000            0.0            0.0            0.0
