Summary_file = winterfallow.sum
Title = Winter dicot fallow Simulation
    day   year       weed_lai   weed_biomass weed_grn_bioma
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
    354   1988          0.000          0.000          0.000
    355   1988          0.000          0.000          0.000
    356   1988          0.000          0.000          0.000
    357   1988          0.000          0.000          0.000
    358   1988          0.000          0.000          0.000
    359   1988          0.000          0.000          0.000
    360   1988          0.000          0.000          0.000
    361   1988          0.000          0.000          0.000
    362   1988          0.000          0.000          0.000
    363   1988          0.000          0.000          0.000
    364   1988          0.000          0.000          0.000
    365   1988          0.000          0.000          0.000
    366   1988          0.000          0.000          0.000
      1   1989          0.000          0.000          0.000
      2   1989          0.000          0.000          0.000
      3   1989          0.000          0.000          0.000
      4   1989          0.000          0.000          0.000
      5   1989          0.000          0.000          0.000
      6   1989          0.000          0.000          0.000
      7   1989          0.000          0.000          0.000
      8   1989          0.000          0.000          0.000
      9   1989          0.000          0.000          0.000
     10   1989          0.000          0.000          0.000
     11   1989          0.000          0.000          0.000
     12   1989          0.000          0.000          0.000
     13   1989          0.000          0.000          0.000
     14   1989          0.000          0.000          0.000
     15   1989          0.000          0.000          0.000
     16   1989          0.000          0.000          0.000
     17   1989          0.000          0.000          0.000
     18   1989          0.000          0.000          0.000
     19   1989          0.000          0.000          0.000
     20   1989          0.000          0.000          0.000
     21   1989          0.000          0.000          0.000
     22   1989          0.000          0.000          0.000
     23   1989          0.000          0.000          0.000
     24   1989          0.000          0.000          0.000
     25   1989          0.000          0.000          0.000
     26   1989          0.000          0.000          0.000
     27   1989          0.000          0.000          0.000
     28   1989          0.000          0.000          0.000
     29   1989          0.000          0.000          0.000
     30   1989          0.000          0.000          0.000
     31   1989          0.000          0.000          0.000
     32   1989          0.000          0.000          0.000
     33   1989          0.000          0.000          0.000
     34   1989          0.000          0.000          0.000
     35   1989          0.000          0.000          0.000
     36   1989          0.000          0.000          0.000
     37   1989          0.000          0.000          0.000
     38   1989          0.000          0.000          0.000
     39   1989          0.000          0.000          0.000
     40   1989          0.000          0.000          0.000
     41   1989          0.000          0.000          0.000
     42   1989          0.000          0.000          0.000
     43   1989          0.000          0.000          0.000
     44   1989          0.000          0.000          0.000
     45   1989          0.000          0.000          0.000
     46   1989          0.000          0.000          0.000
     47   1989          0.000          0.000          0.000
     48   1989          0.000          0.000          0.000
     49   1989          0.000          0.000          0.000
     50   1989          0.000          0.000          0.000
     51   1989          0.000          0.000          0.000
     52   1989          0.000          0.000          0.000
     53   1989          0.000          0.000          0.000
     54   1989          0.000          0.000          0.000
     55   1989          0.000          0.000          0.000
     56   1989          0.000          0.000          0.000
     57   1989          0.000          0.000          0.000
     58   1989          0.000          0.000          0.000
     59   1989          0.000          0.000          0.000
     60   1989          0.000          0.000          0.000
     61   1989          0.000          0.000          0.000
     62   1989          0.000          0.000          0.000
     63   1989          0.000          0.000          0.000
     64   1989          0.000          0.000          0.000
     65   1989          0.000          0.000          0.000
     66   1989          0.000          0.000          0.000
     67   1989          0.000          0.000          0.000
     68   1989          0.000          0.000          0.000
     69   1989          0.000          0.000          0.000
     70   1989          0.000          0.000          0.000
     71   1989          0.000          0.000          0.000
     72   1989          0.000          0.000          0.000
     73   1989          0.000          0.000          0.000
     74   1989          0.000          0.000          0.000
     75   1989          0.000          0.000          0.000
     76   1989          0.000          0.000          0.000
     77   1989          0.000          0.000          0.000
     78   1989          0.000          0.000          0.000
     79   1989          0.000          0.000          0.000
     80   1989          0.000          0.000          0.000
     81   1989          0.000          0.000          0.000
     82   1989          0.000          0.000          0.000
     83   1989          0.000          0.000          0.000
     84   1989          0.000          0.000          0.000
     85   1989          0.000          0.000          0.000
     86   1989          0.000          0.000          0.000
     87   1989          0.000          0.000          0.000
     88   1989          0.000          0.000          0.000
     89   1989          0.000          0.000          0.000
     90   1989          0.000          0.000          0.000
     91   1989          0.000          0.000          0.000
     92   1989          0.000          0.000          0.000
     93   1989          0.000          0.000          0.000
     94   1989          0.000          0.000          0.000
     95   1989          0.000          0.000          0.000
     96   1989          0.000          0.000          0.000
     97   1989          0.000          0.000          0.000
     98   1989          0.000          0.000          0.000
     99   1989          0.000          0.000          0.000
    100   1989          0.000          0.000          0.000
    101   1989          0.000          0.000          0.000
    102   1989          0.000          0.000          0.000
    103   1989          0.000          0.000          0.000
    104   1989          0.000          0.000          0.000
    105   1989          0.000          0.000          0.000
    106   1989          0.000          0.000          0.000
    107   1989          0.000          0.000          0.000
    108   1989          0.000          0.000          0.000
    109   1989          0.000          0.000          0.000
    110   1989          0.000          0.000          0.000
    111   1989          0.000          0.000          0.000
    112   1989          0.000          0.000          0.000
    113   1989          0.000          0.000          0.000
    114   1989          0.000          0.000          0.000
    115   1989          0.000          0.000          0.000
    116   1989          0.000          0.000          0.000
    117   1989          0.000          0.000          0.000
    118   1989          0.000          0.000          0.000
    119   1989          0.000          0.000          0.000
    120   1989          0.000          0.000          0.000
    121   1989          0.000          0.000          0.000
    122   1989          0.000          0.000          0.000
    123   1989          0.000          0.000          0.000
    124   1989          0.000          0.000          0.000
    125   1989          0.000          0.000          0.000
    126   1989          0.000          0.000          0.000
    127   1989          0.000          0.000          0.000
    128   1989          0.000          0.000          0.000
    129   1989          0.000          0.000          0.000
    130   1989          0.000          0.000          0.000
    131   1989          0.000          0.000          0.000
    132   1989          0.000          0.000          0.000
    133   1989          0.000          0.000          0.000
    134   1989          0.000          0.000          0.000
    135   1989          0.000          0.000          0.000
    136   1989          0.000          0.000          0.000
    137   1989          0.000          0.000          0.000
    138   1989          0.000          0.000          0.000
    139   1989          0.000          0.000          0.000
    140   1989          0.000          0.000          0.000
    141   1989          0.000          0.000          0.000
    142   1989          0.000          0.000          0.000
    143   1989          0.000          0.000          0.000
    144   1989          0.000          0.000          0.000
    145   1989          0.000          0.000          0.000
    146   1989          0.000          0.000          0.000
    147   1989          0.000          0.000          0.000
    148   1989          0.000          0.000          0.000
    149   1989          0.000          0.000          0.000
    150   1989          0.000          0.000          0.000
