Summary_file = step3.sum
Title = Step 3. swim
           date       sw_dep()  transpiration
             ()           (mm)             ()
     01/01/1976        531.606          0.000
     02/01/1976        531.084          0.488
     03/01/1976        530.564          0.494
     04/01/1976        530.049          0.489
     05/01/1976        528.950          1.073
     06/01/1976        528.435          0.490
     07/01/1976        527.357          1.054
     08/01/1976        526.853          0.482
     09/01/1976        525.831          1.002
     10/01/1976        524.682          1.130
     11/01/1976        524.171          0.494
     12/01/1976        523.687          0.469
     13/01/1976        522.832          0.840
     14/01/1976        522.358          0.460
     15/01/1976        521.852          0.494
     16/01/1976        521.322          0.518
     17/01/1976        520.829          0.483
     18/01/1976        519.761          1.057
     19/01/1976        518.727          1.025
     20/01/1976        517.970          0.747
     21/01/1976        517.467          0.495
     22/01/1976        516.957          0.502
     23/01/1976        516.450          0.500
     24/01/1976        515.930          0.513
     25/01/1976        515.417          0.507
     26/01/1976        514.885          0.525
     27/01/1976        514.055          0.824
     28/01/1976        513.127          0.923
     29/01/1976        512.135          0.986
     30/01/1976        511.157          0.974
     31/01/1976        510.132          1.021
     01/02/1976        509.142          0.986
     02/02/1976        508.302          0.836
     03/02/1976        507.442          0.856
     04/02/1976        507.029          0.409
     05/02/1976        506.600          0.426
     06/02/1976        505.659          0.937
     07/02/1976        504.697          0.959
     08/02/1976        504.303          0.391
     09/02/1976        503.527          0.773
     10/02/1976        502.570          0.955
     11/02/1976        502.195          0.372
     12/02/1976        501.799          0.393
     13/02/1976        501.447          0.350
     14/02/1976        500.505          0.940
     15/02/1976        499.521          0.982
     16/02/1976        498.599          0.920
     17/02/1976        497.753          0.843
     18/02/1976        496.894          0.857
     19/02/1976        496.113          0.779
     20/02/1976        495.306          0.805
     21/02/1976        494.518          0.786
     22/02/1976        493.651          0.866
     23/02/1976        493.173          0.476
     24/02/1976        492.766          0.405
     25/02/1976        492.271          0.494
     26/02/1976        491.357          0.912
     27/02/1976        490.909          0.447
     28/02/1976        490.461          0.446
     29/02/1976        489.610          0.850
     01/03/1976        489.202          0.407
     02/03/1976        488.462          0.738
     03/03/1976        487.718          0.743
     04/03/1976        486.984          0.732
     05/03/1976        486.515          0.468
     06/03/1976        486.446          0.067
     07/03/1976        486.391          0.055
     08/03/1976        486.337          0.052
     09/03/1976        486.287          0.049
     10/03/1976        486.238          0.047
     11/03/1976        486.192          0.045
     12/03/1976        486.148          0.043
     13/03/1976        486.106          0.041
     14/03/1976        486.065          0.039
     15/03/1976        486.027          0.038
     16/03/1976        485.989          0.036
     17/03/1976        485.954          0.034
     18/03/1976        485.919          0.033
     19/03/1976        485.887          0.032
     20/03/1976        485.855          0.030
     21/03/1976        485.825          0.029
     22/03/1976        485.796          0.028
     23/03/1976        485.768          0.027
     24/03/1976        485.741          0.026
     25/03/1976        485.715          0.025
     26/03/1976        485.690          0.024
     27/03/1976        485.666          0.023
     28/03/1976        485.642          0.022
     29/03/1976        485.620          0.021
     30/03/1976        485.598          0.020
     31/03/1976        485.578          0.020
     01/04/1976        485.557          0.019
     02/04/1976        485.538          0.018
     03/04/1976        485.519          0.018
     04/04/1976        485.501          0.017
     05/04/1976        485.484          0.016
     06/04/1976        485.467          0.016
     07/04/1976        485.451          0.015
     08/04/1976        485.435          0.015
     09/04/1976        485.420          0.014
     10/04/1976        485.405          0.014
     11/04/1976        485.391          0.013
     12/04/1976        485.378          0.013
     13/04/1976        485.364          0.012
     14/04/1976        485.352          0.012
     15/04/1976        485.339          0.011
     16/04/1976        485.327          0.011
     17/04/1976        485.316          0.011
     18/04/1976        485.305          0.010
     19/04/1976        485.294          0.010
     20/04/1976        485.284          0.009
     21/04/1976        485.274          0.009
     22/04/1976        485.264          0.009
     23/04/1976        485.254          0.008
     24/04/1976        485.245          0.008
     25/04/1976        485.237          0.008
     26/04/1976        485.228          0.008
     27/04/1976        485.220          0.007
     28/04/1976        485.212          0.007
     29/04/1976        485.204          0.007
     30/04/1976        485.197          0.006
     01/05/1976        485.190          0.006
     02/05/1976        485.183          0.006
     03/05/1976        485.176          0.006
     04/05/1976        485.170          0.006
     05/05/1976        485.163          0.005
     06/05/1976        485.157          0.005
     07/05/1976        485.151          0.005
     08/05/1976        485.146          0.005
     09/05/1976        485.140          0.004
     10/05/1976        485.135          0.004
     11/05/1976        485.130          0.004
     12/05/1976        485.125          0.004
     13/05/1976        485.121          0.004
     14/05/1976        485.116          0.004
     15/05/1976        485.112          0.003
     16/05/1976        485.107          0.003
     17/05/1976        485.103          0.003
     18/05/1976        485.099          0.003
     19/05/1976        485.096          0.003
     20/05/1976        485.092          0.003
     21/05/1976        485.089          0.003
     22/05/1976        485.085          0.002
     23/05/1976        485.082          0.002
     24/05/1976        485.079          0.002
     25/05/1976        485.076          0.002
     26/05/1976        485.073          0.002
     27/05/1976        485.070          0.002
     28/05/1976        485.068          0.002
     29/05/1976        485.065          0.002
     30/05/1976        485.063          0.002
     31/05/1976        485.061          0.001
     01/06/1976        485.058          0.001
     02/06/1976        485.056          0.001
     03/06/1976        485.054          0.001
     04/06/1976        485.052          0.001
     05/06/1976        485.051          0.001
     06/06/1976        485.049          0.001
     07/06/1976        485.047          0.001
     08/06/1976        485.046          0.001
     09/06/1976        485.044          0.001
     10/06/1976        485.043          0.001
     11/06/1976        485.042          0.000
     12/06/1976        485.040          0.000
     13/06/1976        485.039          0.000
     14/06/1976        485.038          0.000
     15/06/1976        485.037          0.000
     16/06/1976        485.036          0.000
     17/06/1976        485.035          0.000
     18/06/1976        485.035          0.000
     19/06/1976        485.034          0.000
     20/06/1976        485.033          0.000
     21/06/1976        485.032          0.000
     22/06/1976        485.031          0.000
     23/06/1976        485.030          0.000
     24/06/1976        485.029          0.000
     25/06/1976        485.029          0.000
     26/06/1976        485.028          0.000
     27/06/1976        485.027          0.000
     28/06/1976        485.026          0.000
     29/06/1976        485.025          0.000
     30/06/1976        485.024          0.000
     01/07/1976        485.023          0.000
     02/07/1976        485.023          0.000
     03/07/1976        485.022          0.000
     04/07/1976        485.021          0.000
     05/07/1976        485.020          0.000
     06/07/1976        485.019          0.000
     07/07/1976        485.018          0.000
     08/07/1976        485.018          0.000
     09/07/1976        485.017          0.000
     10/07/1976        485.016          0.000
     11/07/1976        485.015          0.000
     12/07/1976        485.014          0.000
     13/07/1976        485.013          0.000
     14/07/1976        485.013          0.000
     15/07/1976        485.012          0.000
     16/07/1976        485.011          0.000
     17/07/1976        485.010          0.000
     18/07/1976        485.009          0.000
     19/07/1976        485.009          0.000
     20/07/1976        485.008          0.000
     21/07/1976        485.007          0.000
     22/07/1976        485.006          0.000
     23/07/1976        485.005          0.000
     24/07/1976        485.005          0.000
     25/07/1976        485.004          0.000
     26/07/1976        485.003          0.000
     27/07/1976        485.002          0.000
     28/07/1976        485.001          0.000
     29/07/1976        485.000          0.000
     30/07/1976        485.000          0.000
     31/07/1976        484.999          0.000
     01/08/1976        484.998          0.000
     02/08/1976        484.997          0.000
     03/08/1976        484.996          0.000
