APSIM output file, version = 5.4
Title = bambatsi Sample Simulation
           date            day           year            lai   foliage_mass      root_mass        biomass             ep          cover             fw             fn             ft           fvpd             ff
             ()          (day)         (year)        (m2/m2)        (kg/ha)             ()        (kg/ha)           (mm)             ()          (0-1)          (0-1)          (0-1)          (0-1)          (0-1)
     01/01/1988              1           1988          0.005            3.3        149.250            3.3          0.000          0.003          0.000          1.000          1.000          1.000          1.000
     02/01/1988              2           1988          0.006            3.8        148.995            4.5          0.040          0.004          1.000          1.000          1.000          1.000          1.000
     03/01/1988              3           1988          0.006            4.3        148.817            5.8          0.039          0.005          1.000          1.000          1.000          1.000          1.000
     04/01/1988              4           1988          0.007            4.8        148.593            7.0          0.035          0.005          1.000          1.000          1.000          1.000          1.000
     05/01/1988              5           1988          0.008            5.3        148.367            8.2          0.027          0.006          1.000          1.000          1.000          1.000          1.000
     06/01/1988              6           1988          0.009            6.0        148.380           10.0          0.033          0.006          1.000          1.000          1.000          1.000          1.000
     07/01/1988              7           1988          0.010            6.8        148.484           12.0          0.033          0.007          1.000          1.000          1.000          1.000          1.000
     08/01/1988              8           1988          0.012            7.8        148.814           14.5          0.053          0.008          1.000          1.000          1.000          1.000          1.000
     09/01/1988              9           1988          0.013            9.0        149.348           17.4          0.073          0.009          1.000          1.000          1.000          1.000          1.000
     10/01/1988             10           1988          0.015           10.3        150.050           20.8          0.085          0.011          1.000          1.000          1.000          1.000          1.000
     11/01/1988             11           1988          0.017           11.6        150.735           24.0          0.064          0.012          1.000          0.936          1.000          1.000          1.000
     12/01/1988             12           1988          0.019           12.7        151.375           26.8          0.050          0.013          1.000          0.780          1.000          1.000          1.000
     13/01/1988             13           1988          0.021           14.1        152.375           30.3          0.069          0.015          1.000          0.827          1.000          1.000          1.000
     14/01/1988             14           1988          0.024           15.7        153.625           34.4          0.089          0.016          1.000          0.797          1.000          1.000          1.000
     15/01/1988             15           1988          0.026           17.4        154.978           38.6          0.094          0.018          1.000          0.796          1.000          1.000          1.000
     16/01/1988             16           1988          0.028           18.6        155.665           41.5          0.053          0.019          1.000          0.806          1.000          1.000          1.000
     17/01/1988             17           1988          0.031           20.8        157.425           46.9          0.153          0.022          1.000          0.874          1.000          1.000          1.000
     18/01/1988             18           1988          0.035           23.3        159.786           53.2          0.205          0.024          1.000          0.793          1.000          1.000          1.000
     19/01/1988             19           1988          0.038           25.4        161.640           58.4          0.136          0.026          1.000          0.785          1.000          1.000          1.000
     20/01/1988             20           1988          0.042           27.8        163.752           64.4          0.165          0.029          1.000          0.835          1.000          1.000          1.000
     21/01/1988             21           1988          0.047           31.0        166.910           72.5          0.210          0.032          1.000          0.827          1.000          1.000          1.000
     22/01/1988             22           1988          0.050           33.6        169.389           79.1          0.180          0.035          1.000          0.791          1.000          1.000          1.000
     23/01/1988             23           1988          0.055           36.9        172.503           87.3          0.162          0.038          1.000          0.843          1.000          1.000          1.000
     24/01/1988             24           1988          0.062           41.1        176.847           97.9          0.278          0.042          1.000          0.823          1.000          1.000          1.000
     25/01/1988             25           1988          0.068           45.4        181.289          108.5          0.230          0.047          1.000          0.794          1.000          1.000          1.000
     26/01/1988             26           1988          0.075           50.2        186.367          120.6          0.224          0.051          1.000          0.813          1.000          1.000          1.000
     27/01/1988             27           1988          0.083           55.6        192.177          134.1          0.282          0.057          1.000          0.807          1.000          1.000          1.000
     28/01/1988             28           1988          0.092           61.2        198.080          147.9          0.300          0.062          1.000          0.805          1.000          1.000          1.000
     29/01/1988             29           1988          0.101           67.2        204.527          163.0          0.269          0.068          1.000          0.820          1.000          1.000          1.000
     30/01/1988             30           1988          0.111           73.9        212.414          181.1          0.443          0.075          1.000          0.820          1.000          1.000          1.000
     31/01/1988             31           1988          0.119           79.5        219.147          196.8          0.409          0.080          1.000          0.809          1.000          1.000          1.000
     01/02/1988             32           1988          0.131           87.1        228.040          217.5          0.481          0.087          1.000          0.848          1.000          1.000          1.000
     02/02/1988             33           1988          0.142           94.4        236.955          237.8          0.411          0.094          1.000          0.815          1.000          1.000          1.000
     03/02/1988             34           1988          0.151          100.9        244.692          256.1          0.346          0.100          1.000          0.833          1.000          1.000          1.000
     04/02/1988             35           1988          0.167          111.1        256.740          283.9          0.554          0.110          1.000          0.861          1.000          1.000          1.000
     05/02/1988             36           1988          0.183          121.9        270.262          313.6          0.699          0.120          1.000          0.805          1.000          1.000          1.000
     06/02/1988             37           1988          0.200          133.5        284.571          345.1          0.846          0.131          1.000          0.811          1.000          1.000          1.000
     07/02/1988             38           1988          0.210          140.1        292.841          364.7          0.246          0.137          1.000          0.816          1.000          1.000          1.000
     08/02/1988             39           1988          0.227          151.4        306.001          396.1          0.585          0.147          1.000          0.894          0.983          1.000          1.000
     09/02/1988             40           1988          0.250          166.4        324.334          437.0          0.881          0.160          1.000          0.839          1.000          1.000          1.000
     10/02/1988             41           1988          0.273          182.0        343.965          479.7          1.034          0.174          1.000          0.809          1.000          1.000          1.000
     11/02/1988             42           1988          0.297          198.1        364.233          524.2          1.099          0.188          1.000          0.818          1.000          1.000          1.000
     12/02/1988             43           1988          0.324          216.3        386.843          574.0          1.268          0.203          1.000          0.826          1.000          1.000          1.000
     13/02/1988             44           1988          0.345          230.0        404.171          613.0          0.911          0.215          1.000          0.821          1.000          1.000          1.000
     14/02/1988             45           1988          0.369          246.0        423.724          658.4          0.970          0.228          1.000          0.870          1.000          1.000          1.000
     15/02/1988             46           1988          0.399          266.1        448.237          714.0          1.065          0.244          1.000          0.858          1.000          1.000          1.000
     16/02/1988             47           1988          0.431          287.5        474.982          773.6          1.204          0.261          1.000          0.838          1.000          1.000          1.000
     17/02/1988             48           1988          0.465          310.1        503.206          836.5          1.224          0.278          1.000          0.840          1.000          1.000          1.000
     18/02/1988             49           1988          0.496          330.7        529.001          894.9          1.325          0.293          1.000          0.843          1.000          1.000          1.000
     19/02/1988             50           1988          0.539          359.2        563.955          973.7          1.773          0.314          1.000          0.864          1.000          1.000          1.000
     20/02/1988             51           1988          0.585          390.0        602.713         1058.5          2.306          0.336          1.000          0.830          1.000          1.000          1.000
     21/02/1988             52           1988          0.628          418.6        638.987         1138.8          1.804          0.356          1.000          0.831          1.000          1.000          1.000
     22/02/1988             53           1988          0.676          450.8        679.156         1228.8          2.067          0.377          1.000          0.852          1.000          1.000          1.000
     23/02/1988             54           1988          0.731          487.0        724.440         1329.4          2.426          0.400          1.000          0.846          1.000          1.000          1.000
     24/02/1988             55           1988          0.784          522.7        769.464         1429.4          2.499          0.422          1.000          0.840          1.000          1.000          1.000
     25/02/1988             56           1988          0.814          542.9        795.659         1491.7          1.326          0.435          1.000          0.852          1.000          1.000          1.000
     26/02/1988             57           1988          0.836          557.4        813.953         1540.0          0.807          0.443          1.000          0.914          1.000          1.000          1.000
     27/02/1988             58           1988          0.878          585.6        847.370         1622.9          1.833          0.459          1.000          0.936          1.000          1.000          1.000
     28/02/1988             59           1988          0.925          616.6        885.530         1713.5          1.804          0.477          1.000          0.892          1.000          1.000          1.000
     29/02/1988             60           1988          0.942          627.9        900.908         1755.5          0.531          0.483          1.000          0.888          1.000          1.000          1.000
     01/03/1988             61           1988          0.976          650.6        927.994         1826.1          1.336          0.495          1.000          0.952          1.000          1.000          1.000
     02/03/1988             62           1988          1.001          667.3        949.158         1882.2          0.809          0.504          1.000          0.918          1.000          1.000          1.000
     03/03/1988             63           1988          1.061          707.0        996.009         1996.3          2.280          0.524          1.000          0.938          1.000          1.000          1.000
     04/03/1988             64           1988          1.124          749.5       1048.737         2118.1          2.819          0.545          1.000          0.876          1.000          1.000          1.000
     05/03/1988             65           1988          1.177          784.6       1093.054         2222.5          2.360          0.561          1.000          0.875          1.000          1.000          1.000
     06/03/1988             66           1988          1.235          823.6       1143.032         2337.5          2.612          0.579          1.000          0.899          1.000          1.000          1.000
     07/03/1988             67           1988          1.308          872.3       1206.187         2477.3          3.031          0.600          1.000          0.893          1.000          1.000          1.000
     08/03/1988             68           1988          1.379          919.4       1269.128         2614.5          3.078          0.619          1.000          0.877          1.000          1.000          1.000
     09/03/1988             69           1988          1.456          970.9       1339.337         2763.5          3.569          0.639          1.000          0.886          1.000          1.000          1.000
     10/03/1988             70           1988          1.538         1025.4       1415.423         2921.3          4.062          0.659          1.000          0.882          1.000          1.000          1.000
     11/03/1988             71           1988          1.626         1084.1       1499.013         3090.7          4.880          0.680          1.000          0.882          1.000          1.000          1.000
     12/03/1988             72           1988          1.698         1132.0       1570.150         3234.4          2.658          0.695          1.000          0.880          1.000          1.000          1.000
     13/03/1988             73           1988          1.785         1189.8       1654.682         3400.0          4.155          0.713          1.000          0.904          0.842          1.000          1.000
     14/03/1988             74           1988          1.874         1249.6       1745.157         3573.4          4.313          0.731          1.000          0.893          0.917          1.000          1.000
     15/03/1988             75           1988          1.956         1304.3       1831.967         3737.7          4.233          0.746          1.000          0.894          1.000          1.000          1.000
     16/03/1988             76           1988          2.034         1356.2       1917.008         3896.4          3.733          0.759          1.000          0.904          1.000          1.000          1.000
     17/03/1988             77           1988          2.116         1410.4       2007.629         4061.8          3.976          0.773          1.000          0.911          1.000          1.000          1.000
     18/03/1988             78           1988          2.198         1465.1       2101.197         4229.5          4.147          0.785          1.000          0.911          1.000          1.000          1.000
     19/03/1988             79           1988          2.278         1518.5       2195.231         4395.4          4.078          0.797          1.000          0.913          1.000          1.000          1.000
     20/03/1988             80           1988          2.357         1571.4       2290.780         4561.0          4.227          0.808          1.000          0.918          1.000          1.000          1.000
     21/03/1988             81           1988          2.435         1623.3       2387.202         4725.4          4.117          0.818          1.000          0.921          1.000          1.000          1.000
     22/03/1988             82           1988          2.514         1675.8       2486.996         4892.4          4.506          0.828          1.000          0.924          1.000          1.000          1.000
     23/03/1988             83           1988          2.582         1721.0       2600.251         5042.2          4.304          0.836          1.000          0.925          1.000          1.000          1.000
     24/03/1988             84           1988          2.638         1758.5       2733.129         5173.7          4.479          0.842          1.000          0.935          1.000          1.000          1.000
     25/03/1988             85           1988          2.670         1780.1       2855.997         5266.3          3.455          0.846          1.000          0.945          1.000          1.000          1.000
     26/03/1988             86           1988          2.706         1804.3       3035.402         5364.0          4.564          0.850          1.000          0.963          0.958          1.000          1.000
     27/03/1988             87           1988          2.729         1819.2       3230.033         5440.1          4.411          0.852          1.000          0.961          0.983          1.000          1.000
     28/03/1988             88           1988          2.740         1826.8       3452.706         5498.9          4.812          0.853          1.000          0.971          1.000          1.000          1.000
     29/03/1988             89           1988          2.739         1826.2       3695.259         5537.2          5.032          0.853          1.000          0.979          1.000          1.000          1.000
     30/03/1988             90           1988          2.732         1821.2       3939.255         5564.4          4.794          0.852          1.000          0.988          1.000          1.000          1.000
     31/03/1988             91           1988          2.717         1811.7       4022.926         5573.9          1.657          0.851          1.000          0.993          0.854          1.000          1.000
     01/04/1988             92           1988          2.703         1802.2       4161.163         5589.5          2.820          0.849          1.000          1.000          1.000          1.000          1.000
     02/04/1988             93           1988          2.690         1793.3       4310.198         5606.2          2.618          0.848          1.000          0.998          1.000          1.000          1.000
