ApsimVersion = 5.4
Title = cowpea Sample Simulation
            day           year            lai        biomass  green_biomass        GreenWt         GreenP      SenescedP       p_demand    pfact_photo    pfact_pheno pfact_expansion    pfact_grain      biomass_p green_biomass_p        grain_p     LeafGreenP     StemGreenP     RootGreenP      podGreenP         head_p    dlt_p_green dlt_p_retrans() dlt_p_detached    dlt_p_sen()  p_conc_stover LeafGreenpconc StemGreenpconc grainGreenpconc p_uptake_stover grain_p_demand    surfaceom_p
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()             ()              ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)            (?)            (%)            (%)            (%)             (%)             (%)        (g/m^2)        (kg/ha)
            332           1988          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            0.0
            333           1988          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            0.0
            334           1988          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            0.0
            335           1988          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            0.0
            336           1988          0.020            7.5            7.5           5.72           0.01           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.500          0.500          0.000           0.000           0.004           0.00            0.0
            337           1988          0.025           10.2           10.2           6.24           0.01           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.402          0.461          0.000           0.000           0.004           0.00            0.0
            338           1988          0.028           11.8           11.8           6.54           0.01           0.00           0.00          0.564          1.000           1.000          1.000           0.01            0.01           0.00           0.00           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.458          0.498          0.273           0.000           0.005           0.00            0.0
            339           1988          0.034           15.2           15.2           7.18           0.01           0.00           0.00          0.883          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.400          0.450          0.241           0.000           0.006           0.00            0.0
            340           1988          0.039           17.9           17.9           7.70           0.02           0.00           0.00          0.609          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.445          0.491          0.326           0.000           0.008           0.00            0.0
            341           1988          0.047           22.1           22.1           8.49           0.02           0.00           0.00          0.872          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.409          0.457          0.307           0.000           0.009           0.00            0.0
            342           1988          0.052           24.9           24.9           9.03           0.02           0.00           0.00          0.702          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.445          0.488          0.360           0.000           0.011           0.00            0.0
            343           1988          0.058           28.5           28.5           9.71           0.02           0.00           0.00          0.911          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.428          0.471          0.350           0.000           0.012           0.00            0.0
            344           1988          0.067           33.6           33.6          10.69           0.03           0.00           0.00          0.831          1.000           1.000          1.000           0.01            0.01           0.00           0.01           0.00           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.434          0.480          0.356           0.000           0.015           0.00            0.0
            345           1988          0.080           40.3           40.3          11.99           0.03           0.00           0.00          0.879          1.000           1.000          1.000           0.02            0.02           0.00           0.01           0.01           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.425          0.472          0.353           0.000           0.017           0.00            0.0
            346           1988          0.095           48.8           48.8          13.66           0.03           0.00           0.01          0.843          1.000           1.000          1.000           0.02            0.02           0.00           0.01           0.01           0.01           0.00           0.00           0.01            0.00           0.00              ?          0.430          0.477          0.360           0.000           0.021           0.00            0.0
            347           1988          0.111           57.5           57.5          15.35           0.04           0.00           0.00          0.880          1.000           1.000          1.000           0.02            0.02           0.00           0.02           0.01           0.01           0.00           0.00           0.00            0.00           0.00              ?          0.430          0.475          0.366           0.000           0.025           0.00            0.0
            348           1988          0.132           69.3           69.3          17.65           0.05           0.00           0.01          0.890          1.000           1.000          1.000           0.03            0.03           0.00           0.02           0.01           0.02           0.00           0.00           0.01            0.00           0.00              ?          0.430          0.476          0.368           0.000           0.030           0.00            0.0
            349           1988          0.159           83.9           83.9          20.52           0.05           0.00           0.01          0.898          1.000           1.000          1.000           0.04            0.04           0.00           0.02           0.01           0.02           0.00           0.00           0.01            0.00           0.00              ?          0.430          0.476          0.371           0.000           0.036           0.00            0.0
            350           1988          0.189          100.6          100.6          23.77           0.06           0.00           0.01          0.910          1.000           1.000          1.000           0.04            0.04           0.00           0.03           0.02           0.02           0.00           0.00           0.01            0.00           0.00              ?          0.432          0.478          0.376           0.000           0.043           0.00            0.0
            351           1988          0.215          114.5          114.5          26.49           0.07           0.00           0.01          0.927          1.000           1.000          1.000           0.05            0.05           0.00           0.03           0.02           0.02           0.00           0.00           0.01            0.00           0.00              ?          0.436          0.480          0.382           0.000           0.050           0.00            0.0
            352           1988          0.234          124.9          124.9          28.48           0.08           0.00           0.01          0.954          1.000           1.000          1.000           0.05            0.05           0.00           0.03           0.02           0.02           0.00           0.00           0.01            0.00           0.00              ?          0.438          0.481          0.386           0.000           0.055           0.00            0.0
            353           1988          0.256          137.3          137.3          30.88           0.09           0.00           0.01          0.971          1.000           1.000          1.000           0.06            0.06           0.00           0.04           0.02           0.03           0.00           0.00           0.01            0.00           0.00              ?          0.438          0.481          0.386           0.000           0.060           0.00            0.0
            354           1988          0.305          164.1          164.1          36.14           0.10           0.00           0.02          0.973          1.000           1.000          1.000           0.07            0.07           0.00           0.04           0.03           0.03           0.00           0.00           0.01            0.00           0.00              ?          0.432          0.476          0.380           0.000           0.071           0.00            0.0
            355           1988          0.364          196.4          196.4          42.49           0.12           0.00           0.02          0.949          1.000           1.000          1.000           0.08            0.08           0.00           0.05           0.03           0.03           0.00           0.00           0.01            0.00           0.00              ?          0.416          0.459          0.366           0.000           0.082           0.00            0.0
            356           1988          0.430          233.0          233.0          49.68           0.13           0.00           0.03          0.862          1.000           1.000          1.000           0.09            0.09           0.00           0.05           0.04           0.04           0.00           0.00           0.01            0.00           0.00              ?          0.394          0.436          0.347           0.000           0.092           0.00            0.0
            357           1988          0.492          267.1          267.1          56.35           0.14           0.00           0.04          0.747          1.000           1.000          1.000           0.10            0.10           0.00           0.06           0.04           0.04           0.00           0.00           0.01            0.00           0.00              ?          0.380          0.420          0.335           0.000           0.102           0.00            0.0
            358           1988          0.557          302.6          302.6          63.28           0.15           0.00           0.04          0.672          1.000           1.000          1.000           0.11            0.11           0.00           0.07           0.05           0.04           0.00           0.00           0.01            0.00           0.00              ?          0.366          0.404          0.323           0.000           0.111           0.00            0.0
            359           1988          0.618          337.2          337.2          70.02           0.17           0.00           0.05          0.598          1.000           1.000          1.000           0.12            0.12           0.00           0.07           0.05           0.05           0.00           0.00           0.01            0.00           0.00              ?          0.355          0.392          0.314           0.000           0.120           0.00            0.0
            360           1988          0.680          373.2          373.2          77.02           0.18           0.00           0.06          0.540          1.000           1.000          1.000           0.13            0.13           0.00           0.08           0.05           0.05           0.00           0.00           0.01            0.00           0.00              ?          0.344          0.380          0.304           0.000           0.128           0.00            0.0
            361           1988          0.739          408.6          408.6          83.89           0.19           0.00           0.07          0.482          1.000           0.965          1.000           0.14            0.14           0.00           0.08           0.06           0.05           0.00           0.00           0.01            0.00           0.00              ?          0.335          0.370          0.296           0.000           0.137           0.00            0.0
            362           1988          0.783          435.6          435.6          89.05           0.20           0.00           0.07          0.435          1.000           0.870          1.000           0.15            0.15           0.00           0.09           0.06           0.05           0.00           0.00           0.01            0.00           0.00              ?          0.337          0.371          0.298           0.000           0.147           0.00            0.0
            363           1988          0.844          474.7          474.7          96.63           0.21           0.00           0.08          0.450          1.000           0.900          1.000           0.16            0.16           0.00           0.09           0.07           0.06           0.00           0.00           0.01            0.00           0.00              ?          0.328          0.361          0.290           0.000           0.156           0.00            0.0
            364           1988          0.898          509.6          509.6         103.35           0.22           0.00           0.09          0.402          1.000           0.803          1.000           0.16            0.16           0.00           0.10           0.07           0.06           0.00           0.00           0.01            0.00           0.00              ?          0.321          0.354          0.285           0.000           0.164           0.00            0.0
            365           1988          0.945          541.1          541.1         109.37           0.23           0.00           0.10          0.369          1.000           0.739          1.000           0.17            0.17           0.00           0.10           0.07           0.06           0.00           0.00           0.01            0.00           0.00              ?          0.317          0.349          0.281           0.000           0.171           0.00            0.0
            366           1988          0.991          571.7          571.7         115.19           0.24           0.00           0.10          0.349          1.000           0.698          1.000           0.18            0.18           0.00           0.10           0.08           0.06           0.00           0.00           0.01            0.00           0.00              ?          0.313          0.345          0.278           0.000           0.179           0.00            0.0
              1           1989          1.037          603.1          603.1         121.17           0.25           0.00           0.11          0.331          1.000           0.662          1.000           0.19            0.19           0.00           0.11           0.08           0.07           0.00           0.00           0.01            0.00           0.00              ?          0.309          0.340          0.275           0.000           0.186           0.00            0.0
              2           1989          1.068          624.5          624.5         125.14           0.26           0.00           0.11          0.311          1.000           0.622          1.000           0.19            0.19           0.00           0.11           0.08           0.07           0.00           0.00           0.01            0.00           0.00              ?          0.310          0.341          0.276           0.000           0.194           0.00            0.0
              3           1989          1.109          653.2          653.2         130.55           0.27           0.00           0.12          0.321          1.000           0.643          1.000           0.20            0.20           0.00           0.12           0.09           0.07           0.00           0.00           0.01            0.00           0.00              ?          0.310          0.340          0.276           0.000           0.202           0.00            0.0
              4           1989          1.159          687.9          687.9         137.13           0.28           0.00           0.12          0.322          1.000           0.644          1.000           0.21            0.21           0.00           0.12           0.09           0.07           0.00           0.00           0.01            0.00           0.00              ?          0.305          0.335          0.272           0.000           0.210           0.00            0.0
              5           1989          1.210          723.2          723.2         143.84           0.29           0.00           0.14          0.301          1.000           0.602          1.000           0.22            0.22           0.00           0.13           0.09           0.08           0.00           0.00           0.01            0.00           0.00              ?          0.300          0.329          0.267           0.000           0.217           0.00            0.0
              6           1989          1.240          744.4          744.4         147.72           0.30           0.00           0.14          0.277          1.000           0.554          1.000           0.23            0.23           0.00           0.13           0.10           0.08           0.00           0.00           0.01            0.00           0.00              ?          0.303          0.333          0.270           0.000           0.226           0.00            0.0
              7           1989          1.281          773.7          773.7         153.20           0.31           0.00           0.14          0.298          1.000           0.596          1.000           0.23            0.23           0.00           0.13           0.10           0.08           0.00           0.00           0.01            0.00           0.00              ?          0.302          0.332          0.270           0.000           0.234           0.00            0.0
              8           1989          1.329          807.7          807.7         159.59           0.32           0.00           0.15          0.296          1.000           0.591          1.000           0.24            0.24           0.00           0.14           0.10           0.08           0.00           0.00           0.01            0.00           0.00              ?          0.300          0.328          0.268           0.000           0.242           0.00            0.0
              9           1989          1.385          847.4          847.4         167.12           0.33           0.00           0.15          0.338          1.000           0.677          1.000           0.25            0.25           0.00           0.14           0.11           0.09           0.00           0.00           0.01            0.00           0.00              ?          0.294          0.322          0.263           0.000           0.249           0.00            0.0
             10           1989          1.451          894.7          894.7         176.15           0.34           0.00           0.16          0.344          1.000           0.688          1.000           0.26            0.26           0.00           0.15           0.11           0.09           0.00           0.00           0.01            0.00           0.00              ?          0.286          0.314          0.257           0.000           0.256           0.00            0.0
             11           1989          1.508          935.9          935.9         181.19           0.35           0.00           0.17          0.341          1.000           0.681          1.000           0.26            0.26           0.00           0.15           0.11           0.09           0.00           0.00           0.01            0.00           0.00              ?          0.282          0.308          0.253           0.000           0.264           0.00            0.0
             12           1989          1.558          982.6          982.6         186.95           0.36           0.00           0.17          0.328          1.000           0.657          1.000           0.27            0.27           0.00           0.16           0.12           0.09           0.00           0.00           0.01            0.00           0.00              ?          0.277          0.305          0.248           0.000           0.272           0.00            0.0
             13           1989          1.623         1048.2         1046.6         195.06           0.37           0.00           0.15          0.454          1.000           0.908          1.000           0.28            0.28           0.00           0.16           0.12           0.10           0.00           0.00           0.01            0.00           0.00              ?          0.267          0.297          0.238           0.000           0.279           0.00            0.0
             14           1989          1.680         1106.3         1103.3         202.19           0.38           0.00           0.16          0.443          1.000           0.886          1.000           0.29            0.29           0.00           0.16           0.12           0.10           0.00           0.00           0.01            0.00           0.00              ?          0.260          0.292          0.231           0.000           0.286           0.00            0.0
             15           1989          1.741         1168.2         1163.6         209.79           0.39           0.00           0.17          0.430          1.000           0.860          1.000           0.29            0.29           0.00           0.17           0.13           0.10           0.00           0.00           0.01            0.00           0.00              ?          0.252          0.285          0.224           0.000           0.294           0.00            0.0
             16           1989          1.800         1229.3         1223.2         217.29           0.40           0.00           0.18          0.416          1.000           0.831          1.000           0.30            0.30           0.00           0.17           0.13           0.10           0.00           0.00           0.01            0.00           0.00              ?          0.246          0.280          0.218           0.000           0.301           0.00            0.0
             17           1989          1.854         1291.8         1282.1         224.75           0.41           0.00           0.18          0.404          1.000           0.809          1.000           0.31            0.31           0.00           0.17           0.14           0.10           0.00           0.00           0.01            0.00           0.00              ?          0.240          0.274          0.212           0.000           0.307           0.00            0.0
             18           1989          1.903         1356.7         1341.2         232.32           0.42           0.00           0.19          0.396          1.000           0.792          1.000           0.32            0.31           0.00           0.17           0.14           0.11           0.00           0.00           0.01            0.00           0.00              ?          0.234          0.269          0.206           0.000           0.313           0.00            0.0
             19           1989          1.927         1423.3         1401.6         238.44           0.43           0.00           0.20          0.392          1.000           0.784          1.000           0.32            0.32           0.00           0.18           0.14           0.11           0.00           0.00           0.01            0.00           0.00              ?          0.231          0.268          0.204           0.000           0.319           0.00            0.0
             20           1989          1.932         1475.9         1447.4         242.99           0.43           0.00           0.20          0.369          1.000           0.738          1.000           0.33            0.33           0.01           0.17           0.14           0.11           0.00           0.01           0.01            0.00           0.00              ?          0.225          0.262          0.200           0.202           0.317           0.00            0.0
             21           1989          1.936         1537.3         1499.2         248.21           0.44           0.01           0.20          0.365          1.000           0.730          1.000           0.34            0.33           0.02           0.17           0.14           0.11           0.00           0.02           0.01            0.00           0.00              ?          0.218          0.255          0.195           0.261           0.313           0.00            0.0
             22           1989          1.920         1578.8         1531.5         251.31           0.45           0.01           0.21          0.346          1.000           0.693          1.000           0.34            0.34           0.03           0.16           0.14           0.11           0.00           0.03           0.01            0.00           0.00              ?          0.214          0.250          0.194           0.296           0.309           0.00            0.0
             23           1989          1.900         1615.6         1559.5         253.93           0.45           0.01           0.21          0.346          1.000           0.693          1.000           0.35            0.34           0.04           0.16           0.14           0.11           0.00           0.04           0.01            0.00           0.00              ?          0.211          0.245          0.192           0.316           0.305           0.00            0.0
             24           1989          1.870         1651.6         1584.4         256.24           0.46           0.01           0.21          0.350          1.000           0.701          1.000           0.35            0.35           0.05           0.15           0.14           0.11           0.00           0.05           0.01            0.00           0.00              ?          0.207          0.242          0.191           0.329           0.300           0.00            0.0
             25           1989          1.855         1705.0         1626.5         260.42           0.46           0.01           0.21          0.353          1.000           0.706          1.000           0.36            0.35           0.06           0.15           0.14           0.11           0.00           0.06           0.01            0.00           0.00              ?          0.202          0.235          0.187           0.334           0.294           0.00            0.0
             26           1989          1.839         1760.9         1671.0         264.87           0.47           0.01           0.22          0.338          1.000           0.676          1.000           0.37            0.35           0.07           0.14           0.14           0.11           0.00           0.07           0.01            0.00           0.00              ?          0.195          0.228          0.182           0.341           0.287           0.00            0.0
             27           1989          1.811         1802.6         1702.0         267.84           0.47           0.01           0.23          0.321          1.000           0.642          1.000           0.37            0.36           0.08           0.14           0.14           0.11           0.01           0.08           0.01            0.00           0.00              ?          0.190          0.222          0.179           0.349           0.280           0.00            0.0
             28           1989          1.785         1850.4         1738.4         271.41           0.48           0.02           0.23          0.315          1.000           0.630          1.000           0.38            0.36           0.09           0.13           0.13           0.12           0.01           0.10           0.01            0.00           0.00              ?          0.184          0.215          0.175           0.352           0.272           0.00            0.0
             29           1989          1.740         1896.8         1767.9         274.28           0.48           0.02           0.24          0.305          1.000           0.609          1.000           0.38            0.37           0.10           0.12           0.13           0.12           0.01           0.11           0.01           -0.00           0.00              ?          0.178          0.209          0.171           0.356           0.263           0.00            0.0
             30           1989          1.678         1945.1         1793.4         276.76           0.49           0.02           0.24          0.297          1.000           0.593          1.000           0.39            0.37           0.12           0.12           0.13           0.12           0.01           0.12           0.01            0.00           0.00              ?          0.172          0.202          0.166           0.359           0.253           0.00            0.0
             31           1989          1.609         1992.1         1816.4         278.97           0.49           0.02           0.25          0.291          1.000           0.582          1.000           0.40            0.37           0.13           0.11           0.12           0.12           0.01           0.14           0.01           -0.00           0.00              ?          0.166          0.195          0.161           0.362           0.241           0.00            0.0
             32           1989          1.519         2033.1         1826.1         279.82           0.49           0.03           0.25          0.286          1.000           0.572          1.000           0.40            0.37           0.15           0.10           0.12           0.12           0.01           0.15           0.01           -0.00           0.00              ?          0.160          0.189          0.157           0.365           0.228           0.00            0.0
             33           1989          1.437         2062.8         1827.8         279.75           0.49           0.03           0.25          0.289          1.000           0.578          1.000           0.41            0.38           0.16           0.09           0.12           0.12           0.01           0.17           0.01            0.00           0.00              ?          0.155          0.182          0.154           0.369           0.216           0.00            0.0
             34           1989          1.355         2090.4         1827.4         279.46           0.49           0.04           0.24          0.296          1.000           0.591          1.000           0.41            0.38           0.17           0.08           0.11           0.12           0.01           0.18           0.01            0.00           0.00              ?          0.150          0.176          0.151           0.371           0.204           0.00            0.0
             35           1989          1.291         2102.7         1817.6         278.11           0.50           0.04           0.24          0.303          1.000           0.606          1.000           0.42            0.38           0.19           0.08           0.11           0.12           0.01           0.20           0.01            0.00           0.00              ?          0.146          0.170          0.149           0.375           0.192           0.00            0.0
             36           1989          1.240         2112.3         1809.8         276.93           0.50           0.04           0.23          0.318          1.000           0.637          1.000           0.42            0.38           0.20           0.07           0.10           0.12           0.01           0.21           0.01            0.00           0.00              ?          0.145          0.170          0.148           0.372           0.186           0.00            0.0
             37           1989          1.191         2137.3         1817.7         277.46           0.51           0.04           0.23          0.334          1.000           0.668          1.000           0.43            0.39           0.21           0.07           0.10           0.12           0.01           0.22           0.01            0.00           0.00              ?          0.145          0.171          0.147           0.368           0.181           0.00            0.0
             38           1989          1.136         2166.9         1828.6         278.32           0.51           0.05           0.23          0.345          1.000           0.691          1.000           0.44            0.40           0.22           0.07           0.09           0.12           0.02           0.24           0.01            0.00           0.00              ?          0.143          0.170          0.145           0.364           0.175           0.00            0.0
             39           1989          1.068         2203.0         1841.2         279.42           0.52           0.05           0.23          0.352          1.000           0.705          1.000           0.45            0.40           0.23           0.06           0.09           0.12           0.02           0.25           0.01            0.00           0.00              ?          0.141          0.169          0.142           0.358           0.168           0.00            0.0
             40           1989          0.988         2218.2         1828.7         277.70           0.52           0.05           0.23          0.354          1.000           0.708          1.000           0.46            0.40           0.25           0.06           0.08           0.12           0.02           0.27           0.01            0.00           0.00              ?          0.135          0.163          0.135           0.365           0.154           0.00            0.0
             41           1989          0.907         2233.9         1816.6         276.01           0.53           0.06           0.22          0.370          1.000           0.741          1.000           0.46            0.41           0.27           0.05           0.06           0.12           0.02           0.29           0.01            0.00           0.00              ?          0.117          0.152          0.107           0.401           0.132           0.00            0.0
             42           1989          0.000         2249.9         1521.1         245.98           0.50           0.09           0.17          0.536          1.000           1.000          1.000           0.47            0.38           0.27           0.01           0.07           0.12           0.02           0.30           0.01            0.00           0.00              ?          0.121          0.000          0.108           0.401           0.102           0.00            0.0
             43           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.9
             44           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.8
             45           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.8
             46           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.8
             47           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.8
             48           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.8
             49           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.8
             50           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.8
             51           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.8
             52           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.6
             53           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.5
             54           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.4
             55           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.4
             56           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.4
             57           1989          0.000            0.0            0.0           0.00           0.00           0.00           0.00          1.000          1.000           1.000          1.000           0.00            0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00            0.00           0.00              ?          0.000          0.000          0.000           0.000           0.000           0.00            1.4
