Summary_file = soilp.sum
Title = soilp Sample Simulation
       day      year        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)       unavail_p(1)       unavail_p(2)       unavail_p(3)       unavail_p(4)       unavail_p(5)       unavail_p(6)       unavail_p(7)          rock_p(1)          rock_p(2)          rock_p(3)          rock_p(4)          rock_p(5)          rock_p(6)          rock_p(7)        banded_p(1)        banded_p(2)        banded_p(3)        banded_p(4)        banded_p(5)        banded_p(6)        banded_p(7)       biom_p()        hum_p()        fom_p()
        10      1988             30.910              1.983              3.941              3.929              4.034              4.061              4.070             97.662             19.500             38.701             39.300             40.500             40.800             40.800             23.912              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.904       1492.664          1.252
        11      1988             30.889              1.995              3.953              3.931              4.034              4.060              4.069             97.737             19.500             38.701             39.300             40.500             40.800             40.800             23.897              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.931       1492.627          1.196
        12      1988             30.869              2.008              3.966              3.934              4.034              4.059              4.068             97.814             19.500             38.701             39.300             40.500             40.800             40.800             23.883              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.952       1492.590          1.143
        13      1988             30.850              2.022              3.980              3.938              4.034              4.058              4.068             97.890             19.500             38.701             39.300             40.500             40.800             40.800             23.868              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.965       1492.552          1.095
        14      1988             30.836              2.036              3.994              3.941              4.034              4.057              4.067             97.961             19.501             38.702             39.300             40.500             40.800             40.800             23.854              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.973       1492.516          1.050
        15      1988             30.914              2.051              4.007              3.944              4.034              4.056              4.067             98.089             19.501             38.702             39.300             40.500             40.800             40.800             23.839              0.000              0.000              0.000              0.000              0.000              0.000             19.850              0.000              0.000              0.000              0.000              0.000              0.000         23.976       1492.480          1.011
        16      1988             30.997              2.064              4.020              3.948              4.035              4.056              4.066             98.203             19.501             38.702             39.300             40.500             40.800             40.800             23.825              0.000              0.000              0.000              0.000              0.000              0.000             19.708              0.000              0.000              0.000              0.000              0.000              0.000         23.975       1492.447          0.976
        17      1988             31.077              2.079              4.034              3.952              4.035              4.055              4.066             98.324             19.502             38.703             39.300             40.500             40.800             40.800             23.810              0.000              0.000              0.000              0.000              0.000              0.000             19.562              0.000              0.000              0.000              0.000              0.000              0.000         23.970       1492.413          0.941
        18      1988             31.150              2.095              4.048              3.956              4.036              4.054              4.066             98.465             19.502             38.703             39.300             40.500             40.799             40.800             23.795              0.000              0.000              0.000              0.000              0.000              0.000             19.409              0.000              0.000              0.000              0.000              0.000              0.000         23.962       1492.375          0.906
        19      1988             31.219              2.113              4.064              3.960              4.037              4.054              4.065             98.615             19.502             38.704             39.300             40.499             40.799             40.800             23.781              0.000              0.000              0.000              0.000              0.000              0.000             19.252              0.000              0.000              0.000              0.000              0.000              0.000         23.949       1492.336          0.871
        20      1988             50.375              2.123              4.080              3.965              4.038              4.053              4.065             98.771             19.503             38.704             39.300             40.499             40.799             40.800             23.766              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.936       1492.300          0.842
        21      1988             50.258              2.138              4.098              3.970              4.039              4.053              4.065             98.957             19.504             38.705             39.300             40.499             40.799             40.800             23.752              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.916       1492.259          0.810
        22      1988             50.143              2.154              4.115              3.976              4.040              4.052              4.064             99.141             19.505             38.706             39.300             40.499             40.799             40.800             23.737              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.894       1492.216          0.779
        23      1988             50.047              2.171              4.133              3.981              4.042              4.052              4.064             99.304             19.505             38.707             39.301             40.499             40.799             40.800             23.723              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.869       1492.175          0.750
        24      1988             49.949              2.191              4.150              3.987              4.043              4.051              4.064             99.470             19.506             38.708             39.301             40.499             40.799             40.800             23.708              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.841       1492.133          0.721
        25      1988             49.851              2.211              4.168              3.993              4.044              4.051              4.064             99.636             19.507             38.709             39.301             40.499             40.799             40.799             23.694              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.810       1492.090          0.694
        26      1988             49.768              2.230              4.185              3.998              4.046              4.051              4.064             99.785             19.508             38.709             39.301             40.499             40.799             40.799             23.679              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.779       1492.050          0.670
        27      1988             49.694              2.249              4.201              4.003              4.047              4.051              4.064             99.922             19.509             38.710             39.301             40.499             40.799             40.799             23.665              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.748       1492.011          0.647
        28      1988             49.626              2.267              4.218              4.009              4.049              4.050              4.064            100.052             19.510             38.711             39.301             40.499             40.799             40.799             23.650              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.716       1491.973          0.626
        29      1988             49.570              2.285              4.233              4.014              4.050              4.050              4.063            100.167             19.511             38.712             39.302             40.499             40.799             40.799             23.636              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.685       1491.937          0.608
        30      1988             49.517              2.302              4.248              4.019              4.052              4.050              4.063            100.279             19.512             38.713             39.302             40.499             40.799             40.799             23.621              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.654       1491.902          0.590
