ApsimVersion = 6.0
Title = Wheat Grazing Simulation
           Date    LeafGreenWt    StemGreenWt   paddockstate            alw  stocking_rate      acc_eaten
     06/08/1988          32.09          22.19          empty          0.000          0.000            0.0
     07/08/1988          33.02          22.92          empty          0.000          0.000            0.0
     08/08/1988          33.95          23.66          empty          0.000          0.000            0.0
     09/08/1988          34.96          24.44          empty          0.000          0.000            0.0
     10/08/1988          35.94          25.22          empty          0.000          0.000            0.0
     11/08/1988          36.79          25.96          empty          0.000          0.000            0.0
     12/08/1988          37.50          26.72          empty          0.000          0.000            0.0
     13/08/1988          38.15          27.55          empty          0.000          0.000            0.0
     14/08/1988          38.70          28.43          empty          0.000          0.000            0.0
     15/08/1988          39.19          29.41          empty          0.000          0.000            0.0
     16/08/1988          39.65          30.62          empty          0.000          0.000            0.0
     17/08/1988          40.05          31.94          empty          0.000          0.000            0.0
     18/08/1988          36.24          29.97        stocked        400.110          0.800           78.4
     19/08/1988          32.87          27.97        stocked        400.219          0.800          150.8
     20/08/1988          29.92          26.13        stocked        400.329          0.800          217.8
     21/08/1988          27.26          24.14        stocked        400.438          0.800          279.6
     22/08/1988          24.61          22.00        stocked        400.548          0.800          335.9
     23/08/1988          22.31          20.12        stocked        400.658          0.800          387.5
     24/08/1988          20.36          18.43        stocked        400.767          0.800          434.9
     25/08/1988          18.76          16.97        stocked        400.877          0.800          478.5
     26/08/1988          17.20          15.60        stocked        400.986          0.800          518.8
     27/08/1988          15.60          14.26        stocked        401.096          0.800          555.5
     28/08/1988          14.21          13.07        stocked        401.205          0.800          589.3
     29/08/1988          13.16          12.10        stocked        401.315          0.800          620.7
     30/08/1988          12.15          11.20        stocked        401.425          0.800          649.7
     31/08/1988          10.94          10.26        stocked        401.534          0.800          676.4
     01/09/1988           9.87           9.40        stocked        401.918          0.800          700.9
     02/09/1988           9.05           8.72        stocked        402.301          0.800          723.6
     03/09/1988           8.42           8.17        stocked        402.685          0.800          744.9
     04/09/1988           7.81           7.64        stocked        403.069          0.800          764.9
     05/09/1988           7.15           7.07        stocked        403.452          0.800          783.5
     06/09/1988           6.66           6.61        stocked        403.836          0.800          800.9
     07/09/1988           6.20           6.18        stocked        404.219          0.800          817.2
     08/09/1988           6.04           5.95        stocked        404.603          0.800          832.9
     09/09/1988           5.82           5.68        stocked        404.986          0.800          847.9
     10/09/1988           5.61           5.42        stocked        405.370          0.800          862.4
     11/09/1988           5.40           5.17        stocked        405.754          0.800          876.2
     12/09/1988           5.10           4.87        stocked        406.137          0.800          889.2
     13/09/1988           5.04           4.72        stocked        406.521          0.800          901.8
     14/09/1988           4.68           4.37        stocked        406.904          0.800          913.5
     15/09/1988           4.58           4.21        stocked        407.288          0.800          924.9
     16/09/1988           4.51           4.07        stocked        407.671          0.800          935.8
     17/09/1988           4.57           4.01        stocked        408.055          0.800          946.6
     18/09/1988           4.59           3.92        stocked        408.439          0.800          957.3
     19/09/1988           4.54           3.80        stocked        408.822          0.800          967.6
     20/09/1988           4.46           3.67        stocked        409.206          0.800          977.5
     21/09/1988           4.39           3.56        stocked        409.589          0.800          987.2
     22/09/1988           4.32           3.45        stocked        409.973          0.800          996.6
     23/09/1988           4.23           3.33        stocked        410.356          0.800         1005.7
     24/09/1988           4.13           3.21        stocked        410.740          0.800         1014.5
     25/09/1988           4.05           3.11        stocked        411.124          0.800         1023.0
     26/09/1988           3.97           3.01        stocked        411.507          0.800         1031.2
     27/09/1988           3.81           2.87        stocked        411.891          0.800         1039.1
     28/09/1988           3.74           2.79        stocked        412.274          0.800         1046.8
     29/09/1988           3.74           2.76        stocked        412.658          0.800         1054.4
     30/09/1988           3.74           2.74        stocked        413.042          0.800         1061.9
     01/10/1988           3.66           2.66        stocked        413.425          0.800         1069.2
     02/10/1988           3.66           2.64        stocked        413.809          0.800         1076.5
     03/10/1988           3.74           2.67        stocked        414.192          0.800         1083.8
     04/10/1988           3.83           2.71        stocked        414.576          0.800         1091.3
     05/10/1988           3.95           2.78        stocked        414.959          0.800         1099.0
     06/10/1988           4.08           2.85        stocked        415.343          0.800         1106.9
     07/10/1988           4.20           2.91        stocked        415.727          0.800         1114.9
     08/10/1988           4.26           2.94        stocked        416.110          0.800         1123.1
     09/10/1988           4.34           2.99        stocked        416.494          0.800         1131.3
     10/10/1988           4.44           3.04        stocked        416.877          0.800         1139.8
     11/10/1988           4.54           3.10        stocked        417.261          0.800         1148.4
     12/10/1988           4.63           3.16        stocked        417.644          0.800         1157.1
     13/10/1988           4.73           3.21        stocked        418.028          0.800         1166.0
     14/10/1988           4.79           3.25        stocked        418.412          0.800         1175.0
     15/10/1988           4.87           3.29        stocked        418.795          0.800         1184.1
     16/10/1988           4.93           3.33        stocked        419.179          0.800         1193.4
     17/10/1988           4.97           3.36        stocked        419.562          0.800         1202.7
     18/10/1988           5.02           3.38        stocked        419.946          0.800         1212.1
     19/10/1988           5.06           3.41        stocked        420.329          0.800         1221.5
     20/10/1988           5.12           3.45        stocked        420.713          0.800         1231.1
     21/10/1988           5.16           3.47        stocked        421.097          0.800         1240.7
     22/10/1988           5.18           3.48        stocked        421.480          0.800         1250.4
     23/10/1988           5.07           3.40        stocked        421.864          0.800         1259.8
     24/10/1988           4.91           3.29        stocked        422.247          0.800         1268.9
     25/10/1988           4.91           3.29        stocked        422.631          0.800         1278.1
     26/10/1988           4.98           3.33        stocked        423.014          0.800         1287.3
     27/10/1988           5.06           3.39        stocked        423.398          0.800         1296.7
     28/10/1988           5.14           3.44        stocked        423.782          0.800         1306.3
     29/10/1988           5.19           3.47        stocked        424.165          0.800         1315.9
     30/10/1988           5.21           3.48        stocked        424.549          0.800         1325.6
     31/10/1988           5.21           3.49        stocked        424.932          0.800         1335.3
     01/11/1988           5.16           3.45        stocked        425.316          0.800         1344.9
     02/11/1988           5.17           3.45        stocked        425.699          0.800         1354.4
     03/11/1988           5.18           3.46        stocked        426.083          0.800         1364.0
     04/11/1988           5.15           3.44        stocked        426.467          0.800         1373.6
     05/11/1988           5.13           3.43        stocked        426.850          0.800         1383.1
     06/11/1988           4.81           3.21        stocked        427.234          0.800         1392.0
     07/11/1988           4.72           3.15        stocked        427.617          0.800         1400.8
     08/11/1988           4.74           3.17        stocked        428.001          0.800         1409.6
     09/11/1988           4.79           3.20        stocked        428.385          0.800         1418.5
     10/11/1988           4.80           3.21        stocked        428.768          0.800         1427.4
     11/11/1988           4.79           3.20        stocked        429.152          0.800         1436.2
     12/11/1988           4.79           3.20        stocked        429.535          0.800         1445.1
     13/11/1988           4.79           3.20        stocked        429.919          0.800         1454.0
     14/11/1988           4.81           3.21        stocked        430.302          0.800         1462.9
     15/11/1988           4.83           3.22        stocked        430.686          0.800         1471.9
     16/11/1988           4.70           3.13        stocked        431.070          0.800         1480.6
     17/11/1988           4.76           3.18        stocked        431.453          0.800         1489.4
