Summary_file = lablab.sum
Title = stock lablab SAMPLE Simulation
           Date           area
             ()            (?)
     01/10/1988              ?
     02/10/1988              ?
     03/10/1988              ?
     04/10/1988              ?
     05/10/1988              ?
     06/10/1988              ?
     07/10/1988              ?
     08/10/1988              ?
     09/10/1988              ?
     10/10/1988              ?
     11/10/1988              ?
     12/10/1988              ?
     13/10/1988              ?
     14/10/1988              ?
     15/10/1988              ?
     16/10/1988              ?
     17/10/1988              ?
     18/10/1988              ?
     19/10/1988              ?
     20/10/1988              ?
     21/10/1988              ?
     22/10/1988              ?
     23/10/1988              ?
     24/10/1988              ?
     25/10/1988              ?
     26/10/1988              ?
     27/10/1988              ?
     28/10/1988              ?
     29/10/1988              ?
     30/10/1988              ?
     31/10/1988              ?
     01/11/1988              ?
     02/11/1988              ?
     03/11/1988              ?
     04/11/1988              ?
     05/11/1988              ?
     06/11/1988              ?
     07/11/1988              ?
     08/11/1988              ?
     09/11/1988              ?
     10/11/1988              ?
     11/11/1988              ?
     12/11/1988              ?
     13/11/1988              ?
     14/11/1988              ?
     15/11/1988              ?
     16/11/1988              ?
     17/11/1988              ?
     18/11/1988              ?
     19/11/1988              ?
     20/11/1988              ?
     21/11/1988              ?
     22/11/1988              ?
     23/11/1988              ?
     24/11/1988              ?
     25/11/1988              ?
     26/11/1988              ?
     27/11/1988              ?
     28/11/1988              ?
     29/11/1988              ?
     30/11/1988              ?
     01/12/1988              ?
     02/12/1988              ?
     03/12/1988              ?
     04/12/1988              ?
     05/12/1988              ?
     06/12/1988              ?
     07/12/1988              ?
     08/12/1988              ?
     09/12/1988              ?
     10/12/1988              ?
     11/12/1988              ?
     12/12/1988              ?
     13/12/1988              ?
     14/12/1988              ?
     15/12/1988              ?
     16/12/1988              ?
     17/12/1988              ?
     18/12/1988              ?
     19/12/1988              ?
     20/12/1988              ?
     21/12/1988              ?
     22/12/1988              ?
     23/12/1988              ?
     24/12/1988              ?
     25/12/1988              ?
     26/12/1988              ?
     27/12/1988              ?
     28/12/1988              ?
     29/12/1988              ?
     30/12/1988              ?
     31/12/1988              ?
     01/01/1989              ?
     02/01/1989              ?
     03/01/1989              ?
     04/01/1989              ?
     05/01/1989              ?
     06/01/1989              ?
     07/01/1989              ?
     08/01/1989              ?
     09/01/1989              ?
     10/01/1989              ?
     11/01/1989              ?
     12/01/1989              ?
     13/01/1989              ?
     14/01/1989              ?
     15/01/1989              ?
     16/01/1989              ?
     17/01/1989              ?
     18/01/1989              ?
     19/01/1989              ?
     20/01/1989              ?
     21/01/1989              ?
     22/01/1989              ?
     23/01/1989              ?
     24/01/1989              ?
     25/01/1989              ?
     26/01/1989              ?
     27/01/1989              ?
     28/01/1989              ?
     29/01/1989              ?
     30/01/1989              ?
     31/01/1989              ?
     01/02/1989              ?
     02/02/1989              ?
     03/02/1989              ?
     04/02/1989              ?
     05/02/1989              ?
     06/02/1989              ?
     07/02/1989              ?
     08/02/1989              ?
     09/02/1989              ?
     10/02/1989              ?
     11/02/1989              ?
     12/02/1989              ?
     13/02/1989              ?
     14/02/1989              ?
     15/02/1989              ?
     16/02/1989              ?
     17/02/1989              ?
     18/02/1989              ?
     19/02/1989              ?
     20/02/1989              ?
     21/02/1989              ?
     22/02/1989              ?
     23/02/1989              ?
     24/02/1989              ?
     25/02/1989              ?
     26/02/1989              ?
     27/02/1989              ?
     28/02/1989              ?
     01/03/1989              ?
     02/03/1989              ?
     03/03/1989              ?
     04/03/1989              ?
     05/03/1989              ?
     06/03/1989              ?
     07/03/1989              ?
     08/03/1989              ?
     09/03/1989              ?
     10/03/1989              ?
     11/03/1989              ?
     12/03/1989              ?
     13/03/1989              ?
     14/03/1989              ?
     15/03/1989              ?
     16/03/1989              ?
     17/03/1989              ?
     18/03/1989              ?
     19/03/1989              ?
     20/03/1989              ?
     21/03/1989              ?
     22/03/1989              ?
     23/03/1989              ?
     24/03/1989              ?
     25/03/1989              ?
     26/03/1989              ?
     27/03/1989              ?
     28/03/1989              ?
     29/03/1989              ?
     30/03/1989              ?
     31/03/1989              ?
     01/04/1989              ?
     02/04/1989              ?
     03/04/1989              ?
     04/04/1989              ?
     05/04/1989              ?
     06/04/1989              ?
     07/04/1989              ?
     08/04/1989              ?
     09/04/1989              ?
     10/04/1989              ?
     11/04/1989              ?
     12/04/1989              ?
     13/04/1989              ?
     14/04/1989              ?
     15/04/1989              ?
     16/04/1989              ?
     17/04/1989              ?
     18/04/1989              ?
     19/04/1989              ?
     20/04/1989              ?
     21/04/1989              ?
     22/04/1989              ?
     23/04/1989              ?
     24/04/1989              ?
     25/04/1989              ?
     26/04/1989              ?
     27/04/1989              ?
     28/04/1989              ?
     29/04/1989              ?
     30/04/1989              ?
