Summary_file = Egrandis.sum
Title = forest Sample Simulation
           date            age             fw           fvpd             ft             fn            lai         height           stem         branch           bark
     30/11/1988          1.917          1.000          0.921          0.925          0.574          6.980      12191.115      28506.846       8585.141       4322.361
     31/12/1988          2.001          1.000          0.957          1.000          0.564          6.947      12490.560      30260.316       9014.736       4585.668
     31/01/1989          2.086          1.000          0.971          0.800          0.548          7.018      12801.996      32159.057       9486.272       4870.912
     28/02/1989          2.163          1.000          1.000          1.000          0.570          6.898      13019.104      33507.055       9772.390       5072.130
     31/03/1989          2.248          1.000          1.000          1.000          0.592          6.758      13245.065      34933.957      10064.198       5284.787
     30/04/1989          2.330          1.000          1.000          1.000          0.622          6.573      13429.270      36179.027      10293.407       5469.619
     31/05/1989          2.415          1.000          1.000          0.917          0.662          6.327      13586.454      37225.590      10451.998       5624.021
     30/06/1989          2.497          1.000          1.000          0.867          0.651          6.264      13738.990      38263.496      10662.372       5778.523
     31/07/1989          2.582          1.000          1.000          0.800          0.633          6.228      13879.341      39248.184      10868.686       5925.267
     31/08/1989          2.667          1.000          1.000          0.800          0.575          6.326      14080.272      40676.363      11211.096       6139.252
     30/09/1989          2.749          1.000          1.000          0.967          0.531          6.382      14305.224      42296.809      11575.866       6381.371
     31/10/1989          2.834          1.000          0.976          1.000          0.519          6.363      14530.721      43977.352      11922.587       6631.553
     30/11/1989          2.916          1.000          0.959          1.000          0.511          6.309      14737.526      45532.289      12224.882       6862.465
     31/12/1989          3.001          1.000          0.964          1.000          0.502          6.294      14954.701      47214.789      12562.353       7112.555
     31/01/1990          3.086          1.000          0.967          1.000          0.499          6.300      15167.389      48880.402      12894.006       7360.012
     28/02/1990          3.162          1.000          1.000          1.000          0.508          6.282      15331.168      50189.984      13143.970       7554.226
     31/03/1990          3.247          1.000          1.000          1.000          0.542          6.108      15481.981      51417.988      13308.290       7734.271
     30/04/1990          3.329          1.000          1.000          0.883          0.573          5.913      15605.045      52442.590      13416.335       7883.572
     31/05/1990          3.414          1.000          1.000          1.000          0.594          5.745      15732.736      53501.023      13535.379       8037.948
     30/06/1990          3.496          1.000          1.000          0.617          0.589          5.672      15846.050      54450.594      13673.798       8177.330
     31/07/1990          3.581          1.000          1.000          0.650          0.570          5.641      15972.274      55515.555      13850.419       8334.252
     31/08/1990          3.666          1.000          1.000          0.867          0.517          5.725      16127.575      56875.309      14129.661       8536.193
     30/09/1990          3.748          1.000          1.000          0.933          0.496          5.716      16276.984      58201.555      14356.771       8731.768
     31/10/1990          3.833          1.000          0.987          1.000          0.487          5.677      16444.146      59698.516      14592.880       8951.830
     30/11/1990          3.915          1.000          0.878          1.000          0.469          5.685      16617.355      61269.078      14860.482       9183.259
     31/12/1990          4.000          1.000          1.000          0.850          0.469          5.663      16771.619      62658.578      15082.211       9387.487
     31/01/1991          4.085          1.000          0.969          0.850          0.479          5.592      16904.205      63902.559      15251.229       9569.348
     28/02/1991          4.161          1.000          1.000          1.000          0.481          5.539      17030.990      65099.020      15416.844       9744.303
     31/03/1991          4.246          1.000          1.000          1.000          0.488          5.446      17171.836      66407.398      15573.728       9934.795
     30/04/1991          4.329          1.000          1.000          0.967          0.515          5.307      17287.955      67534.336      15670.770      10097.568
     31/05/1991          4.413          1.000          1.000          0.867          0.553          5.115      17383.910      68472.430      15701.471      10231.365
     30/06/1991          4.496          1.000          1.000          0.850          0.556          5.024      17482.725      69444.422      15789.953      10371.754
     31/07/1991          4.580          1.000          0.983          0.600          0.525          5.041      17591.221      70520.078      15957.218      10529.334
     31/08/1991          4.665          1.000          0.915          0.717          0.489          5.075      17709.160      71698.398      16150.228      10702.251
     30/09/1991          4.747          1.000          0.746          1.000          0.463          5.096      17840.025      73020.797      16353.384      10895.834
     31/10/1991          4.832          1.000          0.994          0.943          0.466          5.036      17970.287      74350.992      16503.336      11088.680
     30/11/1991          4.914          1.000          0.903          0.950          0.466          4.991      18099.174      75664.977      16656.293      11279.258
     31/12/1991          4.999          1.000          0.997          0.885          0.456          4.958      18233.479      77060.305      16823.971      11481.721
     31/01/1992          5.084          1.000          1.000          0.995          0.449          4.947      18365.146      78434.172      17002.881      11681.481
     29/02/1992          5.164          1.000          1.000          1.000          0.470          4.836      18459.996      79448.039      17064.115      11826.397
     31/03/1992          5.248          1.000          1.000          1.000          0.492          4.695      18561.410      80523.992      17104.539      11979.228
     30/04/1992          5.331          1.000          1.000          1.000          0.523          4.532      18646.480      81435.516      17101.715      12107.297
     31/05/1992          5.415          1.000          1.000          0.833          0.553          4.376      18718.359      82218.188      17081.041      12216.516
     30/06/1992          5.498          1.000          1.000          0.763          0.528          4.367      18800.053      83102.992      17180.164      12344.285
     31/07/1992          5.583          1.000          1.000          0.750          0.506          4.353      18882.010      84016.125      17278.219      12475.959
     31/08/1992          5.667          1.000          1.000          0.707          0.477          4.356      18974.613      85036.492      17400.041      12623.500
     30/09/1992          5.750          1.000          0.897          0.780          0.455          4.340      19075.258      86169.289      17516.223      12786.554
     31/10/1992          5.834          1.000          0.983          1.000          0.435          4.322      19187.191      87422.766      17642.023      12966.809
     30/11/1992          5.917          1.000          0.978          1.000          0.425          4.284      19292.455      88612.766      17742.994      13137.186
     31/12/1992          6.001          1.000          1.000          1.000          0.433          4.198      19391.189      89727.953      17794.084      13295.141
     31/01/1993          6.086          1.000          1.000          0.920          0.439          4.168      19493.949      90916.484      17867.811      13464.094
     28/02/1993          6.163          1.000          0.983          0.785          0.452          4.116      19576.969      91878.898      17901.572      13599.842
     31/03/1993          6.248          1.000          1.000          0.947          0.463          4.053      19669.242      92949.789      17929.027      13750.392
     30/04/1993          6.330          1.000          1.000          0.973          0.479          3.982      19752.160      93916.195      17935.670      13885.451
     31/05/1993          6.415          1.000          1.000          0.840          0.501          3.894      19822.156      94733.383      17910.652      13998.365
     30/06/1993          6.497          1.000          1.000          0.550          0.492          3.882      19888.617      95524.773      17950.488      14110.130
     31/07/1993          6.582          1.000          1.000          0.833          0.512          3.794      19947.795      96240.906      17910.564      14208.215
     31/08/1993          6.667          1.000          1.000          0.953          0.478          3.829      20028.508      97204.453      17999.953      14345.768
     30/09/1993          6.749          1.000          1.000          0.827          0.455          3.840      20111.449      98203.211      18068.119      14487.313
     31/10/1993          6.834          1.000          1.000          1.000          0.439          3.836      20203.891      99309.000      18128.660      14643.351
     30/11/1993          6.916          1.000          0.970          1.000          0.437          3.802      20287.619     100360.203      18154.605      14790.301
     31/12/1993          7.001          1.000          0.964          0.870          0.422          3.799      20381.498     101509.352      18212.416      14952.026
     31/01/1994          7.086          1.000          1.000          1.000          0.402          3.831      20475.787     102660.781      18306.223      15115.472
     28/02/1994          7.162          1.000          1.000          1.000          0.411          3.779      20548.408     103569.359      18302.367      15241.139
     31/03/1994          7.247          1.000          1.000          1.000          0.420          3.709      20623.500     104501.484      18278.568      15369.113
     30/04/1994          7.329          1.000          1.000          1.000          0.441          3.620      20686.889     105291.523      18222.734      15475.952
     31/05/1994          7.414          1.000          1.000          0.950          0.456          3.557      20747.178     106055.086      18185.633      15579.805
     30/06/1994          7.496          1.000          1.000          0.553          0.448          3.549      20800.809     106735.938      18199.137      15674.334
     31/07/1994          7.581          1.000          1.000          0.633          0.429          3.561      20854.742     107423.883      18233.910      15770.710
     31/08/1994          7.666          1.000          1.000          0.687          0.409          3.578      20914.166     108184.328      18277.520      15877.430
     30/09/1994          7.748          1.000          0.896          0.925          0.392          3.585      20986.363     109113.617      18316.203      16007.144
     31/10/1994          7.833          1.000          1.000          1.000          0.401          3.546      21059.787     110067.172      18307.256      16138.022
     30/11/1994          7.915          1.000          0.864          1.000          0.402          3.536      21139.893     111101.820      18328.012      16281.257
     31/12/1994          8.000          1.000          1.000          1.000          0.394          3.535      21221.643     112154.711      18357.471      16427.262
     31/01/1995          8.085          1.000          0.785          0.400          0.401          3.522      21296.594     113154.914      18372.166      16565.264
     28/02/1995          8.162          1.000          1.000          1.000          0.419          3.457      21352.287     113886.125      18321.744      16663.299
     31/03/1995          8.247          1.000          0.967          1.000          0.422          3.433      21425.889     114858.656      18317.514      16796.410
     30/04/1995          8.329          1.000          1.000          1.000          0.443          3.360      21485.807     115645.875      18253.420      16901.254
     31/05/1995          8.414          1.000          1.000          0.933          0.475          3.259      21534.068     116286.617      18148.715      16984.014
     30/06/1995          8.496          1.000          1.000          0.533          0.472          3.234      21582.695     116944.211      18124.412      17072.727
     31/07/1995          8.581          1.000          1.000          0.733          0.448          3.248      21637.609     117680.164      18143.420      17174.100
     31/08/1995          8.665          1.000          1.000          0.867          0.441          3.229      21693.578     118443.664      18125.479      17277.428
     30/09/1995          8.748          1.000          1.000          0.983          0.428          3.218      21759.686     119337.438      18115.941      17398.820
     31/10/1995          8.833          1.000          1.000          1.000          0.421          3.197      21828.387     120274.078      18094.143      17525.336
     30/11/1995          8.915          1.000          1.000          0.975          0.407          3.197      21895.916     121194.039      18096.287      17650.609
     31/12/1995          9.000          1.000          1.000          1.000          0.390          3.204      21969.824     122203.227      18105.289      17788.248
     31/01/1996          9.084          1.000          0.913          0.525          0.387          3.199      22034.209     123102.867      18100.125      17910.189
     29/02/1996          9.164          1.000          1.000          0.900          0.386          3.198      22095.670     123936.031      18101.020      18023.330
     31/03/1996          9.249          1.000          1.000          1.000          0.410          3.147      22153.945     124759.148      18041.568      18131.955
     30/04/1996          9.331          1.000          1.000          1.000          0.448          3.057      22202.506     125415.602      17933.893      18215.422
     31/05/1996          9.416          1.000          1.000          0.950          0.478          2.973      22246.154     126032.562      17823.492      18293.221
     30/06/1996          9.498          1.000          1.000          0.717          0.483          2.933      22289.020     126644.805      17761.832      18372.740
     31/07/1996          9.583          1.000          1.000          0.650          0.457          2.949      22338.127     127336.133      17766.385      18466.281
     31/08/1996          9.668          1.000          1.000          0.817          0.439          2.950      22391.143     128088.445      17752.127      18566.994
     30/09/1996          9.750          1.000          1.000          1.000          0.414          2.966      22454.578     128973.844      17755.566      18686.500
     31/10/1996          9.835          1.000          1.000          1.000          0.409          2.955      22516.199     129866.156      17724.795      18805.012
     30/11/1996          9.917          1.000          0.791          0.600          0.384          2.993      22582.699     130825.250      17753.461      18935.541
     31/12/1996         10.002          1.000          0.939          0.875          0.373          2.989      22644.781     131714.359      17735.391      19054.078
