Summary_file = singlecrop_sample.sum
Title = Tracker Sample Single Crop Simulation
            day           year accumulated_rain            lai        max_lai          yield    wheat_yield             ep accumulated_wheat_ep    swdef_photo wheat_weekly_stress
          (day)         (year)             (mm)      (m^2/m^2)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)                 (mm)             ()                  ()
              1           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
              2           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
              3           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
              4           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
              5           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
              6           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
              7           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
              8           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
              9           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             10           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             11           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             12           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             13           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             14           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             15           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             16           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             17           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             18           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             19           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             20           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             21           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             22           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             23           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             24           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             25           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             26           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             27           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             28           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
