Summary_file = singlecrop_sample.sum
Title = Tracker Sample Single Crop Simulation
            day           year accumulated_rain            lai        max_lai          yield    wheat_yield             ep accumulated_wheat_ep    swdef_photo wheat_weekly_stress
          (day)         (year)             (mm)      (m^2/m^2)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)                 (mm)             ()                  ()
             29           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             30           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             31           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             32           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             33           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             34           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             35           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             36           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             37           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             38           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             39           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             40           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             41           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             42           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             43           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             44           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             45           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             46           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             47           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             48           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             49           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             50           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             51           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             52           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             53           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             54           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             55           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             56           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             57           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             58           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             59           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             60           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             61           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             62           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             63           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             64           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             65           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             66           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             67           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             68           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             69           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             70           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             71           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             72           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             73           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             74           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             75           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             76           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             77           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             78           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             79           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             80           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             81           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             82           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             83           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             84           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             85           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             86           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             87           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             88           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             89           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             90           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             91           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             92           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             93           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             94           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             95           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             96           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             97           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             98           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
             99           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            100           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            101           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            102           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            103           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            104           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            105           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            106           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            107           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            108           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            109           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            110           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            111           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            112           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            113           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            114           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            115           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            116           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            117           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            118           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            119           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            120           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            121           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            122           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            123           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            124           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            125           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            126           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            127           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            128           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            129           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            130           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            131           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            132           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            133           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            134           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            135           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            136           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            137           1989                ?          0.000              ?          0.000              ?          0.000                    ?          1.000                   ?
            138           1989                ?          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
            139           1989            0.000          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
            140           1989            0.000          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
            141           1989            0.000          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
            142           1989            0.000          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
            143           1989            6.400          0.000          0.000          0.000              ?          0.000                0.000          1.000               1.000
            144           1989            6.400          0.020          0.020          0.000              ?          0.000                0.000          1.000               1.000
            145           1989            6.400          0.023          0.023          0.000              ?          0.037                0.037          1.000               1.000
            146           1989            6.400          0.025          0.025          0.000              ?          0.022                0.059          1.000               1.000
            147           1989            7.000          0.027          0.027          0.000              ?          0.017                0.076          1.000               1.000
            148           1989            7.000          0.030          0.030          0.000              ?          0.040                0.116          1.000               1.000
            149           1989            7.000          0.034          0.034          0.000              ?          0.042                0.157          1.000               1.000
            150           1989            7.000          0.036          0.036          0.000              ?          0.019                0.177          1.000               1.000
            151           1989            9.600          0.039          0.039          0.000              ?          0.013                0.190          1.000               1.000
            152           1989            9.600          0.044          0.044          0.000              ?          0.049                0.239          1.000               1.000
            153           1989            9.600          0.050          0.050          0.000              ?          0.065                0.304          1.000               1.000
            154           1989           12.400          0.056          0.056          0.000              ?          0.073                0.376          1.000               1.000
            155           1989           13.400          0.063          0.063          0.000              ?          0.081                0.458          1.000               1.000
            156           1989           27.200          0.071          0.071          0.000              ?          0.091                0.548          1.000               1.000
            157           1989           47.000          0.081          0.081          0.000              ?          0.101                0.650          1.000               1.000
            158           1989           47.000          0.091          0.091          0.000              ?          0.114                0.764          1.000               1.000
            159           1989           47.000          0.102          0.102          0.000              ?          0.127                0.891          1.000               1.000
            160           1989           47.000          0.115          0.115          0.000              ?          0.141                1.032          1.000               1.000
            161           1989           48.200          0.130          0.130          0.000              ?          0.157                1.190          1.000               1.000
            162           1989           48.200          0.146          0.146          0.000              ?          0.175                1.365          1.000               1.000
            163           1989           48.200          0.164          0.164          0.000              ?          0.194                1.559          1.000               1.000
            164           1989           49.400          0.184          0.184          0.000              ?          0.216                1.775          1.000               1.000
            165           1989           49.400          0.206          0.206          0.000              ?          0.239                2.013          1.000               1.000
            166           1989           49.400          0.231          0.231          0.000              ?          0.263                2.276          1.000               1.000
            167           1989           49.400          0.259          0.259          0.000              ?          0.294                2.570          1.000               1.000
            168           1989           49.400          0.289          0.289          0.000              ?          0.325                2.895          1.000               1.000
            169           1989           49.400          0.323          0.323          0.000              ?          0.358                3.253          1.000               1.000
            170           1989           49.400          0.361          0.361          0.000              ?          0.394                3.647          1.000               1.000
            171           1989           49.400          0.402          0.402          0.000              ?          0.438                4.086          1.000               1.000
            172           1989           49.400          0.448          0.448          0.000              ?          0.478                4.563          1.000               1.000
            173           1989           49.400          0.498          0.498          0.000              ?          0.530                5.093          1.000               1.000
            174           1989           49.400          0.552          0.552          0.000              ?          0.578                5.671          1.000               1.000
            175           1989           49.400          0.612          0.612          0.000              ?          0.625                6.296          1.000               1.000
            176           1989           49.400          0.676          0.676          0.000              ?          0.688                6.984          1.000               1.000
            177           1989           49.800          0.746          0.746          0.000              ?          0.744                7.728          1.000               1.000
            178           1989           49.800          0.823          0.823          0.000              ?          0.810                8.538          1.000               1.000
            179           1989           49.800          0.905          0.905          0.000              ?          0.883                9.420          1.000               1.000
            180           1989           49.900          0.994          0.994          0.000              ?          0.942               10.362          1.000               1.000
            181           1989           49.900          1.077          1.077          0.000              ?          0.893               11.255          1.000               1.000
            182           1989           49.900          1.171          1.171          0.000              ?          1.196               12.451          1.000               1.000
            183           1989           49.900          1.237          1.237          0.000              ?          0.689               13.140          1.000               1.000
            184           1989           49.900          1.324          1.324          0.000              ?          0.896               14.036          1.000               1.000
            185           1989           50.400          1.397          1.397          0.000              ?          0.414               14.449          1.000               1.000
            186           1989           50.400          1.491          1.491          0.000              ?          0.553               15.002          1.000               1.000
            187           1989           50.400          1.589          1.589          0.000              ?          0.667               15.669          1.000               1.000
            188           1989           50.400          1.701          1.701          0.000              ?          0.871               16.540          1.000               1.000
            189           1989           50.400          1.832          1.832          0.000              ?          1.460               18.000          1.000               1.000
            190           1989           50.400          1.963          1.963          0.000              ?          1.687               19.687          1.000               1.000
            191           1989           54.900          2.015          2.015          0.000              ?          0.088               19.775          1.000               1.000
            192           1989           54.900          2.117          2.117          0.000              ?          0.630               20.405          1.000               1.000
            193           1989           54.900          2.241          2.241          0.000              ?          0.833               21.239          1.000               1.000
            194           1989           54.900          2.347          2.347          0.000              ?          0.660               21.898          1.000               1.000
            195           1989           54.900          2.451          2.451          0.000              ?          0.615               22.513          1.000               1.000
            196           1989           54.900          2.518          2.518          0.000              ?          0.487               23.000          1.000               1.000
            197           1989           61.100          2.587          2.587          0.000              ?          0.388               23.388          1.000               1.000
            198           1989           61.100          2.733          2.733          0.000              ?          1.315               24.703          1.000               1.000
            199           1989           61.700          2.792          2.792          0.000              ?          0.211               24.914          1.000               1.000
            200           1989           61.700          2.916          2.916          0.000              ?          0.798               25.712          1.000               1.000
            201           1989           61.700          3.025          3.025          0.000              ?          0.776               26.487          1.000               1.000
            202           1989           61.700          3.157          3.157          0.000              ?          1.177               27.664          1.000               1.000
            203           1989           61.700          3.274          3.274          0.000              ?          0.962               28.626          1.000               1.000
            204           1989           61.700          3.428          3.428          0.000              ?          1.184               29.810          1.000               1.000
            205           1989           67.300          3.485          3.485          0.000              ?          0.240               30.050          1.000               1.000
            206           1989           67.300          3.595          3.595          0.000              ?          0.848               30.897          1.000               1.000
            207           1989           67.300          3.790          3.790          0.000              ?          2.684               33.582          1.000               1.000
            208           1989           67.300          3.987          3.987          0.000              ?          2.859               36.441          1.000               1.000
            209           1989           67.300          4.171          4.171          0.000              ?          2.620               39.061          1.000               1.000
            210           1989           67.300          4.334          4.334          0.000              ?          1.931               40.992          1.000               1.000
            211           1989           67.300          4.510          4.510          0.000              ?          2.706               43.698          1.000               1.000
            212           1989           79.900          4.583          4.583          0.000              ?          0.172               43.871          1.000               1.000
            213           1989           82.700          4.702          4.702          0.000              ?          0.824               44.695          1.000               1.000
            214           1989           82.700          4.899          4.899          0.000              ?          2.503               47.198          1.000               1.000
            215           1989           82.700          5.115          5.115          0.000              ?          2.727               49.925          1.000               1.000
            216           1989           82.700          5.319          5.319          0.000              ?          2.846               52.771          1.000               1.000
            217           1989           83.100          5.443          5.443          0.000              ?          0.896               53.666          1.000               1.000
            218           1989           83.100          5.633          5.633          0.000              ?          1.586               55.253          1.000               1.000
            219           1989           83.100          5.783          5.783          0.000              ?          1.511               56.764          1.000               1.000
            220           1989           83.500          5.862          5.862          0.000              ?          0.502               57.266          1.000               1.000
            221           1989           83.500          6.049          6.049          0.000              ?          2.054               59.320          1.000               1.000
            222           1989           83.500          6.236          6.236          0.000              ?          2.849               62.168          1.000               1.000
            223           1989           83.500          6.420          6.420          0.000              ?          2.932               65.101          1.000               1.000
            224           1989           83.500          6.587          6.587          0.000              ?          2.531               67.632          1.000               1.000
            225           1989           83.500          6.762          6.762          0.000              ?          3.212               70.844          1.000               1.000
            226           1989           83.500          6.933          6.933          0.000              ?          3.613               74.457          1.000               1.000
            227           1989           83.500          7.103          7.103          0.000              ?          3.888               78.346          1.000               1.000
            228           1989           83.500          7.256          7.256          0.000              ?          3.844               82.190          1.000               1.000
            229           1989           83.500          7.343          7.343          0.000              ?          2.059               84.249          1.000               1.000
            230           1989           84.900          7.428          7.428          0.000              ?          2.442               86.691          1.000               1.000
            231           1989           84.900          7.534          7.534          0.000              ?          4.752               91.443          1.000               1.000
            232           1989           84.900          7.617          7.617          0.000              ?          4.059               95.503          1.000               1.000
            233           1989           84.900          7.691          7.691          0.000              ?          4.388               99.891          1.000               1.000
            234           1989           84.900          7.751          7.751          0.000              ?          3.662              103.553          1.000               1.000
            235           1989           84.900          7.801          7.801          0.000              ?          2.513              106.066          1.000               1.000
            236           1989           84.900          7.846          7.846          0.000              ?          2.460              108.526          1.000               1.000
            237           1989           84.900          7.882          7.882          0.000              ?          3.814              112.340          1.000               1.000
            238           1989           84.900          7.903          7.903          0.000              ?          5.142              117.482          1.000               1.000
            239           1989           84.900          7.915          7.915          0.000              ?          2.676              120.157          1.000               1.000
            240           1989           84.900          7.922          7.922          0.000              ?          4.529              124.686          1.000               1.000
            241           1989           84.900          7.908          7.922          0.000              ?          5.474              130.160          1.000               1.000
            242           1989           84.900          7.886          7.922          0.000              ?          4.122              134.282          1.000               1.000
            243           1989           84.900          7.848          7.922          0.000              ?          5.449              139.731          1.000               1.000
            244           1989           84.900          7.790          7.922          0.000              ?          1.711              141.442          1.000               1.000
            245           1989           84.900          7.748          7.922          0.000              ?          3.482              144.924          1.000               1.000
            246           1989           84.900          7.702          7.922          0.000              ?          4.422              149.347          1.000               1.000
            247           1989           84.900          7.654          7.922          0.000              ?          4.303              153.649          1.000               1.000
            248           1989           84.900          7.610          7.922          0.000              ?          4.920              158.569          1.000               1.000
            249           1989           84.900          7.561          7.922          0.000              ?          5.713              164.282          1.000               1.000
            250           1989           84.900          7.491          7.922          0.000              ?          6.068              170.350          1.000               1.000
            251           1989           84.900          7.417          7.922          0.000              ?          5.910              176.260          1.000               1.000
            252           1989           84.900          7.335          7.922          0.000              ?          6.090              182.350          1.000               1.000
            253           1989           84.900          7.242          7.922          0.000              ?          6.360              188.711          1.000               1.000
            254           1989           84.900          7.141          7.922          0.000              ?          6.634              195.344          0.960               0.994
            255           1989           91.900          7.079          7.922          0.000              ?          2.726              198.070          1.000               0.994
            256           1989           91.900          7.018          7.922          0.000              ?          3.831              201.901          1.000               0.994
            257           1989           91.900          6.959          7.922          0.000              ?          4.204              206.105          1.000               0.994
            258           1989           91.900          6.907          7.922          0.000              ?          4.242              210.347          1.000               0.994
            259           1989           91.900          6.846          7.922          0.000              ?          5.545              215.891          1.000               0.994
            260           1989           91.900          6.766          7.922          0.000              ?          5.498              221.389          0.883               0.978
            261           1989           91.900          6.649          7.922          0.000              ?          5.159              226.548          0.827               0.959
            262           1989           91.900          6.445          7.922          0.000              ?          4.841              231.390          0.693               0.915
            263           1989           91.900          6.385          7.922          0.000              ?          4.544              235.933          0.933               0.905
            264           1989           91.900          6.173          7.922          0.000              ?          4.265              240.198          0.668               0.858
            265           1989           91.900          5.922          7.922          0.000              ?          4.003              244.200          0.594               0.800
            266           1989           91.900          5.804          7.922        146.891              ?          3.757              247.957          0.802               0.771
            267           1989           91.900          5.535          7.922        252.737              ?          3.526              251.484          0.535               0.722
            268           1989           91.900          5.229          7.922        344.141              ?          3.310              254.794          0.449               0.668
            269           1989           91.900          5.229          7.922        459.461              ?          1.144              255.938          1.000               0.711
            270           1989           91.900          5.009          7.922        558.198              ?          3.026              258.964          0.578               0.661
            271           1989           91.900          4.730          7.922        675.975              ?          2.840              261.804          0.443               0.629
            272           1989           91.900          4.451          7.922        776.594              ?          2.666              264.470          0.411               0.603
            273           1989           91.900          4.176          7.922       1073.561              ?          2.505              266.976          0.382               0.543
            274           1989           91.900          3.904          7.922       1395.400              ?          2.367              269.343          0.347               0.516
            275           1989           91.900          3.706          7.922       1690.106              ?          2.237              271.579          0.494               0.522
            276           1989           91.900          3.480          7.922       1916.976              ?          2.114              273.693          0.389               0.435
            277           1989           91.900          3.246          7.922       2213.943              ?          1.998              275.691          0.328               0.399
            278           1989           91.900          3.009          7.922       2603.617              ?          1.888              277.579          0.270               0.375
            279           1989           91.900          2.796          7.922       2911.136              ?          1.785              279.364          0.292               0.358
            280           1989           91.900          2.596          7.922       3217.147              ?          1.688              281.052          0.283               0.343
            281           1989           91.900          2.571          7.922       3556.322              ?          1.596              282.648          0.906               0.423
            282           1989           93.100          2.394          7.922       3824.647              ?          1.510              284.158          0.312               0.397
            283           1989           93.100          2.249          7.922       4071.868              ?          1.428              285.585          0.391               0.398
            284           1989           93.100          2.087          7.922       4326.626              ?          1.350              286.936          0.279               0.391
            285           1989           93.100          1.927          7.922       4539.354              ?          1.278              288.213          0.237               0.386
            286           1989           93.100          1.775          7.922       4580.043              ?          1.209              289.422          0.208               0.374
            287           1989           93.100          1.638          7.922       4620.230              ?          1.144              290.566          0.229               0.366
            288           1989           93.100          1.510          7.922       4657.200              ?          1.082              291.648          0.219               0.268
            289           1989           93.100          1.391          7.922       4679.267              ?          1.024              292.672          0.210               0.253
            290           1989           93.100          1.281          7.922       4706.073              ?          0.969              293.641          0.209               0.227
            291           1989           98.900          1.189          7.922       4740.845              ?          1.033              294.673          0.285               0.228
            292           1989          102.100          1.103          7.922       4764.007              ?          1.113              295.786          0.277               0.234
            293           1989          102.500          1.103          7.922       4864.001              ?          0.734              296.521          1.000               0.347
            294           1989          102.700          1.024          7.922       4899.816              ?          0.914              297.435          0.281               0.354
            295           1989          102.700          0.945          7.922       4927.513              ?          0.784              298.218          0.228               0.356
            296           1989          103.700          0.923          7.922       4976.304              ?          0.768              298.987          0.765               0.435
            297           1989          112.900          0.891          7.922       5030.463              ?          1.315              300.301          0.692               0.504
            298           1989          113.500          0.795          7.922       5090.292              ?          1.215              301.516          0.729               0.567
            299           1989          113.500          0.695          7.922       5090.292              ?          1.078              302.594          0.779               0.639
            300           1989          129.900          0.612          7.922       5090.292              ?          0.188              302.782          1.000               0.639
            301           1989          129.900          0.547          7.922       5090.292              ?          0.162              302.943          1.000               0.742
            302           1989          129.900          0.001          7.922       5090.292              ?          0.000              302.943          1.000               0.852
            303           1989          129.900          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            304           1989          129.900          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            305           1989          130.900          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            306           1989          130.900          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            307           1989          130.900          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            308           1989          133.500          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            309           1989          144.300          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            310           1989          153.300          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            311           1989          165.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            312           1989          165.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            313           1989          165.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            314           1989          165.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            315           1989          165.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            316           1989          169.300          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            317           1989          169.300          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            318           1989          169.300          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            319           1989          169.300          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            320           1989          192.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            321           1989          198.700          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            322           1989          209.900          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            323           1989          209.900          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            324           1989          209.900          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            325           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            326           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            327           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            328           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            329           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            330           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            331           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            332           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            333           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            334           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            335           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            336           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            337           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
