Summary_file = lysS113.sum
Title = south lysimeter
year,month,day,day_month,period,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),sw(10),sw(11),sw(12),sw(13),sw(14),sw(15),sw(16),sw(17),sw(18),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3(10),no3(11),no3(12),no3(13),no3(14),no3(15),nh4(1),nh4(2),nh4(3),nh4(4),nh4(5),nh4(6),nh4(7),nh4(8),nh4(9),nh4(10),nh4(11),nh4(12),nh4(13),nh4(14),nh4(15),no3_025,no3_2590,nh4_025,nh4_2590,sw_dep_025,sw_dep_2590,sw_dep_90180,no3_030,no3_3080,nh4_030,nh4_3080,sw_dep_030,sw_dep_3080,rain,T,ET,swdep(1),swdep(2),swdep(3),swdep(4),swdep(5),swdep(6),swdep(7),swdep(8),swdep(9),swdep(10),swdep(11),swdep(12),swdep(13),swdep(14),swdep(15),swdep(16),swdep(17),swdep(18),es,runoff,drain,eo,h,drain_25,drain_90,drain_180,cum_rain,cum_ET,cum_E,cum_T,cdrain_25,cdrain_90,cdrain180,cum_drain,no3(),nh4(),nit_tot(),leach_no3,cleach_25,cleach_90,urea(),biom_n(),fom_n(),hum_n(),sum@soiln2.dnit[],sum@soiln2.dlt_n_min[],residue_n,residue_wt,residue_cover,L_dlt_n_fixed,P_dlt_n_fixed,W_biomass_n,W_root_n,L_biomass_n,L_root_n,C_biomass_n,C_root_n,P_biomass_n,P_root_n,cum_nmin010,cum_nmin1020,cum_nmin2030,no3_010,nh4_010,fom_n_010,biom_n_010,hum_n_010,no3_sol_20,no3_sol_30,no3_sol_50,no3_sol_90,cumnetdrain120
(year),(month),(day),(day),(),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(),(),(),(),(),(),(),(),(),(),(),(),(),(mm),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(),(),(),(),(),(),(),(),(),(),(),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(),(),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(m^2/m^2),(g/m^2),(g/m^2),(g/m2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(),(),(),(),(),(),(),(),(ug/g),(ug/g),(ug/g),(ug/g),()
1992,12,363,28,     1.000,     0.090,     0.193,     0.218,     0.236,     0.248,     0.252,     0.213,     0.241,     0.258,     0.281,     0.295,     0.310,     0.324,     0.334,     0.334,     0.335,     0.336,     0.336,     0.036,     0.143,     0.225,     0.332,     0.746,     0.169,     0.197,     0.252,     0.586,     1.106,     1.316,     1.399,     1.618,     1.227,     0.818,     0.000,     0.047,     0.065,     0.090,     0.025,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.002,     0.001,     0.001,     1.651,     2.799,     0.227,     0.000,    60.000,   138.821,   290.097,     1.750,     2.043,     0.227,     0.000,    70.669,   129.650,    44.000,     0.000,    26.501,     0.452,     1.933,     4.363,     9.450,    18.620,    25.182,    21.338,    24.079,    38.705,    56.197,    59.034,    62.004,    64.724,    50.089,    33.442,    25.134,    16.781,     8.406,    28.150,     0.000,     0.000,    61.021,     0.000,     0.272,    -0.469,     0.000,    44.000,    28.149,    28.149,     0.000,     0.334,    -0.503,     0.000,     0.000,    11.400,     0.232,  4720.801,     0.000,     0.005,    -0.010,     0.000,   132.682,    27.254,  4549.232,     0.010,    -6.117,     2.759,   482.910,     0.215,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.926,    -0.893,    -1.401,     0.985,     0.210,     5.610,    83.811,  1170.938,     3.517,     4.006,     0.924,     1.515,  -305.506
1993,1,12,12,     1.000,     0.059,     0.069,     0.156,     0.199,     0.222,     0.239,     0.216,     0.241,     0.258,     0.282,     0.296,     0.308,     0.322,     0.333,     0.334,     0.336,     0.336,     0.337,     0.062,     0.105,     0.362,     0.429,     0.193,     0.028,     0.022,     0.016,     0.021,     0.524,     0.897,     1.230,     1.613,     1.231,     0.820,     0.033,     0.050,     0.088,     0.276,     0.511,     0.020,     0.009,     0.004,     0.004,     0.000,     0.000,     0.000,     0.002,     0.001,     0.001,     1.179,     1.031,     0.978,     0.017,    52.576,   137.905,   289.632,     1.190,     0.572,     0.982,     0.013,    63.366,   130.090,     0.000,     0.000,     7.546,     0.294,     0.693,     3.126,     7.970,    16.631,    23.862,    21.579,    24.127,    38.692,    56.481,    59.290,    61.665,    64.445,    50.018,    33.449,    25.172,    16.814,     8.424,     6.111,     0.000,     0.000,   103.478,     0.000,     0.325,    -0.474,     0.000,    44.000,    34.260,    34.260,     0.000,     0.605,    -0.970,     0.000,     0.000,     8.784,     1.000,  4717.793,     0.000,     0.005,    -0.025,     0.000,   139.965,    19.994,  4548.049,     0.007,     1.162,     2.759,   482.910,     0.215,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     3.436,    -0.605,    -1.468,     1.022,     0.617,     3.622,    83.972,  1170.259,     5.382,     1.162,     0.104,     0.055,  -304.670
1993,1,27,27,     1.000,     0.200,     0.209,     0.211,     0.196,     0.214,     0.234,     0.216,     0.242,     0.259,     0.283,     0.297,     0.308,     0.321,     0.333,     0.334,     0.336,     0.336,     0.337,     0.071,     0.132,     0.300,     0.614,     0.375,     0.033,     0.025,     0.018,     0.023,     0.357,     0.736,     1.163,     1.611,     1.235,     0.822,     0.019,     0.034,     0.094,     0.341,     0.968,     0.016,     0.007,     0.003,     0.003,     0.000,     0.000,     0.000,     0.002,     0.001,     0.001,     1.525,     0.791,     1.472,     0.013,    54.646,   137.697,   289.261,     1.538,     0.410,     1.475,     0.010,    65.464,   130.428,    14.900,     0.000,    10.564,     0.998,     2.090,     4.221,     7.855,    16.070,    23.412,    21.636,    24.177,    38.790,    56.643,    59.364,    61.508,    64.275,    49.955,    33.430,    25.171,    16.815,     8.425,    12.407,     0.000,     0.000,    84.838,     0.000,     0.080,    -0.375,     0.000,    58.900,    46.666,    46.666,     0.000,     0.681,    -1.341,     0.000,     0.000,     8.745,     1.490,  4714.323,     0.000,     0.005,    -0.040,     0.000,   143.022,    14.687,  4546.378,     0.009,     4.449,     2.602,   455.350,     0.204,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     7.013,    -0.028,    -1.420,     1.242,     0.811,     2.327,    82.963,  1169.423,     7.818,     2.336,     0.117,     0.059,  -304.530
1993,2,42,11,     1.000,     0.066,     0.122,     0.190,     0.213,     0.228,     0.231,     0.217,     0.242,     0.259,     0.284,     0.297,     0.307,     0.321,     0.333,     0.334,     0.335,     0.336,     0.337,     0.085,     0.253,     0.575,     0.779,     0.616,     0.068,     0.040,     0.027,     0.058,     0.427,     0.748,     1.164,     1.611,     1.241,     0.825,     0.023,     0.061,     0.194,     0.447,     1.340,     0.031,     0.008,     0.001,     0.014,     0.017,     0.009,     0.003,     0.002,     0.001,     0.001,     2.376,     0.926,     2.096,     0.045,    54.037,   137.576,   288.961,     2.396,     0.532,     2.100,     0.036,    64.865,   130.688,    14.600,     0.000,    16.377,     0.329,     1.224,     3.795,     8.513,    17.072,    23.104,    21.655,    24.230,    38.888,    56.742,    59.399,    61.420,    64.164,    49.900,    33.402,    25.153,    16.803,     8.419,    14.766,     0.000,     0.000,   112.870,     0.000,     0.041,    -0.305,     0.000,    73.500,    61.431,    61.431,     0.000,     0.720,    -1.642,     0.000,     0.000,     9.745,     2.151,  4709.846,     0.000,     0.005,    -0.055,     0.000,   143.458,    10.113,  4544.378,     0.008,     6.444,     2.511,   439.418,     0.197,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    11.702,     0.712,    -1.360,     1.897,     1.172,     1.491,    80.426,  1168.364,     9.151,     3.610,     0.185,     0.148,  -304.302
1993,2,57,26,     1.000,     0.067,     0.139,     0.194,     0.215,     0.226,     0.229,     0.217,     0.243,     0.260,     0.284,     0.297,     0.307,     0.320,     0.332,     0.334,     0.335,     0.336,     0.336,     0.091,     0.307,     0.601,     0.985,     0.973,     0.179,     0.103,     0.034,     0.120,     0.575,     0.828,     1.194,     1.609,     1.245,     0.827,     0.000,     0.042,     0.163,     0.313,     1.116,     0.075,     0.032,     0.007,     0.030,     0.036,     0.020,     0.008,     0.002,     0.001,     0.001,     3.136,     1.246,     1.709,     0.115,    54.032,   137.508,   288.704,     3.188,     0.780,     1.725,     0.089,    64.866,   130.916,    12.200,     0.000,    11.921,     0.335,     1.386,     3.882,     8.599,    16.971,    22.859,    21.668,    24.297,    38.971,    56.814,    59.425,    61.366,    64.083,    49.849,    33.370,    25.128,    16.786,     8.410,    11.973,     0.000,     0.000,    78.896,     0.000,     0.026,    -0.257,     0.000,    85.700,    73.404,    73.404,     0.000,     0.745,    -1.896,     0.000,     0.000,    10.898,     1.846,  4705.438,     0.000,     0.005,    -0.066,     0.000,   142.256,     7.622,  4542.816,     0.006,     5.428,     2.459,   430.337,     0.194,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    15.224,     1.373,    -1.189,     2.308,     0.890,     1.138,    78.227,  1167.536,    11.460,     5.734,     0.476,     0.308,  -304.277
1993,3,62,3,     1.000,     0.061,     0.081,     0.176,     0.205,     0.222,     0.228,     0.217,     0.243,     0.260,     0.284,     0.297,     0.307,     0.320,     0.332,     0.334,     0.335,     0.336,     0.336,     0.121,     0.235,     0.720,     1.027,     0.997,     0.208,     0.129,     0.050,     0.139,     0.634,     0.860,     1.206,     1.609,     1.246,     0.828,     0.017,     0.045,     0.143,     0.300,     1.042,     0.084,     0.038,     0.012,     0.033,     0.039,     0.022,     0.009,     0.002,     0.001,     0.001,     3.308,     1.382,     1.631,     0.133,    52.254,   137.499,   288.629,     3.372,     0.887,     1.650,     0.103,    63.090,   130.986,     0.400,     0.000,     2.343,     0.306,     0.811,     3.514,     8.198,    16.631,    22.794,    21.673,    24.320,    38.995,    56.834,    59.433,    61.353,    64.061,    49.833,    33.359,    25.120,    16.780,     8.407,     2.132,     0.000,     0.000,    21.499,     0.000,     0.005,    -0.078,     0.000,    86.100,    75.536,    75.536,     0.000,     0.750,    -1.973,     0.000,     0.000,    11.235,     1.790,  4704.146,     0.000,     0.005,    -0.068,     0.000,   141.703,     7.053,  4542.365,     0.002,     1.574,     2.459,   430.337,     0.194,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    16.151,     1.574,    -1.115,     2.435,     0.852,     1.070,    77.599,  1167.306,    12.527,     5.996,     0.597,     0.357,  -304.298
1993,3,77,18,     1.000,     0.070,     0.163,     0.203,     0.224,     0.239,     0.250,     0.258,     0.280,     0.270,     0.286,     0.298,     0.307,     0.320,     0.332,     0.333,     0.335,     0.335,     0.336,     0.110,     0.434,     0.785,     0.943,     1.139,     0.699,     0.316,     0.157,     0.243,     0.849,     0.980,     1.254,     1.609,     1.250,     0.830,     0.051,     0.078,     0.166,     0.302,     0.879,     0.120,     0.053,     0.022,     0.040,     0.046,     0.026,     0.011,     0.002,     0.001,     0.001,     4.110,     2.055,     1.596,     0.174,    57.860,   149.098,   288.456,     4.268,     1.407,     1.622,     0.134,    70.755,   138.770,    45.000,     0.000,    29.273,     0.348,     1.626,     4.063,     8.948,    17.907,    24.968,    25.789,    28.001,    40.574,    57.300,    59.531,    61.324,    64.002,    49.787,    33.326,    25.093,    16.761,     8.397,    29.568,     0.000,     0.000,    70.542,     0.000,     9.765,    -0.186,     0.000,   131.100,   105.104,   105.104,     0.000,    10.492,    -2.144,     0.000,     0.000,    12.824,     1.798,  4701.030,     0.000,     0.314,    -0.076,     0.000,   139.893,     5.515,  4541.000,     0.073,     5.164,     2.324,   406.749,     0.184,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    19.279,     2.149,    -0.886,     2.652,     0.890,     0.865,    75.760,  1166.597,    10.543,     6.363,     1.224,     0.598,  -304.383
1993,3,90,31,     1.000,     0.068,     0.145,     0.196,     0.217,     0.231,     0.242,     0.250,     0.272,     0.272,     0.291,     0.300,     0.307,     0.320,     0.332,     0.333,     0.334,     0.335,     0.336,     0.202,     0.681,     1.396,     2.161,     2.325,     1.046,     0.513,     0.276,     0.428,     1.052,     1.101,     1.302,     1.610,     1.253,     0.832,     0.000,     0.009,     0.158,     0.290,     0.855,     0.114,     0.056,     0.029,     0.048,     0.053,     0.029,     0.013,     0.002,     0.001,     0.001,     7.811,     2.819,     1.426,     0.200,    55.878,   147.159,   288.665,     8.068,     2.013,     1.454,     0.158,    68.368,   138.521,    14.200,     0.000,    16.437,     0.339,     1.450,     3.917,     8.661,    17.295,    24.216,    24.979,    27.187,    40.735,    58.109,    60.084,    61.396,    63.971,    49.751,    33.299,    25.071,    16.746,     8.389,    16.352,     0.000,     0.000,    49.540,     0.000,    -0.182,     0.185,     0.000,   145.300,   121.457,   121.457,     0.000,    10.323,    -1.936,     0.000,     0.000,    17.407,     1.659,  4701.351,     0.000,     0.336,    -0.072,     0.000,   137.849,     4.683,  4539.754,     0.003,     4.704,     2.931,   471.042,     0.203,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    21.993,     2.696,    -0.624,     5.215,     0.742,     0.828,    74.136,  1165.952,    24.953,    13.442,     2.052,     1.052,  -304.525
1993,4,91,1,     1.000,     0.067,     0.131,     0.192,     0.214,     0.230,     0.242,     0.249,     0.271,     0.272,     0.291,     0.301,     0.307,     0.320,     0.332,     0.333,     0.334,     0.335,     0.336,     0.216,     0.662,     1.456,     2.205,     2.401,     1.073,     0.526,     0.284,     0.440,     1.065,     1.109,     1.306,     1.610,     1.253,     0.832,     0.000,     0.005,     0.134,     0.290,     0.833,     0.111,     0.055,     0.029,     0.048,     0.054,     0.030,     0.013,     0.002,     0.001,     0.001,     8.013,     2.870,     1.373,     0.201,    55.449,   147.055,   288.685,     8.276,     2.052,     1.400,     0.159,    67.919,   138.490,     0.000,     0.000,     0.495,     0.334,     1.308,     3.838,     8.575,    17.216,    24.178,    24.940,    27.148,    40.728,    58.144,    60.123,    61.407,    63.970,    49.748,    33.297,    25.069,    16.744,     8.388,     0.439,     0.000,     0.000,     3.091,     0.000,    -0.009,     0.023,     0.000,   145.300,   121.896,   121.896,     0.000,    10.314,    -1.914,     0.000,     0.000,    17.664,     1.608,  4701.372,     0.000,     0.338,    -0.072,     0.000,   137.788,     4.625,  4539.687,     0.000,     0.251,     2.910,   467.600,     0.202,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    22.125,     2.727,    -0.608,     5.339,     0.707,     0.819,    74.095,  1165.919,    25.712,    13.944,     2.109,     1.080,  -304.535
