ApsimVersion = 6.1
Title = Lettuce Sample Simulation
           Date DaysAfterSowing          Stage            lai        biomass             ep         tt_tot    LeafGreenWt    StemGreenWt  FloretGreenWt        node_no
    13/May/1998               ?          1.777          0.012           18.8          0.030              ?           0.80           0.68           0.00         22.000
    14/May/1998               ?          1.795          0.013           19.6          0.007              ?           0.84           0.71           0.00         23.000
    15/May/1998               ?          1.813          0.014           20.5          0.007              ?           0.88           0.75           0.00         23.000
    16/May/1998               ?          1.834          0.015           21.7          0.013              ?           0.95           0.79           0.00         24.000
    17/May/1998               ?          1.853          0.016           22.7          0.015              ?           1.00           0.83           0.00         25.000
    18/May/1998               ?          1.872          0.017           24.5          0.027              ?           1.09           0.91           0.00         25.000
    19/May/1998               ?          1.891          0.019           26.2          0.023              ?           1.18           0.98           0.00         26.000
    20/May/1998               ?          1.910          0.021           28.9          0.044              ?           1.33           1.08           0.00         27.000
    21/May/1998               ?          1.926          0.024           31.9          0.034              ?           1.51           1.20           0.00         27.000
    22/May/1998               ?          1.941          0.027           35.3          0.064              ?           1.70           1.34           0.00         28.000
    23/May/1998               ?          1.955          0.030           38.9          0.076              ?           1.91           1.48           0.00         28.000
    24/May/1998               ?          1.972          0.034           43.0          0.089              ?           2.13           1.65           0.00         29.000
    25/May/1998               ?          1.986          0.038           47.5          0.096              ?           2.39           1.83           0.00         29.000
    26/May/1998               ?          2.000          0.042           52.3          0.100              ?           2.66           2.02           0.00         30.000
    27/May/1998               ?          0.000          0.000            0.0          0.114              ?           0.00           0.00           0.00          0.000
    28/May/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    29/May/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    30/May/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    31/May/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    01/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    02/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    03/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    04/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    05/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    06/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    07/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    08/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    09/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    10/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    11/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    12/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    13/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    14/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    15/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    16/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    17/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    18/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    19/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    20/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    21/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    22/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    23/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    24/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    25/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    26/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    27/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    28/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    29/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    30/Jun/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    01/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    02/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    03/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    04/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    05/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    06/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    07/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    08/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    09/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    10/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    11/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    12/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    13/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    14/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    15/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    16/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    17/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    18/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    19/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    20/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    21/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    22/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    23/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    24/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    25/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    26/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    27/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    28/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    29/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    30/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    31/Jul/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    01/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    02/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    03/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    04/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    05/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    06/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    07/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    08/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    09/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    10/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    11/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    12/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    13/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    14/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    15/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    16/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    17/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    18/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    19/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    20/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    21/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    22/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    23/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    24/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    25/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    26/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    27/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    28/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    29/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    30/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    31/Aug/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    01/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    02/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    03/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    04/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    05/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    06/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    07/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    08/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    09/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    10/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    11/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    12/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    13/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    14/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    15/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    16/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    17/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    18/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    19/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    20/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    21/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    22/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    23/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    24/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    25/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    26/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    27/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    28/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    29/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
    30/Sep/1998               ?          0.000          0.000            0.0          0.000              ?           0.00           0.00           0.00          0.000
