date,income,expenditure,balance,comment
30/Jun/1941,,136000.0,-94000.0,Farm Overheads
30/Jun/1941,,94958.5601725,-188958.560173,Loan repayments for initial capital outlay
28/May/1942,,17520.0,-206478.560173,seedcost (wheat)
28/May/1942,,15000.0,-221478.560173,fertilisercost (urea)
28/May/1942,,106.04,-221584.600173,fuel & oil costs of t1 + p1
28/May/1942,,80.0,-221664.600173,Repairs & maintenance of t1
28/May/1942,,32.0,-221696.600173,Repairs & maintenance of p1
29/May/1942,,106.04,-221802.640173,fuel & oil costs of t1 + p1
29/May/1942,,80.0,-221882.640173,Repairs & maintenance of t1
29/May/1942,,32.0,-221914.640173,Repairs & maintenance of p1
30/May/1942,,53.02,-221967.660173,fuel & oil costs of t1 + p1
30/May/1942,,40.0,-222007.660173,Repairs & maintenance of t1
30/May/1942,,16.0,-222023.660173,Repairs & maintenance of p1
30/Jun/1942,,136000.0,-358023.660173,Farm Overheads
30/Jun/1942,,94958.5601725,-452982.220346,Loan repayments for initial capital outlay
10/Oct/1942,,50000,-502982.220346,contract (broadacre_harvesting)
10/Oct/1942,126985.30668,,-375996.913666,cropprice (wheat)
