APSIM output file, version = 5.3
Title = stock lablab SAMPLE Simulation
           Date           rain            lai     lablab.lai          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7) soilwat2.sw(1) soilwat2.sw(2) soilwat2.sw(3) soilwat2.sw(4) soilwat2.sw(5) soilwat2.sw(6) soilwat2.sw(7)         number          stock            age         weight stock.cond_score         intake
             ()           (mm)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)            (?)              (?)            (?)
     11/10/1988          0.000          0.000          0.000          0.366          0.374          0.389          0.405          0.413          0.410          0.410          0.366          0.374          0.389          0.405          0.413          0.410          0.410              ?              ?              ?              ?                ?              ?
     12/10/1988          0.000          0.000          0.000          0.368          0.375          0.388          0.404          0.412          0.410          0.410          0.368          0.375          0.388          0.404          0.412          0.410          0.410              ?              ?              ?              ?                ?              ?
     13/10/1988          0.000          0.000          0.000          0.369          0.376          0.388          0.403          0.412          0.410          0.410          0.369          0.376          0.388          0.403          0.412          0.410          0.410              ?              ?              ?              ?                ?              ?
     14/10/1988          0.000          0.000          0.000          0.370          0.377          0.388          0.402          0.411          0.410          0.410          0.370          0.377          0.388          0.402          0.411          0.410          0.410              ?              ?              ?              ?                ?              ?
     15/10/1988          0.000          0.000          0.000          0.371          0.377          0.387          0.402          0.411          0.410          0.410          0.371          0.377          0.387          0.402          0.411          0.410          0.410              ?              ?              ?              ?                ?              ?
     16/10/1988          0.000          0.000          0.000          0.372          0.378          0.387          0.401          0.410          0.410          0.410          0.372          0.378          0.387          0.401          0.410          0.410          0.410              ?              ?              ?              ?                ?              ?
     17/10/1988          0.000          0.000          0.000          0.373          0.378          0.387          0.401          0.410          0.410          0.410          0.373          0.378          0.387          0.401          0.410          0.410          0.410              ?              ?              ?              ?                ?              ?
     18/10/1988          0.000          0.000          0.000          0.373          0.378          0.387          0.400          0.409          0.410          0.410          0.373          0.378          0.387          0.400          0.409          0.410          0.410              ?              ?              ?              ?                ?              ?
     19/10/1988          0.000          0.035          0.035          0.374          0.379          0.387          0.400          0.409          0.410          0.410          0.374          0.379          0.387          0.400          0.409          0.410          0.410              ?              ?              ?              ?                ?              ?
     20/10/1988          0.000          0.051          0.051          0.372          0.378          0.387          0.399          0.409          0.410          0.410          0.372          0.378          0.387          0.399          0.409          0.410          0.410              ?              ?              ?              ?                ?              ?
     21/10/1988          0.000          0.073          0.073          0.370          0.377          0.387          0.399          0.408          0.410          0.410          0.370          0.377          0.387          0.399          0.408          0.410          0.410              ?              ?              ?              ?                ?              ?
     22/10/1988          0.000          0.104          0.104          0.368          0.376          0.387          0.399          0.408          0.410          0.410          0.368          0.376          0.387          0.399          0.408          0.410          0.410              ?              ?              ?              ?                ?              ?
     23/10/1988          0.000          0.138          0.138          0.368          0.375          0.386          0.398          0.407          0.410          0.410          0.368          0.375          0.386          0.398          0.407          0.410          0.410              ?              ?              ?              ?                ?              ?
     24/10/1988          2.200          0.173          0.173          0.369          0.375          0.386          0.398          0.407          0.410          0.410          0.369          0.375          0.386          0.398          0.407          0.410          0.410              ?              ?              ?              ?                ?              ?
     25/10/1988          0.400          0.232          0.232          0.366          0.374          0.385          0.398          0.406          0.410          0.410          0.366          0.374          0.385          0.398          0.406          0.410          0.410              ?              ?              ?              ?                ?              ?
     26/10/1988          0.000          0.319          0.319          0.363          0.372          0.384          0.397          0.406          0.410          0.410          0.363          0.372          0.384          0.397          0.406          0.410          0.410              ?              ?              ?              ?                ?              ?
     27/10/1988          0.000          0.444          0.444          0.358          0.368          0.383          0.397          0.406          0.410          0.410          0.358          0.368          0.383          0.397          0.406          0.410          0.410              ?              ?              ?              ?                ?              ?
     28/10/1988          0.000          0.556          0.556          0.347          0.362          0.381          0.396          0.405          0.410          0.410          0.347          0.362          0.381          0.396          0.405          0.410          0.410              ?              ?              ?              ?                ?              ?
     29/10/1988          0.000          0.630          0.630          0.338          0.356          0.378          0.395          0.405          0.410          0.410          0.338          0.356          0.378          0.395          0.405          0.410          0.410              ?              ?              ?              ?                ?              ?
     30/10/1988          0.000          0.711          0.711          0.329          0.351          0.375          0.394          0.404          0.410          0.410          0.329          0.351          0.375          0.394          0.404          0.410          0.410              ?              ?              ?              ?                ?              ?
     31/10/1988          0.000          0.776          0.776          0.321          0.347          0.373          0.393          0.404          0.410          0.410          0.321          0.347          0.373          0.393          0.404          0.410          0.410              ?              ?              ?              ?                ?              ?
     01/11/1988          0.000          0.950          0.950          0.313          0.342          0.370          0.392          0.403          0.410          0.410          0.313          0.342          0.370          0.392          0.403          0.410          0.410              ?              ?              ?              ?                ?              ?
     02/11/1988          0.000          1.034          1.034          0.306          0.338          0.367          0.391          0.402          0.410          0.410          0.306          0.338          0.367          0.391          0.402          0.410          0.410              ?              ?              ?              ?                ?              ?
     03/11/1988          0.000          1.062          1.062          0.299          0.335          0.365          0.390          0.402          0.409          0.410          0.299          0.335          0.365          0.390          0.402          0.409          0.410              ?              ?              ?              ?                ?              ?
     04/11/1988          0.000          1.104          1.104          0.292          0.331          0.363          0.388          0.401          0.409          0.410          0.292          0.331          0.363          0.388          0.401          0.409          0.410              ?              ?              ?              ?                ?              ?
     05/11/1988          0.000          1.132          1.132          0.286          0.328          0.360          0.387          0.400          0.409          0.410          0.286          0.328          0.360          0.387          0.400          0.409          0.410              ?              ?              ?              ?                ?              ?
     06/11/1988          0.600          1.246          1.246          0.288          0.329          0.361          0.386          0.400          0.408          0.410          0.288          0.329          0.361          0.386          0.400          0.408          0.410              ?              ?              ?              ?                ?              ?
     07/11/1988          4.000          1.389          1.389          0.301          0.327          0.358          0.385          0.399          0.408          0.410          0.301          0.327          0.358          0.385          0.399          0.408          0.410              ?              ?              ?              ?                ?              ?
     08/11/1988          0.000          1.469          1.469          0.286          0.324          0.356          0.384          0.399          0.408          0.410          0.286          0.324          0.356          0.384          0.399          0.408          0.410              ?              ?              ?              ?                ?              ?
     09/11/1988          0.000          1.470          1.470          0.272          0.321          0.353          0.383          0.398          0.407          0.410          0.272          0.321          0.353          0.383          0.398          0.407          0.410              ?              ?              ?              ?                ?              ?
     10/11/1988          0.000          1.491          1.491          0.266          0.319          0.351          0.381          0.397          0.407          0.410          0.266          0.319          0.351          0.381          0.397          0.407          0.410              ?              ?              ?              ?                ?              ?
     11/11/1988          0.000          1.543          1.543          0.262          0.316          0.350          0.379          0.396          0.406          0.410          0.262          0.316          0.350          0.379          0.396          0.406          0.410              ?              ?              ?              ?                ?              ?
     12/11/1988          0.000          1.597          1.597          0.257          0.314          0.348          0.377          0.396          0.406          0.410          0.257          0.314          0.348          0.377          0.396          0.406          0.410              ?              ?              ?              ?                ?              ?
     13/11/1988          0.000          1.633          1.633          0.253          0.312          0.346          0.375          0.395          0.405          0.410          0.253          0.312          0.346          0.375          0.395          0.405          0.410              ?              ?              ?              ?                ?              ?
     14/11/1988          0.000          1.633          1.633          0.249          0.310          0.344          0.372          0.394          0.404          0.410          0.249          0.310          0.344          0.372          0.394          0.404          0.410              ?              ?              ?              ?                ?              ?
     15/11/1988          0.000          1.642          1.642          0.245          0.308          0.343          0.370          0.393          0.404          0.410          0.245          0.308          0.343          0.370          0.393          0.404          0.410              ?              ?              ?              ?                ?              ?
     16/11/1988         17.000          1.784          1.784          0.343          0.314          0.342          0.369          0.392          0.403          0.410          0.343          0.314          0.342          0.369          0.392          0.403          0.410              ?              ?              ?              ?                ?              ?
     17/11/1988          0.000          1.928          1.928          0.323          0.315          0.341          0.366          0.391          0.403          0.410          0.323          0.315          0.341          0.366          0.391          0.403          0.410              ?              ?              ?              ?                ?              ?
     18/11/1988          0.000          1.956          1.956          0.306          0.313          0.339          0.363          0.391          0.402          0.410          0.306          0.313          0.339          0.363          0.391          0.402          0.410              ?              ?              ?              ?                ?              ?
     19/11/1988          0.000          1.947          1.947          0.291          0.311          0.338          0.360          0.390          0.402          0.409          0.291          0.311          0.338          0.360          0.390          0.402          0.409              ?              ?              ?              ?                ?              ?
     20/11/1988          0.000          2.070          2.070          0.283          0.309          0.337          0.357          0.389          0.401          0.409          0.283          0.309          0.337          0.357          0.389          0.401          0.409              ?              ?              ?              ?                ?              ?
     21/11/1988          0.000          2.124          2.124          0.275          0.307          0.335          0.354          0.388          0.401          0.409          0.275          0.307          0.335          0.354          0.388          0.401          0.409              ?              ?              ?              ?                ?              ?
     22/11/1988          2.200          2.204          2.204          0.277          0.305          0.334          0.351          0.387          0.400          0.409          0.277          0.305          0.334          0.351          0.387          0.400          0.409              ?              ?              ?              ?                ?              ?
     23/11/1988          0.000          2.174          2.174          0.264          0.304          0.333          0.348          0.386          0.400          0.408          0.264          0.304          0.333          0.348          0.386          0.400          0.408              ?              ?              ?              ?                ?              ?
     24/11/1988          0.000          2.155          2.155          0.258          0.302          0.331          0.345          0.384          0.399          0.408          0.258          0.302          0.331          0.345          0.384          0.399          0.408              ?              ?              ?              ?                ?              ?
     25/11/1988          0.000          1.822          1.822          0.253          0.300          0.330          0.343          0.383          0.399          0.408          0.253          0.300          0.330          0.343          0.383          0.399          0.408         20.000              ?        366.000        251.225            2.221          8.307
     26/11/1988          0.000          1.496          1.496          0.248          0.299          0.329          0.341          0.381          0.398          0.407          0.248          0.299          0.329          0.341          0.381          0.398          0.407         20.000              ?        367.000        252.425            2.230          8.288
     27/11/1988          1.800          1.241          1.241          0.248          0.298          0.328          0.339          0.379          0.397          0.407          0.248          0.298          0.328          0.339          0.379          0.397          0.407         20.000              ?        368.000        253.601            2.239          8.268
     28/11/1988          0.000          0.954          0.954          0.240          0.296          0.327          0.337          0.377          0.397          0.406          0.240          0.296          0.327          0.337          0.377          0.397          0.406         20.000              ?        369.000        254.747            2.247          8.238
     29/11/1988          0.000          0.699          0.699          0.236          0.295          0.326          0.335          0.374          0.396          0.406          0.236          0.295          0.326          0.335          0.374          0.396          0.406         20.000              ?        370.000        255.857            2.255          8.195
     30/11/1988          0.000          0.470          0.470          0.232          0.294          0.325          0.333          0.372          0.395          0.406          0.232          0.294          0.325          0.333          0.372          0.395          0.406         20.000              ?        371.000        256.889            2.263          8.072
     01/12/1988          0.000          0.321          0.321          0.229          0.293          0.325          0.331          0.369          0.395          0.405          0.229          0.293          0.325          0.331          0.369          0.395          0.405         20.000              ?        372.000        257.790            2.270          7.843
     02/12/1988          0.000          0.154          0.154          0.226          0.292          0.324          0.330          0.366          0.394          0.405          0.226          0.292          0.324          0.330          0.366          0.394          0.405         20.000              ?        373.000        258.470            2.275          7.427
     03/12/1988          4.000          0.090          0.090          0.236          0.292          0.323          0.329          0.365          0.393          0.404          0.236          0.292          0.323          0.329          0.365          0.393          0.404         20.000              ?        374.000        259.023            2.278          7.182
     04/12/1988          0.000          0.051          0.051          0.224          0.292          0.323          0.330          0.365          0.392          0.404          0.224          0.292          0.323          0.330          0.365          0.392          0.404         20.000              ?        375.000        259.483            2.279          6.989
     05/12/1988          0.000          0.035          0.035          0.223          0.292          0.323          0.330          0.365          0.392          0.403          0.223          0.292          0.323          0.330          0.365          0.392          0.403         20.000              ?        376.000        259.899            2.280          6.895
     06/12/1988          0.000          0.035          0.035          0.222          0.292          0.322          0.330          0.365          0.391          0.403          0.222          0.292          0.322          0.330          0.365          0.391          0.403         20.000              ?        377.000        260.288            2.280          6.824
     07/12/1988          0.000          0.035          0.035          0.221          0.292          0.322          0.331          0.365          0.390          0.402          0.221          0.292          0.322          0.331          0.365          0.390          0.402         20.000              ?        378.000        260.649            2.279          6.745
     08/12/1988          4.800          0.035          0.035          0.241          0.292          0.322          0.332          0.365          0.390          0.402          0.241          0.292          0.322          0.332          0.365          0.390          0.402         20.000              ?        379.000        260.975            2.279          6.632
     09/12/1988          4.400          0.035          0.035          0.250          0.292          0.321          0.332          0.365          0.389          0.401          0.250          0.292          0.321          0.332          0.365          0.389          0.401         20.000              ?        380.000        261.237            2.278          6.392
     10/12/1988         40.000          0.035          0.035          0.400          0.376          0.326          0.333          0.365          0.389          0.401          0.400          0.376          0.326          0.333          0.365          0.389          0.401         20.000              ?        381.000        261.368            2.277          5.830
     11/12/1988          0.000          0.035          0.035          0.377          0.371          0.330          0.333          0.365          0.388          0.400          0.377          0.371          0.330          0.333          0.365          0.388          0.400         20.000              ?        382.000        261.181            2.274          4.623
     12/12/1988         19.000          0.035          0.035          0.429          0.394          0.344          0.335          0.365          0.388          0.400          0.429          0.394          0.344          0.335          0.365          0.388          0.400         20.000              ?        383.000        260.472            2.265          3.168
     13/12/1988          0.000          0.035          0.035          0.402          0.384          0.353          0.336          0.366          0.387          0.399          0.402          0.384          0.353          0.336          0.366          0.387          0.399         20.000              ?        384.000        259.404            2.245          2.126
     14/12/1988          0.000          0.035          0.035          0.388          0.378          0.357          0.338          0.366          0.387          0.399          0.388          0.378          0.357          0.338          0.366          0.387          0.399         20.000              ?        385.000        258.130            2.216          1.527
     15/12/1988          0.000          0.035          0.035          0.379          0.374          0.360          0.339          0.366          0.387          0.399          0.379          0.374          0.360          0.339          0.366          0.387          0.399         20.000              ?        386.000        256.739            2.183          1.186
     16/12/1988          0.000          0.035          0.035          0.373          0.371          0.361          0.341          0.366          0.386          0.398          0.373          0.371          0.361          0.341          0.366          0.386          0.398         20.000              ?        387.000        255.272            2.148          0.968
     17/12/1988          4.800          0.035          0.035          0.382          0.375          0.363          0.343          0.366          0.386          0.398          0.382          0.375          0.363          0.343          0.366          0.386          0.398         20.000              ?        388.000        253.751            2.110          0.806
     18/12/1988         17.000          0.035          0.035          0.432          0.405          0.371          0.345          0.366          0.385          0.397          0.432          0.405          0.371          0.345          0.366          0.385          0.397         20.000              ?        389.000        252.192            2.072          0.688
     19/12/1988          5.000          0.035          0.035          0.421          0.405          0.377          0.348          0.366          0.385          0.397          0.421          0.405          0.377          0.348          0.366          0.385          0.397         20.000              ?        390.000        250.613            2.032          0.618
     20/12/1988          0.000          0.035          0.035          0.404          0.396          0.379          0.351          0.366          0.385          0.397          0.404          0.396          0.379          0.351          0.366          0.385          0.397         20.000              ?        391.000        249.049            1.993          0.624
     21/12/1988          0.000          0.035          0.035          0.395          0.391          0.379          0.354          0.367          0.384          0.396          0.395          0.391          0.379          0.354          0.367          0.384          0.396         20.000              ?        392.000        247.498            1.954          0.632
     22/12/1988          0.000          0.035          0.035          0.388          0.386          0.379          0.357          0.367          0.384          0.396          0.388          0.386          0.379          0.357          0.367          0.384          0.396         20.000              ?        393.000        245.948            1.915          0.609
     23/12/1988          0.000          0.035          0.035          0.383          0.383          0.379          0.359          0.367          0.384          0.395          0.383          0.383          0.379          0.359          0.367          0.384          0.395         20.000              ?        394.000        244.422            1.876          0.640
     24/12/1988          0.000          0.035          0.035          0.379          0.380          0.378          0.361          0.368          0.384          0.395          0.379          0.380          0.378          0.361          0.368          0.384          0.395         20.000              ?        395.000        242.888            1.838          0.603
     25/12/1988          0.000          0.035          0.035          0.376          0.377          0.376          0.363          0.368          0.383          0.395          0.376          0.377          0.376          0.363          0.368          0.383          0.395         20.000              ?        396.000        241.379            1.799          0.635
     26/12/1988          0.000          0.035          0.035          0.373          0.375          0.375          0.364          0.369          0.383          0.394          0.373          0.375          0.375          0.364          0.369          0.383          0.394         20.000              ?        397.000        239.879            1.762          0.634
     27/12/1988         12.000          0.035          0.035          0.403          0.391          0.378          0.366          0.369          0.383          0.394          0.403          0.391          0.378          0.366          0.369          0.383          0.394         20.000              ?        398.000        238.385            1.724          0.628
     28/12/1988          0.000          0.035          0.035          0.384          0.383          0.378          0.367          0.370          0.383          0.394          0.384          0.383          0.378          0.367          0.370          0.383          0.394         20.000              ?        399.000        236.890            1.687          0.608
     29/12/1988          0.000          0.035          0.035          0.379          0.379          0.378          0.369          0.370          0.383          0.394          0.379          0.379          0.378          0.369          0.370          0.383          0.394         20.000              ?        400.000        235.412            1.650          0.623
     30/12/1988          0.000          0.035          0.035          0.375          0.377          0.377          0.370          0.371          0.382          0.393          0.375          0.377          0.377          0.370          0.371          0.382          0.393         20.000              ?        401.000        233.943            1.613          0.623
     31/12/1988          0.000          0.035          0.035          0.372          0.374          0.376          0.370          0.371          0.382          0.393          0.372          0.374          0.376          0.370          0.371          0.382          0.393         20.000              ?        402.000        232.478            1.576          0.615
     01/01/1989          0.000          0.035          0.035          0.369          0.372          0.375          0.371          0.372          0.382          0.393          0.369          0.372          0.375          0.371          0.372          0.382          0.393         20.000              ?        403.000        231.020            1.540          0.610
     02/01/1989          2.600          0.035          0.035          0.367          0.371          0.374          0.371          0.372          0.382          0.392          0.367          0.371          0.374          0.371          0.372          0.382          0.392         20.000              ?        404.000        229.568            1.504          0.604
     03/01/1989         10.000          0.035          0.035          0.389          0.382          0.376          0.372          0.373          0.382          0.392          0.389          0.382          0.376          0.372          0.373          0.382          0.392         20.000              ?        405.000        228.110            1.468          0.574
     04/01/1989          0.000          0.035          0.035          0.377          0.377          0.376          0.373          0.373          0.382          0.392          0.377          0.377          0.376          0.373          0.373          0.382          0.392         20.000              ?        406.000        226.663            1.432          0.578
     05/01/1989          0.000          0.035          0.035          0.372          0.374          0.375          0.373          0.374          0.382          0.392          0.372          0.374          0.375          0.373          0.374          0.382          0.392         20.000              ?        407.000        225.234            1.396          0.600
     06/01/1989         20.800          0.035          0.035          0.434          0.411          0.382          0.374          0.374          0.382          0.392          0.434          0.411          0.382          0.374          0.374          0.382          0.392         20.000              ?        408.000        223.817            1.361          0.608
     07/01/1989          0.200          0.035          0.035          0.412          0.403          0.385          0.376          0.375          0.382          0.391          0.412          0.403          0.385          0.376          0.375          0.382          0.391         20.000              ?        409.000        222.394            1.326          0.575
     08/01/1989          0.000          0.035          0.035          0.402          0.398          0.387          0.377          0.375          0.382          0.391          0.402          0.398          0.387          0.377          0.375          0.382          0.391         20.000              ?        410.000        220.979            1.291          0.576
     09/01/1989          0.000          0.035          0.035          0.395          0.393          0.387          0.378          0.376          0.382          0.391          0.395          0.393          0.387          0.378          0.376          0.382          0.391         20.000              ?        411.000        219.580            1.256          0.592
     10/01/1989          0.000          0.035          0.035          0.390          0.390          0.387          0.379          0.377          0.382          0.391          0.390          0.390          0.387          0.379          0.377          0.382          0.391         20.000              ?        412.000        218.193            1.221          0.602
     11/01/1989         31.600          0.035          0.035          0.459          0.450          0.400          0.381          0.377          0.383          0.391          0.459          0.450          0.400          0.381          0.377          0.383          0.391         20.000              ?        413.000        216.822            1.187          0.618
     12/01/1989          0.000          0.035          0.035          0.446          0.433          0.404          0.384          0.378          0.383          0.391          0.446          0.433          0.404          0.384          0.378          0.383          0.391         20.000              ?        414.000        215.457            1.154          0.613
     13/01/1989          0.000          0.035          0.035          0.435          0.426          0.406          0.386          0.379          0.383          0.391          0.435          0.426          0.406          0.386          0.379          0.383          0.391         20.000              ?        415.000        214.104            1.120          0.623
     14/01/1989          0.000          0.035          0.035          0.426          0.421          0.407          0.388          0.381          0.383          0.390          0.426          0.421          0.407          0.388          0.381          0.383          0.390         20.000              ?        416.000        212.761            1.087          0.625
     15/01/1989          0.000          0.035          0.035          0.420          0.416          0.406          0.389          0.382          0.383          0.390          0.420          0.416          0.406          0.389          0.382          0.383          0.390         20.000              ?        417.000        211.421            1.054          0.616
     16/01/1989          0.000          0.035          0.035          0.414          0.413          0.406          0.390          0.383          0.384          0.390          0.414          0.413          0.406          0.390          0.383          0.384          0.390         20.000              ?        418.000        210.090            1.021          0.617
     17/01/1989          0.000          0.035          0.035          0.410          0.409          0.405          0.391          0.384          0.384          0.390          0.410          0.409          0.405          0.391          0.384          0.384          0.390         20.000              ?        419.000        208.767            0.989          0.619
     18/01/1989          0.000          0.035          0.035          0.406          0.407          0.404          0.391          0.385          0.385          0.390          0.406          0.407          0.404          0.391          0.385          0.385          0.390         20.000              ?        420.000        207.454            0.956          0.623
     19/01/1989          0.000          0.035          0.035          0.403          0.404          0.402          0.392          0.386          0.385          0.390          0.403          0.404          0.402          0.392          0.386          0.385          0.390         20.000              ?        421.000        206.153            0.924          0.631
     20/01/1989          5.000          0.035          0.035          0.404          0.404          0.402          0.392          0.387          0.385          0.390          0.404          0.404          0.402          0.392          0.387          0.385          0.390         20.000              ?        422.000        204.860            0.892          0.632
     21/01/1989          0.000          0.035          0.035          0.400          0.401          0.401          0.392          0.387          0.386          0.390          0.400          0.401          0.401          0.392          0.387          0.386          0.390         20.000              ?        423.000        203.568            0.861          0.619
     22/01/1989          0.000          0.035          0.035          0.398          0.399          0.400          0.392          0.388          0.386          0.391          0.398          0.399          0.400          0.392          0.388          0.386          0.391         20.000              ?        424.000        202.285            0.829          0.621
     23/01/1989          2.600          0.035          0.035          0.395          0.398          0.398          0.393          0.389          0.387          0.391          0.395          0.398          0.398          0.393          0.389          0.387          0.391         20.000              ?        425.000        200.994            0.798          0.589
     24/01/1989          0.400          0.035          0.035          0.394          0.396          0.398          0.393          0.389          0.387          0.391          0.394          0.396          0.398          0.393          0.389          0.387          0.391         20.000              ?        426.000        199.699            0.767          0.561
     25/01/1989          0.000          0.035          0.035          0.392          0.394          0.397          0.393          0.390          0.388          0.391          0.392          0.394          0.397          0.393          0.390          0.388          0.391         20.000              ?        427.000        198.403            0.736          0.545
     26/01/1989          0.000          0.035          0.035          0.390          0.393          0.395          0.392          0.390          0.388          0.391          0.390          0.393          0.395          0.392          0.390          0.388          0.391         20.000              ?        428.000        197.131            0.704          0.579
     27/01/1989          1.600          0.035          0.035          0.388          0.392          0.395          0.392          0.390          0.389          0.391          0.388          0.392          0.395          0.392          0.390          0.389          0.391         20.000              ?        429.000        195.878            0.673          0.604
     28/01/1989          0.000          0.035          0.035          0.387          0.390          0.394          0.392          0.390          0.389          0.392          0.387          0.390          0.394          0.392          0.390          0.389          0.392         20.000              ?        430.000        194.630            0.643          0.596
     29/01/1989          0.000          0.035          0.035          0.386          0.389          0.393          0.392          0.391          0.389          0.392          0.386          0.389          0.393          0.392          0.391          0.389          0.392         20.000              ?        431.000        193.394            0.613          0.608
     30/01/1989          0.000          0.035          0.035          0.384          0.388          0.392          0.392          0.391          0.390          0.392          0.384          0.388          0.392          0.392          0.391          0.390          0.392         20.000              ?        432.000        192.170            0.583          0.618
     31/01/1989          0.000          0.035          0.035          0.383          0.387          0.391          0.391          0.391          0.390          0.392          0.383          0.387          0.391          0.391          0.391          0.390          0.392         20.000              ?        433.000        190.961            0.554          0.633
     01/02/1989          0.000          0.035          0.035          0.382          0.385          0.390          0.391          0.391          0.390          0.393          0.382          0.385          0.390          0.391          0.391          0.390          0.393         20.000              ?        434.000        189.762            0.524          0.640
     02/02/1989          0.000          0.035          0.035          0.381          0.385          0.389          0.391          0.391          0.391          0.393          0.381          0.385          0.389          0.391          0.391          0.391          0.393         20.000              ?        435.000        188.565            0.495          0.628
     03/02/1989          0.000          0.035          0.035          0.380          0.384          0.388          0.390          0.391          0.391          0.393          0.380          0.384          0.388          0.390          0.391          0.391          0.393         20.000              ?        436.000        187.360            0.467          0.595
     04/02/1989          1.000          0.035          0.035          0.379          0.383          0.388          0.390          0.391          0.391          0.393          0.379          0.383          0.388          0.390          0.391          0.391          0.393         20.000              ?        437.000        186.148            0.438          0.563
     05/02/1989          4.000          0.035          0.035          0.390          0.389          0.388          0.390          0.391          0.391          0.394          0.390          0.389          0.388          0.390          0.391          0.391          0.394         20.000              ?        438.000        184.911            0.409          0.496
     06/02/1989         20.900          0.035          0.035          0.449          0.428          0.396          0.391          0.391          0.392          0.394          0.449          0.428          0.396          0.391          0.391          0.392          0.394         20.000              ?        439.000        183.657            0.379          0.444
     07/02/1989          0.000          0.035          0.035          0.428          0.419          0.400          0.392          0.391          0.392          0.394          0.428          0.419          0.400          0.392          0.391          0.392          0.394         20.000              ?        440.000        182.421            0.349          0.467
     08/02/1989          0.000          0.035          0.035          0.418          0.413          0.402          0.393          0.392          0.392          0.394          0.418          0.413          0.402          0.393          0.392          0.392          0.394         20.000              ?        441.000        181.210            0.320          0.503
     09/02/1989          0.000          0.035          0.035          0.411          0.409          0.402          0.394          0.392          0.392          0.395          0.411          0.409          0.402          0.394          0.392          0.392          0.395         20.000              ?        442.000        180.028            0.291          0.549
     10/02/1989          0.000          0.035          0.035          0.405          0.405          0.402          0.394          0.392          0.393          0.395          0.405          0.405          0.402          0.394          0.392          0.393          0.395         20.000              ?        443.000        178.871            0.262          0.586
     11/02/1989          3.400          0.035          0.035          0.401          0.402          0.401          0.395          0.393          0.393          0.395          0.401          0.402          0.401          0.395          0.393          0.393          0.395         20.000              ?        444.000        177.729            0.235          0.605
     12/02/1989          1.000          0.035          0.035          0.398          0.400          0.400          0.395          0.393          0.393          0.395          0.398          0.400          0.400          0.395          0.393          0.393          0.395         20.000              ?        445.000        176.587            0.208          0.588
     13/02/1989          0.000          0.035          0.035          0.395          0.398          0.399          0.395          0.393          0.393          0.396          0.395          0.398          0.399          0.395          0.393          0.393          0.396         20.000              ?        446.000        175.447            0.180          0.579
     14/02/1989          0.000          0.035          0.035          0.393          0.396          0.398          0.395          0.393          0.394          0.396          0.393          0.396          0.398          0.395          0.393          0.394          0.396         20.000              ?        447.000        174.326            0.153          0.604
     15/02/1989          0.000          0.035          0.035          0.391          0.394          0.397          0.395          0.394          0.394          0.396          0.391          0.394          0.397          0.395          0.394          0.394          0.396         20.000              ?        448.000        173.219            0.126          0.618
