Summary_file=input.sum
Title =met sample simulation
    day   year           radn           maxt           mint           rain         lumpia         rug(1)         rug(2)           paxt       alpha(1)       alpha(2)       alpha(3)        beta(1)        beta(2)        beta(3)        beta(4)        beta(5)        beta(6)        beta(7)
  (day) (year)        (mj/m2)           (oc)           (oc)           (mm)             ()        (mj/m2)        (mj/m2)           (oc)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()
      1   1988         20.740         33.000         17.400          0.200         -7.110         20.000         21.000         33.000            one            two          three            one            two          three           four           five            six          seven
      2   1988         23.430         33.800         23.000          0.000         -7.110         23.000         24.000         33.800            one            two          three            one            two          three           four           five            six          seven
      3   1988         23.790         32.500         21.000          0.000         -7.110         23.000         24.000         32.500            one            two          three            one            two          three           four           five            six          seven
      4   1988         19.140         30.800         19.700         34.000         -7.110         19.000         20.000         30.800            one            two          three            one            two          three           four           five            six          seven
      5   1988         17.110         28.200         19.200          2.000         -7.110         17.000         18.000         28.200            one            two          three            one            two          three           four           five            six          seven
      6   1988         22.720         29.000         17.800          0.000         -7.110         22.000         23.000         29.000            one            two          three            one            two          three           four           five            six          seven
      7   1988         22.470         28.400         17.800          0.000         -7.110         22.000         23.000         28.400            one            two          three            one            two          three           four           five            six          seven
      8   1988         25.200         31.200         17.000          0.000         -7.110         25.000         26.000         31.200            one            two          three            one            two          three           four           five            six          seven
      9   1988         26.160         33.600         18.000          0.000         -7.110         26.000         27.000         33.600            one            two          three            one            two          three           four           five            six          seven
     10   1988         25.750         34.400         19.400          0.000         -7.110         25.000         26.000         34.400            one            two          three            one            two          three           four           five            six          seven
     11   1988         22.870         31.600         20.600          0.000         -7.110         22.000         23.000         31.600            one            two          three            one            two          three           four           five            six          seven
